config,n,total_r_net,avg_r_net,win_rate,pf_net,max_losing_streak,r_no_top5,r_no_top10,trades_per_month
struct|buf0.1|be1.0|tgt3.0R,36,1.04,0.029,0.361,1.06,6,-11.87,-17.53,0.41
blend|atr1.0|noBE|tgt3.0R,34,0.98,0.0287,0.441,1.06,6,-9.87,-14.32,0.39
blend|atr1.0|be2.0|tgt3.0R,34,0.98,0.0287,0.441,1.06,6,-9.87,-14.32,0.39
blend|atr1.0|be0.5|tgt5.0R,34,0.94,0.0276,0.206,1.07,9,-11.85,-13.16,0.39
blend|atr0.5|noBE|tgt2.5R,36,0.87,0.024,0.417,1.05,6,-9.94,-15.53,0.41
blend|atr0.5|be2.0|tgt2.5R,36,0.87,0.024,0.417,1.05,6,-9.94,-15.53,0.41
struct|buf0.0|be0.5|tgt4.0R,37,0.83,0.0223,0.189,1.05,10,-13.37,-15.05,0.42
blend|atr0.0|be0.5|tgt4.0R,37,0.83,0.0223,0.189,1.05,10,-13.37,-15.05,0.42
blend|atr0.2|noBE|tgt2.5R,36,0.82,0.0227,0.417,1.04,6,-10.62,-16.86,0.41
blend|atr0.2|be2.0|tgt2.5R,36,0.82,0.0227,0.417,1.04,6,-10.62,-16.86,0.41
blend|atr1.0|be1.0|tgt4.0R,34,0.81,0.0239,0.382,1.05,6,-11.03,-14.98,0.39
struct|buf0.1|be2.0|tgt2.5R,36,0.67,0.0187,0.417,1.03,6,-10.73,-16.87,0.41
struct|buf0.1|noBE|tgt2.5R,36,0.67,0.0187,0.417,1.03,6,-10.73,-16.87,0.41
struct|buf0.05|be2.0|tgt2.0R,36,0.66,0.0182,0.417,1.03,6,-9.09,-16.51,0.41
struct|buf0.05|noBE|tgt2.0R,36,0.66,0.0182,0.417,1.03,6,-9.09,-16.51,0.41
struct|buf0.05|be0.5|tgt4.0R,36,0.63,0.0175,0.194,1.04,10,-13.36,-14.99,0.41
struct|buf0.2|noBE|tgt2.0R,36,0.62,0.0173,0.417,1.03,6,-9.13,-15.2,0.41
struct|buf0.2|be2.0|tgt2.0R,36,0.62,0.0173,0.417,1.03,6,-9.13,-15.2,0.41
blend|atr0.5|be2.0|tgt2.0R,36,0.53,0.0146,0.417,1.03,6,-9.22,-15.26,0.41
blend|atr0.5|noBE|tgt2.0R,36,0.53,0.0146,0.417,1.03,6,-9.22,-15.26,0.41
blend|atr0.2|be0.5|tgt4.0R,36,0.4,0.011,0.194,1.03,10,-13.43,-14.98,0.41
struct|buf0.1|be0.5|tgt4.0R,36,0.39,0.0108,0.194,1.03,10,-13.41,-14.99,0.41
struct|buf0.05|be1.0|tgt2.0R,36,0.38,0.0105,0.361,1.02,6,-9.37,-16.47,0.41
blend|atr0.2|be2.0|tgt2.0R,36,0.35,0.0096,0.417,1.02,6,-9.4,-16.63,0.41
blend|atr0.2|noBE|tgt2.0R,36,0.35,0.0096,0.417,1.02,6,-9.4,-16.63,0.41
struct|buf0.1|be2.0|tgt2.0R,36,0.28,0.0079,0.417,1.01,6,-9.47,-16.64,0.41
struct|buf0.1|noBE|tgt2.0R,36,0.28,0.0079,0.417,1.01,6,-9.47,-16.64,0.41
struct|buf0.2|be1.0|tgt2.5R,36,0.24,0.0068,0.361,1.01,6,-10.77,-15.95,0.41
blend|atr1.0|noBE|tgt2.5R,34,0.09,0.0027,0.441,1.01,6,-9.87,-14.32,0.39
blend|atr1.0|be2.0|tgt2.5R,34,0.09,0.0027,0.441,1.01,6,-9.87,-14.32,0.39
struct|buf0.2|be0.5|tgt2.5R,36,0.08,0.0022,0.222,1.01,9,-10.68,-13.31,0.41
blend|atr0.0|be1.0|tgt2.0R,37,-0.03,-0.0008,0.351,1.0,6,-9.78,-15.83,0.42
struct|buf0.0|be1.0|tgt2.0R,37,-0.03,-0.0008,0.351,1.0,6,-9.78,-15.83,0.42
blend|atr0.5|be1.0|tgt2.5R,36,-0.04,-0.0012,0.361,1.0,6,-10.85,-15.91,0.41
struct|buf0.5|be0.5|tgt2.0R,34,-0.05,-0.0014,0.265,1.0,9,-9.0,-12.31,0.39
blend|atr1.0|be0.5|tgt4.0R,34,-0.06,-0.0018,0.206,1.0,9,-11.85,-13.16,0.39
blend|atr0.5|be0.5|tgt2.5R,36,-0.17,-0.0046,0.222,0.99,9,-10.76,-13.27,0.41
blend|atr1.0|be1.0|tgt3.0R,34,-0.19,-0.0056,0.382,0.99,6,-11.03,-14.98,0.39
struct|buf0.2|be1.0|tgt2.0R,36,-0.27,-0.0076,0.361,0.98,6,-10.02,-15.95,0.41
blend|atr0.2|be1.0|tgt2.5R,36,-0.37,-0.0104,0.361,0.98,6,-11.81,-17.49,0.41
blend|atr0.5|be1.0|tgt2.0R,36,-0.38,-0.0106,0.361,0.98,6,-10.13,-15.91,0.41
struct|buf0.2|be0.5|tgt2.0R,36,-0.44,-0.0122,0.222,0.97,9,-10.19,-13.31,0.41
struct|buf0.1|be1.0|tgt2.5R,36,-0.46,-0.0128,0.361,0.98,6,-11.87,-17.53,0.41
blend|atr0.5|be0.5|tgt2.0R,36,-0.51,-0.014,0.222,0.96,9,-10.26,-13.27,0.41
blend|atr0.2|be1.0|tgt2.0R,36,-0.84,-0.0235,0.361,0.96,6,-10.59,-17.49,0.41
struct|buf0.1|be1.0|tgt2.0R,36,-0.85,-0.0236,0.361,0.96,6,-10.6,-17.53,0.41
blend|atr1.0|be0.5|tgt3.0R,34,-1.06,-0.0312,0.206,0.92,9,-11.85,-13.16,0.39
blend|atr1.0|be1.0|tgt2.5R,34,-1.08,-0.0316,0.382,0.93,6,-11.03,-14.98,0.39
blend|atr1.0|noBE|tgt2.0R,34,-1.24,-0.0365,0.441,0.92,6,-9.87,-14.32,0.39
blend|atr1.0|be2.0|tgt2.0R,34,-1.24,-0.0365,0.441,0.92,6,-9.87,-14.32,0.39
struct|buf0.0|be0.5|tgt2.5R,37,-1.87,-0.0505,0.189,0.88,10,-12.97,-15.05,0.42
blend|atr0.0|be0.5|tgt2.5R,37,-1.87,-0.0505,0.189,0.88,10,-12.97,-15.05,0.42
struct|buf0.05|be0.5|tgt2.5R,36,-1.89,-0.0526,0.194,0.87,10,-12.96,-14.99,0.41
blend|atr1.0|be0.5|tgt2.5R,34,-1.95,-0.0573,0.206,0.85,9,-11.85,-13.16,0.39
blend|atr0.0|be0.5|tgt3.0R,37,-2.0,-0.0542,0.189,0.87,10,-13.37,-15.05,0.42
struct|buf0.0|be0.5|tgt3.0R,37,-2.0,-0.0542,0.189,0.87,10,-13.37,-15.05,0.42
struct|buf0.05|be0.5|tgt3.0R,36,-2.06,-0.0573,0.194,0.86,10,-13.36,-14.99,0.41
struct|buf0.1|be0.5|tgt3.0R,36,-2.17,-0.0603,0.194,0.86,10,-13.41,-14.99,0.41
blend|atr0.2|be0.5|tgt3.0R,36,-2.2,-0.061,0.194,0.85,10,-13.43,-14.98,0.41
blend|atr1.0|be1.0|tgt2.0R,34,-2.41,-0.0708,0.382,0.85,6,-11.03,-14.98,0.39
blend|atr1.0|be0.5|tgt2.0R,34,-3.28,-0.0965,0.206,0.75,9,-11.85,-13.16,0.39
struct|buf0.1|be0.5|tgt2.5R,36,-3.67,-0.102,0.194,0.76,10,-13.41,-14.99,0.41
blend|atr0.2|be0.5|tgt2.5R,36,-3.7,-0.1027,0.194,0.76,10,-13.43,-14.98,0.41
struct|buf0.0|be0.5|tgt2.0R,37,-3.87,-0.1046,0.189,0.75,10,-12.97,-15.05,0.42
blend|atr0.0|be0.5|tgt2.0R,37,-3.87,-0.1046,0.189,0.75,10,-12.97,-15.05,0.42
struct|buf0.05|be0.5|tgt2.0R,36,-3.89,-0.1082,0.194,0.74,10,-12.96,-14.99,0.41
struct|buf0.1|be0.5|tgt2.0R,36,-3.97,-0.1103,0.194,0.74,10,-13.01,-14.99,0.41
blend|atr0.2|be0.5|tgt2.0R,36,-3.98,-0.1105,0.194,0.74,10,-13.01,-14.98,0.41
