strategy,n,total_r_net,avg_r_net,win_rate,pf_net,max_losing_streak,r_no_top5_net,r_no_top10_net,trades_per_week,trades_per_month
LONG|cl7|pullback|stop0.75|div_req=True|tgt4.0R,15,-1.46,-0.0976,0.4,0.73,3,-5.42,-5.25,0.04,0.17
LONG|cl7|pullback|stop0.75|div_req=True|tgt3.0R,15,-1.46,-0.0976,0.4,0.73,3,-5.42,-5.25,0.04,0.17
LONG|cl7|pullback|stop0.75|div_req=True|tgt2.5R,15,-1.46,-0.0976,0.4,0.73,3,-5.42,-5.25,0.04,0.17
LONG|cl7|pullback|stop0.75|div_req=True|tgt2.0R,15,-1.46,-0.0976,0.4,0.73,3,-5.42,-5.25,0.04,0.17
LONG|cl7|pullback|stop0.75|div_req=False|tgt5.0R,15,-1.46,-0.0976,0.4,0.73,3,-5.42,-5.25,0.04,0.17
LONG|cl7|pullback|stop0.75|div_req=False|tgt4.0R,15,-1.46,-0.0976,0.4,0.73,3,-5.42,-5.25,0.04,0.17
LONG|cl7|pullback|stop0.75|div_req=False|tgt3.0R,15,-1.46,-0.0976,0.4,0.73,3,-5.42,-5.25,0.04,0.17
LONG|cl7|pullback|stop0.75|div_req=False|tgt2.5R,15,-1.46,-0.0976,0.4,0.73,3,-5.42,-5.25,0.04,0.17
LONG|cl7|pullback|stop0.75|div_req=False|tgt2.0R,15,-1.46,-0.0976,0.4,0.73,3,-5.42,-5.25,0.04,0.17
LONG|cl7|direct_bos|stop0.75|div_req=False|tgt2.0R,33,-1.66,-0.0504,0.364,0.88,7,-10.68,-14.05,0.09,0.37
LONG|cl5|pullback|stop0.75|div_req=False|tgt2.0R,16,-1.72,-0.1075,0.438,0.74,2,-6.19,-6.3,0.04,0.18
LONG|cl5|pullback|stop0.75|div_req=True|tgt3.0R,16,-1.72,-0.1075,0.438,0.74,2,-6.19,-6.3,0.04,0.18
LONG|cl5|pullback|stop0.75|div_req=True|tgt5.0R,16,-1.72,-0.1075,0.438,0.74,2,-6.19,-6.3,0.04,0.18
LONG|cl5|pullback|stop0.75|div_req=False|tgt3.0R,16,-1.72,-0.1075,0.438,0.74,2,-6.19,-6.3,0.04,0.18
LONG|cl5|pullback|stop0.75|div_req=False|tgt4.0R,16,-1.72,-0.1075,0.438,0.74,2,-6.19,-6.3,0.04,0.18
LONG|cl5|pullback|stop0.75|div_req=False|tgt5.0R,16,-1.72,-0.1075,0.438,0.74,2,-6.19,-6.3,0.04,0.18
LONG|cl5|pullback|stop0.75|div_req=True|tgt2.0R,16,-1.72,-0.1075,0.438,0.74,2,-6.19,-6.3,0.04,0.18
LONG|cl5|pullback|stop0.75|div_req=True|tgt2.5R,16,-1.72,-0.1075,0.438,0.74,2,-6.19,-6.3,0.04,0.18
LONG|cl5|pullback|stop0.75|div_req=False|tgt2.5R,16,-1.72,-0.1075,0.438,0.74,2,-6.19,-6.3,0.04,0.18
LONG|cl5|pullback|stop0.75|div_req=True|tgt4.0R,16,-1.72,-0.1075,0.438,0.74,2,-6.19,-6.3,0.04,0.18
LONG|cl7|pullback|stop1.0|div_req=True|tgt4.0R,15,-1.82,-0.121,0.467,0.72,3,-6.21,-5.25,0.04,0.17
LONG|cl7|pullback|stop1.0|div_req=True|tgt5.0R,15,-1.82,-0.121,0.467,0.72,3,-6.21,-5.25,0.04,0.17
LONG|cl7|pullback|stop1.0|div_req=True|tgt3.0R,15,-1.82,-0.121,0.467,0.72,3,-6.21,-5.25,0.04,0.17
LONG|cl7|pullback|stop1.0|div_req=False|tgt5.0R,15,-1.82,-0.121,0.467,0.72,3,-6.21,-5.25,0.04,0.17
LONG|cl7|pullback|stop1.0|div_req=True|tgt2.5R,15,-1.82,-0.121,0.467,0.72,3,-6.21,-5.25,0.04,0.17
LONG|cl7|pullback|stop1.0|div_req=False|tgt2.5R,15,-1.82,-0.121,0.467,0.72,3,-6.21,-5.25,0.04,0.17
LONG|cl7|pullback|stop1.0|div_req=False|tgt3.0R,15,-1.82,-0.121,0.467,0.72,3,-6.21,-5.25,0.04,0.17
LONG|cl7|pullback|stop1.0|div_req=False|tgt4.0R,15,-1.82,-0.121,0.467,0.72,3,-6.21,-5.25,0.04,0.17
SHORT|cl5|direct_bos|stop0.75|div_req=True|tgt4.0R,16,-1.85,-0.1157,0.25,0.78,6,-8.49,-6.3,0.05,0.22
SHORT|cl5|direct_bos|stop0.75|div_req=True|tgt5.0R,16,-1.87,-0.1167,0.25,0.78,6,-8.49,-6.3,0.05,0.22
SHORT|cl5|direct_bos|stop0.75|div_req=True|tgt3.0R,16,-2.85,-0.1782,0.25,0.67,6,-8.49,-6.3,0.05,0.22
SHORT|cl5|direct_bos|stop0.75|div_req=True|tgt2.5R,16,-3.35,-0.2095,0.25,0.61,6,-8.49,-6.3,0.05,0.22
SHORT|cl5|direct_bos|stop0.75|div_req=True|tgt2.0R,16,-3.89,-0.2428,0.25,0.54,6,-8.49,-6.3,0.05,0.22
SHORT|cl7|direct_bos|stop0.75|div_req=True|tgt4.0R,16,-4.25,-0.2655,0.25,0.61,5,-10.5,-6.3,0.05,0.22
SHORT|cl7|direct_bos|stop0.75|div_req=True|tgt5.0R,16,-4.26,-0.2665,0.25,0.61,5,-10.5,-6.3,0.05,0.22
SHORT|cl7|direct_bos|stop1.0|div_req=True|tgt4.0R,16,-4.32,-0.27,0.25,0.6,5,-10.35,-6.3,0.05,0.22
SHORT|cl7|direct_bos|stop1.0|div_req=True|tgt5.0R,16,-4.74,-0.2961,0.25,0.56,5,-10.35,-6.3,0.05,0.22
SHORT|cl7|direct_bos|stop0.75|div_req=True|tgt3.0R,16,-5.25,-0.328,0.25,0.52,5,-10.5,-6.3,0.05,0.22
SHORT|cl7|direct_bos|stop1.0|div_req=True|tgt3.0R,16,-5.32,-0.3325,0.25,0.51,5,-10.35,-6.3,0.05,0.22
SHORT|cl7|direct_bos|stop0.75|div_req=True|tgt2.5R,16,-5.75,-0.3592,0.25,0.47,5,-10.5,-6.3,0.05,0.22
SHORT|cl7|direct_bos|stop1.0|div_req=True|tgt2.5R,16,-5.82,-0.3637,0.25,0.46,5,-10.35,-6.3,0.05,0.22
SHORT|cl7|direct_bos|stop1.0|div_req=True|tgt2.0R,16,-6.2,-0.3876,0.25,0.42,5,-10.35,-6.3,0.05,0.22
SHORT|cl7|direct_bos|stop0.75|div_req=True|tgt2.0R,16,-6.28,-0.3926,0.25,0.43,5,-10.5,-6.3,0.05,0.22
