candidate_id,timestamp,source,source_family,kept,prune_reason,overextended_entry,src_redundant,bear_flag,GT_match,NAO_match,gt_id,fragile_BOM,notes
C2542,2014-09-24 02:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C2543,2014-09-24 06:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C2551,2014-09-25 14:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C2552,2014-09-25 18:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C2553,2014-09-25 22:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C2554,2014-09-26 02:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C2578,2014-10-02 02:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C2599,2014-10-07 14:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C2601,2014-10-07 22:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C2602,2014-10-08 02:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C2606,2014-10-08 18:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C2607,2014-10-08 22:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C2608,2014-10-09 02:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C2610,2014-10-09 10:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C2611,2014-10-09 14:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C2612,2014-10-09 18:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C2614,2014-10-10 02:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C2615,2014-10-10 06:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C2617,2014-10-10 14:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C2618,2014-10-10 18:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C2620,2014-10-13 02:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C2622,2014-10-13 10:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C2623,2014-10-13 14:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
