episode_id,bar_idx,ts,datetime,price,atr,macro_leg_direction,macro_leg_phase,trend_30_atr,trend_90_atr,slope20_atr,dist_sma20_atr,dist_sma50_atr,price_vs_sma50,rsi_1d,rsi_1d_ma,rsi_1d_sub_ma,drop20_atr,rise20_atr,rsi,rsi_min8,rsi_max8,rsi_vs_ma,rsi_drop_6b,consec_down,consec_up,range_exp,atr_level,atr_pctile_proxy,sweet_spot_falling_knife,legpos30,legpos60,legpos90,rsi_bear_div_20b,rsi_bull_div_20b,nas_long_new_8b,nas_short_new_8b,nas_dist_ema_atr,nas_rsi,nas_1d_long_recent,bub_buy_s,bub_buy_m,bub_buy_L,bub_sell_s,bub_sell_m,bub_sell_L,bub_poc_recent,bub_buy_total,bub_sell_total,bub_buy_sell_ratio,bub_large_sell_10b,bub_large_buy_10b,has_4h_demand,dist_4h_demand_low_atr,demand_width_atr,demand_age_bars,demand_touched_on_retest,demand_origin_of_leg,has_d1_demand,dist_d1_demand_atr,has_4h_supply_overhead,dist_4h_supply_low_atr,supply_blocks_2ATR,supply_blocks_3ATR,supply_rejected_before,supply_broken_before,has_d1_supply,dist_d1_supply_atr,rel_volume,below_VAL,dist_POC_atr,dist_VAL_atr,va_width_atr,smc_bos,smc_choch_bars_ago,smc_choch_text,reclaim_body_atr,reclaim_dist_from_demand_atr,reclaim_dist_from_supply_atr,sl_atr,sl_source,sl_type,F_STRICT_top_late,hour_utc,dead_hour
,782,1375365600,2013-08-01 14:00,1309.82,11.96,REFERENCE_ONLY,REFERENCE_ONLY,-1.42,2.07,-2.14,-1.24,-1.54,below,54.2,55.9,True,2.14,0.07,44.42,37.75,54.8,below,9.2,2,0,0.71,11.96,1.33,False,11.5,42.1,52.8,1,0,0,0,,44.42,0,0,0,0,2,1,1,0,0,4,0.0,2,0,1,5.64,0.71,,0,0,1,3.1,1,1.61,1,1,1,0,1,2.64,,,,,,,,,-0.5,4.93,1.61,0.44,demand,LATE_WIDE,False,14,False
,811,1375956000,2013-08-08 10:00,1305.67,9.04,REFERENCE_ONLY,REFERENCE_ONLY,-1.12,2.0,-0.94,1.6,-0.28,below,45.8,53.2,True,0.94,3.16,44.63,32.73,47.23,above,2.6,0,1,2.38,9.04,0.99,False,59.1,48.2,44.0,0,0,0,0,,44.63,0,0,0,0,2,1,2,0,0,5,0.0,5,0,1,3.62,1.04,,1,0,1,2.68,1,0.9,1,1,0,0,1,2.57,,,,,,,,,1.79,2.58,0.9,3.72,demand,NORMAL_DEMAND_BASE,False,10,False
,823,1376301600,2013-08-12 10:00,1340.66,9.39,REFERENCE_ONLY,REFERENCE_ONLY,3.98,1.45,6.24,3.57,3.7,above,56.9,51.9,False,0.0,6.77,63.08,57.41,70.01,above,6.9,0,1,2.52,9.39,1.01,True,95.5,95.5,90.9,0,0,0,0,2.05,63.08,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.79,0.95,,1,0,1,4.12,1,0.12,1,1,1,0,1,1.31,,,,,,,3,CHOCH,1.71,2.84,0.12,3.89,demand,NORMAL_DEMAND_BASE,False,10,False
,879,1377280800,2013-08-23 18:00,1397.33,10.07,REFERENCE_ONLY,REFERENCE_ONLY,2.06,8.51,2.19,2.23,3.53,above,63.3,59.0,False,0.21,3.29,72.59,57.6,72.59,above,0.0,1,0,0.42,10.07,1.03,False,94.5,97.0,97.9,1,0,0,0,4.01,72.59,0,3,2,0,0,0,0,0,5,0,5,0,2,1,4.5,1.0,,1,0,1,4.07,1,1.59,1,1,0,0,1,0.06,,,,,,,,,-0.21,3.5,1.59,4.6,demand,TOP_EXHAUSTION,True,18,True
,937,1378461600,2013-09-06 10:00,1384.73,12.62,REFERENCE_ONLY,REFERENCE_ONLY,-0.91,1.39,-0.49,-0.37,-1.14,below,50.2,62.9,True,2.25,1.43,34.18,31.73,47.98,below,13.8,0,1,3.29,12.62,1.34,True,45.8,35.2,40.0,0,0,1,0,,34.18,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1.57,0.77,,1,1,1,3.75,1,0.43,1,1,1,0,1,1.13,,,,,,,5,CHOCH,1.42,0.81,0.43,1.67,demand,V_REVERSAL_DEMAND,False,10,False
,988,1379541600,2013-09-18 22:00,1361.91,13.12,REFERENCE_ONLY,REFERENCE_ONLY,0.14,-3.6,3.8,3.22,1.48,above,31.2,47.4,True,0.14,4.99,66.02,28.69,66.02,above,0.0,1,0,0.61,13.12,1.39,False,91.7,64.9,55.4,0,1,0,0,1.82,66.02,1,0,0,0,2,4,0,0,0,6,0.0,5,0,1,5.34,0.76,,1,0,1,2.45,1,3.39,0,0,0,0,1,1.74,,,,,,,1,CHOCH,-0.05,4.58,3.39,5.44,swing,LATE_WIDE,False,22,False
,996,1379656800,2013-09-20 06:00,1358.43,13.28,REFERENCE_ONLY,REFERENCE_ONLY,3.35,-2.84,3.34,1.56,1.48,above,51.4,45.9,False,0.72,4.67,62.31,62.31,67.67,above,5.4,4,0,0.73,13.28,1.36,False,79.9,65.7,53.5,0,0,0,0,1.4,62.31,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.02,0.75,,1,0,1,2.21,1,0.53,1,1,1,0,1,1.76,,,,,,,9,CHOCH,-0.2,4.27,0.53,5.12,swing,LATE_WIDE,False,6,False
,1066,1381183200,2013-10-07 22:00,1325.93,6.8,REFERENCE_ONLY,REFERENCE_ONLY,-0.42,1.75,1.25,1.56,0.95,above,43.5,43.9,True,0.0,2.89,56.7,45.56,57.4,above,0.7,0,2,1.03,6.8,0.64,False,80.6,72.7,49.5,0,0,0,0,0.39,56.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0,1.46,,1,1,1,1.22,1,0.26,1,1,1,0,1,1.09,,,,,,,,,0.55,1.54,0.26,3.1,demand,NORMAL_DEMAND_BASE,False,22,False
,1112,1382018400,2013-10-17 14:00,1321.4,14.24,REFERENCE_ONLY,REFERENCE_ONLY,1.69,-0.22,2.66,2.7,1.89,above,38.5,40.4,True,0.0,4.76,65.48,42.1,65.48,above,0.0,0,3,0.43,14.24,1.49,False,96.0,89.1,75.5,0,0,0,0,2.08,65.48,1,2,0,0,1,0,0,0,2,1,2.0,0,0,1,3.66,0.69,,1,0,1,2.96,1,3.11,0,0,0,0,1,1.26,,,,,,,1,CHOCH,0.18,2.96,3.11,3.76,demand,NORMAL_DEMAND_BASE,False,14,False
,1233,1384455600,2013-11-14 19:00,1287.13,7.99,REFERENCE_ONLY,REFERENCE_ONLY,-2.53,-7.27,0.59,1.0,-1.09,below,39.1,43.5,True,0.0,2.44,50.19,30.88,50.19,above,0.0,0,1,0.49,7.99,1.14,False,49.3,39.0,25.7,0,0,0,0,,50.19,1,0,0,0,2,0,0,0,0,2,0.0,0,0,1,3.22,1.23,,1,0,1,0.49,1,2.21,0,1,0,0,1,0.67,,,,,,,,,0.21,1.99,2.21,3.32,demand,NORMAL_DEMAND_BASE,False,19,False
