candidate_id,timestamp,source,label,GT_match,NAO_match,gt_id,at_D1_demand,inside_d1_demand,dist_above_d1_atr,d1_record_used_ts,supply_overhead,dist_to_supply,inside_custom_ob_demand,near_custom_ob_demand,dist_to_demand,inside_custom_ob_supply,macro_leg_id,macro_leg_phase,macro_leg_direction,feature_availability,context_notes
C1858,2014-04-15 14:00,fractal_3_3,UNKNOWN,no,no,,0,0,0.87,2014-04-14T20:58:59+00:00,1,22.94,0,0,14.86,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1859,2014-04-15 18:00,fractal_3_3,UNKNOWN,no,no,,0,0,0.87,2014-04-14T20:58:59+00:00,0,22.86,0,0,14.94,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1860,2014-04-15 22:00,fractal_3_3,UNKNOWN,no,no,,0,0,0.59,2014-04-15T20:58:59+00:00,0,27.75,0,0,10.05,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1861,2014-04-16 02:00,fractal_3_3,UNKNOWN,no,no,,0,0,0.62,2014-04-15T20:58:59+00:00,0,27.19,0,0,5.26,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1862,2014-04-16 06:00,fractal_3_3,UNKNOWN,no,no,,0,0,0.8,2014-04-15T20:58:59+00:00,0,24.35,0,0,8.1,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1863,2014-04-16 10:00,fractal_3_3,UNKNOWN,no,no,,0,0,0.84,2014-04-15T20:58:59+00:00,1,23.59,0,0,8.86,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1864,2014-04-16 14:00,fractal_3_3,UNKNOWN,no,no,,0,0,0.86,2014-04-15T20:58:59+00:00,1,23.26,0,0,9.19,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1865,2014-04-16 18:00,fractal_3_3,UNKNOWN,no,no,,0,0,0.88,2014-04-15T20:58:59+00:00,1,22.99,0,0,9.46,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1867,2014-04-17 02:00,fractal_3_3,UNKNOWN,no,no,,0,0,0.85,2014-04-16T20:58:59+00:00,0,23.94,0,1,1.17,1,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1868,2014-04-17 06:00,fractal_3_3,UNKNOWN,no,no,,0,0,0.68,2014-04-16T20:58:59+00:00,1,1.8,1,0,5.84,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1869,2014-04-17 10:00,fractal_3_3,UNKNOWN,no,no,,0,0,0.87,2014-04-16T20:58:59+00:00,0,23.65,0,1,1.46,1,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1871,2014-04-17 18:00,fractal_3_3,UNKNOWN,no,no,,1,0,0.43,2014-04-16T20:58:59+00:00,1,5.65,1,1,1.99,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1874,2014-04-21 06:00,fractal_3_3,UNKNOWN,no,no,,1,0,0.01,2014-04-17T20:58:59+00:00,1,9.71,0,0,7.2,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1876,2014-04-21 14:00,fractal_3_3,UNKNOWN,no,no,,1,0,0.08,2014-04-17T20:58:59+00:00,1,8.57,0,0,8.34,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1877,2014-04-21 18:00,fractal_3_3,UNKNOWN,no,no,,1,0,0.11,2014-04-17T20:58:59+00:00,1,8.06,0,1,1.31,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1878,2014-04-21 22:00,fractal_3_3,UNKNOWN,no,no,,1,0,0.03,2014-04-21T20:58:59+00:00,1,9.43,1,0,7.48,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1879,2014-04-22 02:00,fractal_3_3,UNKNOWN,no,no,,1,0,0.1,2014-04-21T20:58:59+00:00,1,8.33,0,1,1.04,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1880,2014-04-22 06:00,fractal_3_3,UNKNOWN,no,no,,1,0,0.18,2014-04-21T20:58:59+00:00,1,7.0,0,1,2.37,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1893,2014-04-24 10:00,fractal_3_3,UNKNOWN,no,no,,1,0,0.22,2014-04-23T20:58:59+00:00,1,6.12,0,0,5.28,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1894,2014-04-24 14:00,fractal_3_3,UNKNOWN,no,no,,1,0,0.18,2014-04-23T20:58:59+00:00,1,6.75,0,0,4.65,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1895,2014-04-24 18:00,fractal_3_3,UNKNOWN,no,no,,1,0,0.3,2014-04-23T20:58:59+00:00,1,4.8,0,0,6.6,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1896,2014-04-24 22:00,fractal_3_3,UNKNOWN,no,no,,1,0,0.23,2014-04-24T20:58:59+00:00,1,6.15,0,0,5.25,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1897,2014-04-25 02:00,fractal_3_3,UNKNOWN,no,no,,1,0,0.24,2014-04-24T20:58:59+00:00,0,33.28,0,0,5.52,1,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1898,2014-04-25 06:00,fractal_3_3,UNKNOWN,no,no,,1,0,0.44,2014-04-24T20:58:59+00:00,0,30.03,0,0,8.77,1,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1900,2014-04-25 14:00,fractal_3_3,UNKNOWN,no,no,,0,0,0.76,2014-04-24T20:58:59+00:00,0,24.8,0,0,14.0,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
