date,t,kind,price,atr,leg_atr,leg_pct,leg_usd,leg_days,path_eff,giveback_atr,power_score,durab_days,durab_atr,zigzag_out_atr,truncated,yr,tier,tier_clean
2024-07-10 01:00,1720573200,BOT,2363.24,0.99,23.53,0.99,23.4,0.53,0.43,5.99,10.2,11.0,121.0,23.5,0,2024,FORTE,FORTE
2025-02-04 07:30,1738654200,BOT,2807.22,3.2,23.46,2.67,75.1,1.3,0.34,5.73,8.0,319.6,871.8,23.5,0,2025,FORTE,FORTE
2026-01-16 15:30,1768577400,BOT,4536.56,15.17,23.2,7.76,352.0,2.38,0.37,2.47,8.6,10.0,70.0,23.2,0,2026,FORTE,FORTE
2026-04-27 04:30,1777264200,TOP,4730.08,7.57,23.15,3.71,175.3,1.27,0.35,4.53,8.2,7.8,30.3,23.2,0,2026,FORTE,FORTE
2026-02-17 14:00,1771336800,BOT,4841.9,17.68,23.06,8.42,407.8,4.18,0.21,4.22,4.7,20.1,32.6,23.1,0,2026,FORTE,MEDIO
2025-05-27 00:15,1748304900,TOP,3349.87,2.82,22.94,1.93,64.7,0.57,0.38,6.76,8.8,4.1,37.0,22.9,0,2025,FORTE,FORTE
2025-05-20 03:00,1747710000,BOT,3204.57,6.15,22.89,4.39,140.8,1.93,0.26,4.92,5.9,248.9,389.1,22.9,0,2025,FORTE,FORTE
2025-05-13 06:45,1747118700,TOP,3265.43,6.34,22.88,4.44,145.0,1.89,0.28,5.15,6.3,5.1,22.9,22.9,0,2025,FORTE,MEDIO
2024-10-07 11:45,1728301500,TOP,2659.67,2.42,22.76,2.07,55.2,1.11,0.26,10.15,5.9,4.0,23.9,22.8,0,2024,FORTE,MEDIO
2025-02-14 20:30,1739565000,BOT,2876.73,3.5,22.35,2.72,78.2,3.26,0.16,8.14,3.5,8.3,22.7,22.3,0,2025,FORTE,MEDIO
2025-02-25 02:15,1740449700,TOP,2952.1,2.88,22.25,2.17,64.2,0.57,0.44,7.21,9.7,12.0,41.5,22.3,0,2025,FORTE,FORTE
2025-01-20 01:00,1737334800,BOT,2689.36,3.38,21.89,2.75,74.0,2.21,0.25,4.88,5.4,330.3,859.8,21.9,0,2025,FORTE,MEDIO
