block,nas_id,dir,nas_t,entry_t,entry_dt,entry_close,zone_id,zone_type,zone_low,zone_high,zone_width_atr,zone_age_bars,zone_pre_existing,zone_virgin,mitig_count,penetration_pct,bars_in_zone,acceptance_beyond_mid,arrival_atr,nas_dist_ema_atr,dist_edge_atr,nas_count_in_zone,nas_cluster_span_bars,nas_before_touch,op_flow,setup_vs_flow,last_smc,bars_since_smc,smc_bos_choch_50,rsi,hour_utc,dow,macro,macro_swing_dir,macro_ema_pos,leg_dir,setup_vs_macro,is_pullback,sweep_reclaim,sweep_depth_atr,failed_breakdown,brk_exc_atr,micro_choch,nas_density50,room_to_run_atr
2024-05-25_to_2024-08-25,1296,LONG,1717761600,1717762500,2024-06-07T12:15,2333.15,4648,DEMAND,2329.15,2332.01,0.626,172,False,False,1,0.0,1,False,0.197,-4.78,0.249,2,2,True,-1,reversal,CHoCH,15,3,26.52,12,4,NEUTRAL,1,-1,1,neutral_macro,False,0,0.0,0,-0.92,1,6,1.05
2024-05-25_to_2024-08-25,1298,LONG,1717766100,1717767000,2024-06-07T13:30,2316.95,4628,DEMAND,2315.56,2318.48,0.465,268,False,True,0,1.5,4,False,2.557,-5.4,-0.244,1,0,False,-1,reversal,CHoCH,20,3,16.97,13,4,NEUTRAL,1,-1,1,neutral_macro,False,0,0.0,0,0.37,1,7,2.23
2024-05-25_to_2024-08-25,1311,LONG,1717785000,1717785900,2024-06-07T18:45,2301.51,4692,DEMAND,2302.98,2306.51,0.798,6,False,True,0,1.5,6,True,0.269,-4.64,-1.131,1,0,False,0,neutral,CHoCH,18,2,31.45,18,4,NEUTRAL,1,-1,1,neutral_macro,False,0,0.0,0,0.6,1,14,2.13
2024-05-25_to_2024-08-25,1323,SHORT,1718109900,1718110800,2024-06-11T13:00,2314.8,4694,SUPPLY,2317.72,2321.05,1.147,162,False,True,0,0.667,2,False,4.072,3.9,1.006,1,0,False,1,reversal,CHoCH,1,7,74.1,13,1,NEUTRAL,0,-1,1,neutral_macro,False,0,5.28,0,-0.38,1,1,2.24
2024-05-25_to_2024-08-25,1328,SHORT,1718213400,1718214300,2024-06-12T17:45,2334.36,4749,SUPPLY,2338.84,2341.6,0.681,14,False,True,0,0.254,3,False,2.978,3.28,1.106,1,0,False,0,neutral,BOS,19,4,67.09,17,2,BULL,1,1,-1,counter_macro,False,0,6.43,0,-0.51,1,2,2.06
2024-05-25_to_2024-08-25,1332,LONG,1718280000,1718280900,2024-06-13T12:15,2307.46,4723,DEMAND,2301.54,2304.06,0.795,189,False,True,0,0.063,2,False,2.666,-2.98,1.073,1,0,False,0,neutral,CHoCH,1,5,32.09,12,3,NEUTRAL,1,-1,-1,neutral_macro,False,0,0.0,0,-0.74,1,2,1.41
2024-05-25_to_2024-08-25,1346,SHORT,1718366400,1718367300,2024-06-14T12:15,2330.42,4751,SUPPLY,2337.33,2339.54,0.577,158,False,True,0,0.0,1,False,1.79,4.61,1.805,1,0,False,1,reversal,BOS,8,4,71.55,12,4,NEUTRAL,-1,1,1,neutral_macro,False,0,0.0,0,-1.82,0,6,1.15
2024-05-25_to_2024-08-25,1351,LONG,1718604900,1718605800,2024-06-17T06:30,2316.87,4781,DEMAND,2315.24,2317.92,1.296,76,False,True,0,0.422,3,False,2.825,-2.94,-0.508,1,0,False,1,continuation,BOS,1,5,30.26,6,0,NEUTRAL,0,1,-1,neutral_macro,False,0,0.0,0,-0.75,0,1,0.76
2024-05-25_to_2024-08-25,1354,LONG,1718607600,1718608500,2024-06-17T07:15,2319.49,4781,DEMAND,2315.24,2317.92,1.157,79,False,True,0,0.918,6,False,2.521,-3.12,0.678,2,3,False,0,neutral,BOS,4,5,29.42,7,0,NEUTRAL,0,1,1,neutral_macro,False,0,0.0,0,-0.09,0,2,2.05
2024-05-25_to_2024-08-25,1356,LONG,1718608500,1718609400,2024-06-17T07:30,2316.16,4781,DEMAND,2315.24,2317.92,1.163,80,False,True,0,0.918,7,False,2.535,-2.59,-0.764,3,4,False,0,neutral,BOS,5,5,34.19,7,0,NEUTRAL,0,1,1,neutral_macro,False,0,0.0,0,-0.1,0,3,0.99
