block,nas_id,dir,nas_t,entry_t,entry_dt,entry_close,zone_id,zone_type,zone_low,zone_high,zone_width_atr,zone_age_bars,zone_pre_existing,zone_virgin,mitig_count,penetration_pct,bars_in_zone,acceptance_beyond_mid,arrival_atr,nas_dist_ema_atr,dist_edge_atr,nas_count_in_zone,nas_cluster_span_bars,nas_before_touch,op_flow,setup_vs_flow,last_smc,bars_since_smc,smc_bos_choch_50,rsi,hour_utc,dow,macro,macro_swing_dir,macro_ema_pos,leg_dir,setup_vs_macro,is_pullback,sweep_reclaim,sweep_depth_atr,failed_breakdown,brk_exc_atr,micro_choch,nas_density50,room_to_run_atr
2024-05-25_to_2024-08-25,1502,LONG,1720457100,1720458000,2024-07-08T17:00,2359.36,5089,DEMAND,2350.77,2353.33,0.54,0,False,True,0,0.0,1,False,3.073,-3.89,1.273,1,0,False,0,neutral,CHoCH,5,3,27.81,17,0,NEUTRAL,0,1,1,neutral_macro,False,0,0.0,0,-1.33,1,4,0.18
2024-05-25_to_2024-08-25,1512,SHORT,1720613700,1720614600,2024-07-10T12:30,2380.46,5087,SUPPLY,2377.01,2379.52,1.3,173,False,True,0,1.5,4,True,2.087,3.99,-1.787,1,0,False,1,reversal,BOS,2,6,68.02,12,2,NEUTRAL,-1,1,1,neutral_macro,False,0,0.0,0,1.09,0,2,3.41
2024-05-25_to_2024-08-25,1514,SHORT,1720669500,1720670400,2024-07-11T04:00,2380.15,5130,SUPPLY,2378.86,2381.32,1.661,39,False,True,0,0.541,4,False,2.641,3.52,-0.871,1,0,False,1,reversal,CHoCH,20,2,72.55,4,3,NEUTRAL,0,1,-1,neutral_macro,False,0,0.0,0,-0.76,1,1,5.12
2024-05-25_to_2024-08-25,1516,SHORT,1720670400,1720671300,2024-07-11T04:15,2381.37,5130,SUPPLY,2378.86,2381.32,1.596,40,False,True,0,0.541,5,True,2.537,2.81,-1.628,2,1,False,1,reversal,CHoCH,21,2,66.19,4,3,BULL,1,1,-1,counter_macro,False,0,0.0,0,-0.73,1,2,5.71
2024-05-25_to_2024-08-25,1534,LONG,1720781100,1720782000,2024-07-12T11:00,2401.82,5158,DEMAND,2400.34,2402.97,1.023,10,False,True,0,1.228,4,True,1.035,-2.03,-0.447,1,0,False,-1,reversal,BOS,18,2,35.06,11,4,BULL,1,1,1,with_macro,False,0,0.0,0,0.23,1,1,1.49
2024-05-25_to_2024-08-25,1544,SHORT,1721060100,1721061000,2024-07-15T16:30,2433.15,5179,SUPPLY,2434.87,2437.47,0.586,0,False,True,0,0.0,1,False,2.062,3.92,0.388,1,0,False,1,reversal,BOS,8,3,69.94,16,0,NEUTRAL,0,1,-1,neutral_macro,False,0,0.0,0,-0.84,1,4,4.31
2024-05-25_to_2024-08-25,1586,LONG,1721334600,1721335500,2024-07-18T20:45,2445.05,5247,DEMAND,2440.32,2443.51,0.986,0,False,True,0,0.0,1,False,2.095,-3.82,0.476,1,0,False,-1,reversal,CHoCH,7,5,30.47,20,3,NEUTRAL,0,1,1,neutral_macro,False,0,7.53,0,0.0,1,5,3.21
2024-05-25_to_2024-08-25,1594,LONG,1721349000,1721349900,2024-07-19T00:45,2434.36,5188,DEMAND,2425.1,2427.34,0.9,257,False,True,0,0.54,2,False,5.042,-6.24,2.82,1,0,False,0,neutral,BOS,0,4,19.56,0,4,NEUTRAL,0,1,-1,neutral_macro,False,0,15.49,0,-0.41,1,9,3.28
2024-05-25_to_2024-08-25,1596,LONG,1721349900,1721350800,2024-07-19T01:00,2426.11,5199,DEMAND,2429.42,2432.05,1.04,224,False,True,0,1.5,4,False,5.432,-5.44,-2.348,1,0,False,-1,reversal,BOS,1,4,25.93,1,4,NEUTRAL,0,1,1,neutral_macro,False,0,15.24,0,1.3,1,10,6.49
2024-05-25_to_2024-08-25,1598,LONG,1721350800,1721351700,2024-07-19T01:15,2421.84,5199,DEMAND,2429.42,2432.05,0.819,225,False,True,0,1.5,5,True,4.279,-5.14,-3.18,2,1,False,-1,reversal,BOS,2,4,26.55,1,4,NEUTRAL,0,1,1,neutral_macro,False,0,12.69,0,1.71,1,11,6.44
2024-05-25_to_2024-08-25,1600,LONG,1721353500,1721354400,2024-07-19T02:00,2426.49,5193,DEMAND,2419.75,2422.34,0.622,244,False,True,0,0.734,3,False,5.56,-5.34,0.996,1,0,False,-1,reversal,BOS,5,4,26.73,2,4,NEUTRAL,0,1,1,neutral_macro,False,0,10.62,0,-0.17,1,12,1.26
2024-05-25_to_2024-08-25,1606,LONG,1721370600,1721371500,2024-07-19T06:45,2419.94,5177,DEMAND,2411.46,2414.03,0.747,338,False,True,0,0.0,1,False,2.405,-4.66,1.718,1,0,False,1,continuation,BOS,1,3,28.49,6,4,NEUTRAL,0,1,-1,neutral_macro,False,0,14.67,0,-1.53,0,14,2.46
2024-05-25_to_2024-08-25,1620,LONG,1721664000,1721664900,2024-07-22T16:15,2388.3,5286,DEMAND,2383.82,2387.1,0.749,2,False,True,0,0.866,3,False,1.769,-3.02,0.274,1,0,False,0,neutral,BOS,6,7,32.23,16,0,BEAR,-1,-1,1,counter_macro,False,0,3.65,0,0.0,1,4,1.95
2024-05-25_to_2024-08-25,1622,LONG,1721664900,1721665800,2024-07-22T16:30,2391.47,5286,DEMAND,2383.82,2387.1,0.781,3,False,True,0,0.866,4,False,1.843,-2.76,1.04,2,1,False,0,neutral,BOS,7,7,34.28,16,0,BEAR,-1,-1,1,counter_macro,False,0,3.81,0,0.0,1,5,1.28
2024-05-25_to_2024-08-25,1630,SHORT,1721731500,1721732400,2024-07-23T11:00,2408.03,5282,SUPPLY,2408.85,2412.14,0.994,84,False,True,0,0.0,1,False,1.109,2.77,0.248,1,0,False,-1,continuation,CHoCH,8,3,66.96,11,1,BEAR,-1,-1,1,with_macro,True,0,0.0,0,-1.31,1,4,1.46
2024-05-25_to_2024-08-25,1632,SHORT,1721735100,1721736000,2024-07-23T12:00,2407.83,5282,SUPPLY,2408.85,2412.14,1.013,88,False,True,0,0.96,3,False,1.7,2.59,0.314,2,4,True,0,neutral,CHoCH,12,3,65.3,12,1,BEAR,-1,-1,-1,with_macro,False,0,0.0,0,-0.04,1,5,1.43
