event_id,symbol,tf,cls_at_signal,r,bubble,nas,shapes_n
2026-05-06T14:30:10.585422+00:00_PEPPERSTONE:XPTUSD_30_monitor_zone,XPTUSD,30,SETUP_CANDIDATO_FORTE — REVISÃO HUMANA,-1.0,unclear,NONE,
2026-05-06T15:30:05.725029+00:00_PEPPERSTONE:XAUUSD_30_monitor_dynamic_bb_zone,XAUUSD,30,SETUP_EM_OBSERVACAO,-1.0,unclear,NONE,
2026-05-06T17:00:03.115115+00:00_PEPPERSTONE:EURUSD_15_monitor_dynamic_line,EURUSD,15,SETUP_EM_OBSERVACAO,-1.0,unclear,NONE,
2026-05-06T17:00:05.232837+00:00___,,,SETUP_EM_OBSERVACAO,-1.0,unclear,NONE,
2026-05-06T19:00:02.221401+00:00_PEPPERSTONE:ETHUSD_60_monitor_zone,ETHUSD,60,SETUP_EM_OBSERVACAO,1.81,cluster_absent,NONE,
2026-05-06T19:30:08.680437+00:00_PEPPERSTONE:XAUUSD_30_monitor_dynamic_bb_zone,XAUUSD,30,SETUP_EM_OBSERVACAO,-1.0,unclear,NONE,
2026-05-06T21:00:00.899480+00:00_PEPPERSTONE:XPTUSD_240_monitor_zone,XPTUSD,240,SETUP_EM_OBSERVACAO,-1.0,unclear,NONE,
2026-05-06T22:30:04.185548+00:00_PEPPERSTONE:XAUUSD_30_monitor_dynamic_bb_zone,XAUUSD,30,SETUP_EM_OBSERVACAO,-1.0,cluster_absent,NONE,0.0
2026-05-06T23:00:02.247809+00:00_PEPPERSTONE:ETHUSD_60_monitor_zone,ETHUSD,60,SETUP_EM_OBSERVACAO,2.67,unclear,NONE,
2026-05-07T01:00:08.781925+00:00_PEPPERSTONE:ETHUSD_240_monitor_trendline_ltb,ETHUSD,240,SETUP_CANDIDATO_FORTE,3.19,unclear,NONE,
2026-05-07T01:30:04.980931+00:00_PEPPERSTONE:XAUUSD_30_monitor_zone,XAUUSD,30,INTRADAY_EM_OBSERVACAO,-1.0,unclear,NONE,
2026-05-07T02:30:02.515856+00:00_PEPPERSTONE:XAUUSD_30_monitor_zone,XAUUSD,30,SETUP_EM_OBSERVACAO (curto),-1.0,unclear,NONE,
2026-05-07T03:00:10.065764+00:00_PEPPERSTONE:ETHUSD_60_monitor_breakout,ETHUSD,60,SETUP_EM_OBSERVACAO (rompimento já se desfez),-1.0,unclear,NONE,
2026-05-07T04:00:07.975971+00:00_PEPPERSTONE:XAUUSD_30_monitor_dynamic_bb_zone,XAUUSD,30,SETUP_CANDIDATO_FORTE (REVISÃO HUMANA — não é entrada automática),-1.0,unclear,NONE,
2026-05-07T05:00:03.935788+00:00_PEPPERSTONE:EURUSD_15_monitor_dynamic_line,EURUSD,15,SETUP_EM_OBSERVACAO,-1.0,unclear,NONE,
2026-05-07T06:00:06.160053+00:00_PEPPERSTONE:ETHUSD_60_monitor_zone,ETHUSD,60,SETUP_EM_OBSERVACAO,1.05,unclear,NONE,
2026-05-07T06:00:06.157564+00:00_PEPPERSTONE:ETHUSD_60_monitor_breakout,ETHUSD,60,SETUP_EM_OBSERVACAO,-1.0,unclear,NONE,
2026-05-07T07:00:05.469898+00:00_PEPPERSTONE:XAUUSD_60_monitor_zone,XAUUSD,60,SETUP_CANDIDATO_FORTE,-1.0,unclear,NONE,
2026-05-07T09:00:08.167717+00:00_PEPPERSTONE:EURUSD_30_monitor_dynamic_bb_zone,EURUSD,30,SETUP_EM_OBSERVACAO,1.8,cluster_absent,NONE,0.0
2026-05-07T09:00:14.474572+00:00_PEPPERSTONE:XAUUSD_60_monitor_zone,XAUUSD,60,SETUP_CANDIDATO_FORTE,-1.0,unclear,NONE,
2026-05-07T11:00:06.397667+00:00_PEPPERSTONE:ETHUSD_60_monitor_breakout,ETHUSD,60,SETUP_EM_OBSERVACAO,-1.0,cluster_absent,NONE,0.0
2026-04-29T12:30:03.879609+00:00_PEPPERSTONE:XAUUSD_15_monitor_zone,XAUUSD,15,INTRADAY_EM_OBSERVACAO,-1.0,cluster_absent,NONE,0.0
2026-04-29T13:45:12.133603+00:00_PEPPERSTONE:XAUUSD_15_monitor_zone,XAUUSD,15,INTRADAY_EM_OBSERVACAO,2.0,cluster_present,NONE,
2026-04-29T16:00:13.407331+00:00_PEPPERSTONE:ETHUSD_60_monitor_zone,ETHUSD,60,INTRADAY_EM_OBSERVACAO,-1.0,unclear,NONE,
2026-04-29T17:00:02.546122+00:00_PEPPERSTONE:XPTUSD_30_monitor_zone,XPTUSD,30,INTRADAY_EM_OBSERVACAO,-1.0,unclear,NONE,
2026-04-29T19:00:14.520629+00:00_PEPPERSTONE:XAUUSD_15_monitor_zone,XAUUSD,15,INTRADAY_EM_OBSERVACAO,1.45,unclear,NONE,
2026-04-29T20:00:06.662214+00:00_PEPPERSTONE:XPTUSD_30_monitor_zone,XPTUSD,30,INTRADAY_EM_OBSERVACAO,2.11,unclear,NONE,
2026-04-29T21:00:00.635329+00:00_PEPPERSTONE:US500_60_monitor_zone,US500,60,INTRADAY_EM_OBSERVACAO,1.82,unclear,NONE,
2026-04-30T01:00:01.849677+00:00_PEPPERSTONE:ETHUSD_60_monitor_zone,ETHUSD,60,INTRADAY_EM_OBSERVACAO,1.85,unclear,NONE,
2026-04-30T03:45:04.360080+00:00_PEPPERSTONE:XAUUSD_15_monitor_zone,XAUUSD,15,INTRADAY_EM_OBSERVACAO,0.37,cluster_absent,NONE,0.0
2026-04-30T05:00:05.414098+00:00_PEPPERSTONE:US500_60_monitor_zone,US500,60,INTRADAY_EM_OBSERVACAO,1.75,unclear,NONE,
2026-04-30T05:30:05.670041+00:00_PEPPERSTONE:XPTUSD_30_monitor_zone,XPTUSD,30,INTRADAY_EM_OBSERVACAO,1.83,unclear,NONE,
2026-04-30T09:30:07.918427+00:00_PEPPERSTONE:XAGUSD_30_monitor_zone,XAGUSD,30,INTRADAY_EM_OBSERVACAO,1.0,unclear,NONE,
2026-04-30T10:00:04.114237+00:00_PEPPERSTONE:XAUUSD_720_monitor_invalidation,XAUUSD,720,INTRADAY_EM_OBSERVACAO,2.0,unclear,NONE,
2026-04-30T11:00:06.508580+00:00_PEPPERSTONE:XAGUSD_30_monitor_zone,XAGUSD,30,INTRADAY_EM_OBSERVACAO,2.0,unclear,NONE,
2026-04-30T13:00:05.759805+00:00_PEPPERSTONE:XAGUSD_30_monitor_zone,XAGUSD,30,INTRADAY_EM_OBSERVACAO,2.0,unclear,NONE,
2026-04-30T18:00:06.129056+00:00_PEPPERSTONE:XAGUSD_30_monitor_zone,XAGUSD,30,INTRADAY_EM_OBSERVACAO,-1.0,unclear,NONE,
2026-04-30T19:00:04.559604+00:00_PEPPERSTONE:XAGUSD_30_monitor_zone,XAGUSD,30,INTRADAY_EM_OBSERVACAO,-1.0,unclear,NONE,
2026-04-30T20:00:07.249709+00:00_PEPPERSTONE:XAGUSD_30_monitor_zone,XAGUSD,30,INTRADAY_EM_OBSERVACAO,-1.0,unclear,NONE,
2026-05-01T04:00:05.968871+00:00_PEPPERSTONE:ETHUSD_60_monitor_zone,ETHUSD,60,INTRADAY_EM_OBSERVACAO,1.78,unclear,NONE,
2026-05-01T05:00:04.251773+00:00_PEPPERSTONE:XAGUSD_30_monitor_zone,XAGUSD,30,INTRADAY_EM_OBSERVACAO,-1.0,unclear,NONE,
2026-05-01T06:00:05.093382+00:00_PEPPERSTONE:XAGUSD_30_monitor_zone,XAGUSD,30,INTRADAY_EM_OBSERVACAO,3.16,unclear,NONE,
2026-05-01T07:00:03.624521+00:00_PEPPERSTONE:ETHUSD_60_monitor_zone,ETHUSD,60,INTRADAY_EM_OBSERVACAO,2.08,cluster_absent,NONE,0.0
2026-05-01T10:00:01.992859+00:00_PEPPERSTONE:XAUUSD_720_monitor_zone,XAUUSD,720,SETUP EM OBSERVAÇÃO / INTRADAY_EM_OBSERVACAO,1.57,unclear,NONE,
2026-05-04T11:00:09.154094+00:00_PEPPERSTONE:ETHUSD_60_monitor_zone,ETHUSD,60,INTRADAY_EM_OBSERVACAO,-1.0,cluster_absent,NONE,0.0
2026-05-07T12:00:10.068779+00:00_PEPPERSTONE:ETHUSD_60_monitor_breakout,ETHUSD,60,SETUP_EM_OBSERVACAO,2.0,cluster_absent,NONE,0.0
2026-05-07T13:00:03.252441+00:00_VANTAGE:USOUSD_60_monitor_zone,USOUSD,60,INTRADAY_EM_OBSERVACAO,2.0,unclear,NONE,
2026-05-07T13:45:19.671811+00:00_PEPPERSTONE:ETHUSD_30_monitor_dynamic_bb_zone,ETHUSD,30,SETUP_CANDIDATO_FORTE,-1.0,unclear,NONE,
2026-05-07T14:30:05.151030+00:00_PEPPERSTONE:XAUUSD_30_monitor_zone,XAUUSD,30,SETUP_EM_OBSERVACAO,2.0,cluster_absent,NONE,0.0
2026-05-07T15:00:08.501190+00:00_PEPPERSTONE:ETHUSD_15_monitor_dynamic_line,ETHUSD,15,SETUP_CANDIDATO_FORTE,2.5,unclear,NONE,
2026-05-07T16:00:23.208946+00:00_PEPPERSTONE:XAUUSD_60_monitor_zone,XAUUSD,60,SETUP_EM_OBSERVACAO,1.84,cluster_absent,NONE,0.0
2026-05-07T16:30:10.984405+00:00_PEPPERSTONE:ETHUSD_15_monitor_dynamic_line,ETHUSD,15,SETUP_EM_OBSERVACAO,3.72,unclear,NONE,
2026-05-07T17:30:12.764371+00:00_PEPPERSTONE:XAUUSD_30_monitor_dynamic_bb_zone,XAUUSD,30,SETUP_EM_OBSERVACAO,-1.0,cluster_absent,NONE,0.0
2026-05-07T18:00:18.529817+00:00_PEPPERSTONE:ETHUSD_15_monitor_dynamic_line,ETHUSD,15,SETUP_EM_OBSERVACAO,-1.0,unclear,NONE,
2026-05-07T18:00:10.771564+00:00_PEPPERSTONE:XAUUSD_30_monitor_zone,XAUUSD,30,SETUP_EM_OBSERVACAO,-1.0,unclear,NONE,
2026-05-07T18:45:04.351983+00:00_PEPPERSTONE:ETHUSD_15_monitor_dynamic_line,ETHUSD,15,SETUP_EM_OBSERVACAO,2.75,unclear,NONE,
2026-05-07T19:00:14.330044+00:00_PEPPERSTONE:XPTUSD_60_monitor_zone,XPTUSD,60,SETUP_EM_OBSERVACAO,0.93,unclear,NONE,
2026-05-07T19:00:11.363549+00:00_PEPPERSTONE:XAUUSD_30_monitor_zone,XAUUSD,30,SETUP_EM_OBSERVACAO,0.24,unclear,NONE,
2026-05-07T19:00:15.686453+00:00_PEPPERSTONE:XPTUSD_30_monitor_zone,XPTUSD,30,NO_TRADE,1.25,cluster_absent,NONE,0.0
2026-05-07T21:00:00.685440+00:00_PEPPERSTONE:EURUSD_30_monitor_dynamic_bb_zone,EURUSD,30,SETUP_EM_OBSERVACAO,2.0,unclear,NONE,
2026-05-07T21:00:00.713196+00:00_PEPPERSTONE:XAGUSD_720_monitor_zone,XAGUSD,720,SETUP_EM_OBSERVACAO (invalidated),-1.0,unclear,NONE,
