strategy,n,total_r_net,avg_r_net,win_rate,pf_net,max_losing_streak,r_no_top5_net,r_no_top10_net,trades_per_week,trades_per_month
BTC_SWING_4H_brk10_b70|DXY_strong_bear+BTCD_bull|HTF1D+12H|tgt3.0R,25,10.01,0.4005,0.48,2.04,3,-3.88,-9.17,0.11,0.46
BTC_SWING_4H_brk_dec_b70_r15|DXY_strong_bear+BTCD_strong_bull|HTF1D|tgt4.0R,16,9.91,0.6195,0.562,2.44,3,-3.62,-6.3,0.07,0.29
BTC_SWING_4H_brk_dec_b70_r15|DXY_strong_bear+BTCD_strong_bull|HTF_none|tgt4.0R,16,9.91,0.6195,0.562,2.44,3,-3.62,-6.3,0.07,0.29
BTC_SWING_4H_brk10_b70|DXY_strong_bear+BTCD_strong_bull|HTF1D+12H|tgt4.0R,20,9.91,0.4957,0.55,2.33,3,-3.61,-7.26,0.09,0.36
BTC_SWING_4H_brk_dec_b70_r15|BTCD_bull|HTF1D+12H|tgt2.5R,47,9.89,0.2105,0.404,1.55,7,-2.36,-11.24,0.18,0.75
BTC_SWING_4H_brk_dec_b70_r15|DXY_bear+BTCD_bull|HTF1D|tgt4.0R,28,9.82,0.3508,0.357,1.9,6,-5.72,-10.93,0.12,0.51
BTC_SWING_4H_brk_dec_b70_r15|DXY_bear+BTCD_bull|HTF_none|tgt4.0R,28,9.82,0.3508,0.357,1.9,6,-5.72,-10.93,0.12,0.51
BTC_SWING_4H_brk_dec_b70_r15|BTCD_strong_bull|HTF1D+12H|tgt2.5R,37,9.81,0.2652,0.459,1.74,6,-2.08,-8.96,0.14,0.59
BTC_SWING_4H_brk_dec_b70_r15|BTCD_strong_bull|HTF_none|tgt3.0R,37,9.8,0.265,0.432,1.68,6,-4.09,-10.96,0.14,0.59
BTC_SWING_4H_brk_dec_b70_r15|BTCD_strong_bull|HTF1D|tgt3.0R,37,9.8,0.265,0.432,1.68,6,-4.09,-10.96,0.14,0.59
BTC_SWING_4H_brk20_b50|BTCD_strong_bull|HTF_none|tgt3.0R,49,9.75,0.1989,0.388,1.55,8,-5.0,-13.65,0.18,0.78
BTC_SWING_4H_brk20_b50|BTCD_strong_bull|HTF1D+12H|tgt3.0R,49,9.75,0.1989,0.388,1.55,8,-5.0,-13.65,0.18,0.78
BTC_SWING_4H_brk20_b50|BTCD_strong_bull|HTF1D|tgt3.0R,49,9.75,0.1989,0.388,1.55,8,-5.0,-13.65,0.18,0.78
BTC_SWING_4H_brk10_b70|BTCD_strong_bull|HTF1D|tgt2.5R,43,9.71,0.2259,0.442,1.7,6,-2.18,-9.05,0.16,0.69
BTC_SWING_4H_brk10_b70|BTCD_strong_bull|HTF_none|tgt2.5R,43,9.71,0.2259,0.442,1.7,6,-2.18,-9.05,0.16,0.69
BTC_SWING_4H_brk10_b70|BTCD_strong_bull|HTF1D+12H|tgt2.5R,43,9.71,0.2259,0.442,1.7,6,-2.18,-9.05,0.16,0.69
BTC_SWING_4H_brk10_b70|BTCD_bull|HTF1D+12H|tgt3.0R,55,9.69,0.1761,0.364,1.47,8,-5.06,-14.45,0.21,0.88
BTC_SWING_4H_brk20_b50|BTCD_bull|HTF1D+12H|tgt4.0R,61,9.61,0.1575,0.344,1.38,10,-8.53,-18.79,0.23,0.97
BTC_SWING_4H_brk20_b50|BTCD_bull|HTF1D|tgt4.0R,61,9.61,0.1575,0.344,1.38,10,-8.53,-18.79,0.23,0.97
BTC_SWING_4H_brk20_b50|BTCD_bull|HTF_none|tgt4.0R,61,9.61,0.1575,0.344,1.38,10,-8.53,-18.79,0.23,0.97
BTC_SWING_4H_brk_dec_b70_r15|DXY_strong_bear|HTF1D|tgt2.5R,28,9.47,0.3382,0.464,1.89,3,-2.78,-9.59,0.1,0.44
BTC_SWING_4H_brk_dec_b70_r15|DXY_strong_bear|HTF_none|tgt2.5R,28,9.47,0.3382,0.464,1.89,3,-2.78,-9.59,0.1,0.44
BTC_SWING_4H_brk_dec_b70_r15|DXY_bear+BTCD_strong_bull|HTF1D+12H|tgt4.0R,20,9.46,0.473,0.45,2.29,5,-4.07,-7.29,0.08,0.36
BTC_SWING_4H_brk20_b50|BTCD_strong_bull|HTF_none|tgt2.0R,51,9.45,0.1852,0.451,1.57,8,-0.3,-10.05,0.19,0.82
BTC_SWING_4H_brk20_b50|BTCD_strong_bull|HTF1D+12H|tgt2.0R,51,9.45,0.1852,0.451,1.57,8,-0.3,-10.05,0.19,0.82
BTC_SWING_4H_brk20_b50|BTCD_strong_bull|HTF1D|tgt2.0R,51,9.45,0.1852,0.451,1.57,8,-0.3,-10.05,0.19,0.82
BTC_SWING_4H_failed_breakdown|BTCD_strong_bull|HTF_none|tgt4.0R,30,9.4,0.3134,0.3,1.97,7,-7.16,-9.71,0.12,0.52
BTC_SWING_4H_brk_dec_b70_r15|BTCD_altseason|HTF_none|tgt2.5R,11,9.37,0.8515,0.636,4.67,2,-1.31,-1.05,0.05,0.2
BTC_SWING_4H_brk_dec_b70_r15|DXY_bear|HTF1D+12H|tgt3.0R,39,9.37,0.2402,0.385,1.6,5,-5.38,-12.85,0.14,0.61
BTC_SWING_4H_brk_dec_b70_r15|BTCD_altseason|HTF1D|tgt2.5R,11,9.37,0.8515,0.636,4.67,2,-1.31,-1.05,0.05,0.2
