bar_idx,datetime,mfe_R,capped,letrun,policy,class_ABCDE,leg,context
3326,2022-02-24,0.29,-1.1,-1.0,TAKE,D_ruim_mantido,MACRO_TRANSITION,PULLBACK
3443,2022-03-24,0.82,-1.1,-1.0,TAKE,D_ruim_mantido,MACRO_BULL_LEG,PULLBACK
3474,2022-03-31,0.02,0.38,-1.0,REVIEW_RISK,E_residual,MACRO_RANGE,PULLBACK
3491,2022-04-05,0.0,0.9,-1.0,TAKE,D_ruim_mantido,MACRO_CORRECTIVE_PULLBACK,PULLBACK
3509,2022-04-08,4.61,0.9,-1.0,TAKE,E_residual,MACRO_CORRECTIVE_PULLBACK,PULLBACK
3622,2022-05-06,0.51,-1.1,-1.0,SKIP,E_residual,MACRO_RANGE,TOP
3678,2022-05-19,2.19,0.66,-1.0,REVIEW,E_residual,MACRO_BEAR_LEG,NEUTRAL
3773,2022-06-10,4.85,-1.1,-1.0,SKIP,E_residual,MACRO_BULL_LEG,TOP
3799,2022-06-16,0.0,-1.1,-1.0,SKIP,E_residual,MACRO_BULL_LEG,TOP
3825,2022-06-23,0.96,-1.1,-1.0,SKIP,E_residual,MACRO_BEAR_LEG,TOP
3836,2022-06-26,0.47,-1.1,-1.0,SKIP,E_residual,MACRO_BEAR_LEG,TOP
3929,2022-07-18,0.05,-1.1,-1.0,SKIP,E_residual,MACRO_BEAR_LEG,TOP
3949,2022-07-21,6.62,3.54,2.96,SKIP,B_bom_prejudicado_exit,MACRO_BEAR_LEG,TOP
4095,2022-08-25,0.79,-1.1,-1.0,SKIP,E_residual,MACRO_TRANSITION,TOP
4243,2022-09-28,0.0,0.18,-1.0,SKIP,E_residual,MACRO_BEAR_LEG,TOP
4309,2022-10-13,0.3,-1.1,-1.0,SKIP,E_residual,MACRO_TRANSITION,TOP
4346,2022-10-23,1.32,0.4,-1.0,SKIP,E_residual,MACRO_TRANSITION,TOP
4372,2022-10-28,0.0,-1.1,-1.0,REVIEW,E_residual,MACRO_BULL_LEG,NEUTRAL
4384,2022-11-01,0.69,2.75,-1.0,SKIP,E_residual,MACRO_RANGE,TOP
4401,2022-11-04,10.31,2.76,10.04,SKIP,B_bom_prejudicado_exit,MACRO_RANGE,TOP
4429,2022-11-10,1.64,-0.11,-1.0,TAKE,D_ruim_mantido,MACRO_CORRECTIVE_PULLBACK,PULLBACK
4483,2022-11-23,6.01,1.82,5.51,TAKE,C_bom_preservado,MACRO_TRANSITION,PULLBACK
4513,2022-11-30,4.54,0.49,3.38,TAKE,C_bom_preservado,MACRO_BULL_LEG,PULLBACK
4530,2022-12-05,25.14,1.28,22.4,TAKE,C_bom_preservado,MACRO_BULL_LEG,PULLBACK
4574,2022-12-15,0.0,-1.1,-1.0,TAKE,D_ruim_mantido,MACRO_BULL_LEG,PULLBACK
4609,2022-12-22,16.21,3.9,15.9,TAKE,C_bom_preservado,MACRO_BULL_LEG,PULLBACK
4644,2023-01-03,7.45,2.17,6.02,TAKE,C_bom_preservado,MACRO_BULL_LEG,PULLBACK
4677,2023-01-11,0.0,2.05,-1.0,TAKE,D_ruim_mantido,MACRO_BULL_LEG,PULLBACK
4763,2023-01-31,1.86,-1.1,-1.0,TAKE,D_ruim_mantido,MACRO_BULL_LEG,PULLBACK
4899,2023-03-03,1.14,-1.1,-1.0,TAKE,D_ruim_mantido,MACRO_BEAR_LEG,PULLBACK
4908,2023-03-06,0.0,-1.1,-1.0,TAKE,D_ruim_mantido,MACRO_CORRECTIVE_PULLBACK,PULLBACK
4918,2023-03-08,19.79,3.9,18.9,SKIP,B_bom_prejudicado_exit,MACRO_BEAR_LEG,BOTTOM
4926,2023-03-09,18.03,3.9,15.79,SKIP,B_bom_prejudicado_exit,MACRO_BEAR_LEG,TOP
4964,2023-03-20,0.98,-0.43,-1.0,REVIEW_RISK,E_residual,MACRO_RANGE,PULLBACK
4996,2023-03-27,15.38,2.51,5.56,SKIP,B_bom_prejudicado_exit,MACRO_RANGE,TOP
5016,2023-03-30,0.53,-1.1,-1.0,TAKE,D_ruim_mantido,MACRO_BULL_LEG,PULLBACK
5042,2023-04-06,0.55,-0.41,-1.0,REVIEW_RISK,E_residual,MACRO_BULL_LEG,PULLBACK
5055,2023-04-11,2.78,-1.1,-1.0,TAKE,E_residual,MACRO_BULL_LEG,PULLBACK
5087,2023-04-18,0.28,-1.1,-1.0,REVIEW_RISK,E_residual,MACRO_BULL_LEG,PULLBACK
5103,2023-04-21,0.0,2.34,-1.0,TAKE,D_ruim_mantido,MACRO_BULL_LEG,PULLBACK
5147,2023-05-02,4.02,-0.8,-1.0,TAKE,E_residual,MACRO_RANGE,PULLBACK
5165,2023-05-05,1.85,-1.1,-1.0,TAKE,D_ruim_mantido,MACRO_RANGE,PULLBACK
5296,2023-06-06,1.15,-1.1,-1.0,SKIP,E_residual,MACRO_BEAR_LEG,TOP
5321,2023-06-12,1.98,-1.1,-1.0,TAKE,D_ruim_mantido,MACRO_RANGE,PULLBACK
5331,2023-06-14,0.74,-1.1,-1.0,SKIP,E_residual,MACRO_RANGE,TOP
5350,2023-06-19,0.29,-1.1,-1.0,TAKE,D_ruim_mantido,MACRO_RANGE,PULLBACK
5414,2023-07-04,1.21,-1.1,-1.0,SKIP,E_residual,MACRO_BEAR_LEG,TOP
5435,2023-07-07,0.09,1.61,-1.0,SKIP,E_residual,MACRO_BEAR_LEG,TOP
5478,2023-07-18,0.77,-1.1,-1.0,TAKE,D_ruim_mantido,MACRO_RANGE,PULLBACK
5530,2023-07-31,0.06,-1.1,-1.0,SKIP,E_residual,MACRO_BULL_LEG,TOP
5555,2023-08-04,0.43,-1.1,-1.0,SKIP,E_residual,MACRO_RANGE,TOP
5627,2023-08-22,5.96,1.96,3.57,SKIP,B_bom_prejudicado_exit,MACRO_RANGE,TOP
5668,2023-08-31,0.26,-1.1,-1.0,REVIEW_RISK,E_residual,MACRO_CORRECTIVE_PULLBACK,PULLBACK
5701,2023-09-07,0.42,-1.1,-1.0,SKIP,E_residual,MACRO_BEAR_LEG,BOTTOM
5724,2023-09-13,1.53,0.9,-1.0,SKIP,E_residual,MACRO_RANGE,TOP
5772,2023-09-25,0.74,-1.1,-1.0,SKIP,E_residual,MACRO_BEAR_LEG,TOP
5826,2023-10-06,16.73,3.9,15.13,SKIP,B_bom_prejudicado_exit,MACRO_TRANSITION,TOP
5842,2023-10-11,13.52,3.9,8.67,TAKE,C_bom_preservado,MACRO_TRANSITION,PULLBACK
5866,2023-10-17,5.11,2.7,2.5,TAKE,B_bom_prejudicado_exit,MACRO_TRANSITION,PULLBACK
5875,2023-10-18,4.33,0.93,-1.0,TAKE,E_residual,MACRO_TRANSITION,PULLBACK
5920,2023-10-30,0.38,-1.1,-1.0,TAKE,D_ruim_mantido,MACRO_TRANSITION,PULLBACK
5955,2023-11-07,0.0,-1.1,-1.0,SKIP,E_residual,MACRO_TRANSITION,TOP
5998,2023-11-16,1.04,2.0,-1.0,TAKE,D_ruim_mantido,MACRO_TRANSITION,PULLBACK
6049,2023-11-29,0.39,0.9,-1.0,TAKE,D_ruim_mantido,MACRO_RANGE,PULLBACK
6069,2023-12-04,0.0,-1.1,-1.0,REVIEW_RISK,E_residual,MACRO_RANGE,PULLBACK
6119,2023-12-14,0.62,0.31,-1.0,REVIEW_RISK,E_residual,MACRO_BULL_LEG,PULLBACK
6162,2023-12-26,1.98,-1.1,-1.0,TAKE,D_ruim_mantido,MACRO_RANGE,PULLBACK
6193,2024-01-04,0.24,-1.1,-1.0,TAKE,D_ruim_mantido,MACRO_BULL_LEG,BOTTOM
6210,2024-01-08,0.52,-1.1,-1.0,REVIEW_RISK,E_residual,MACRO_BULL_LEG,PULLBACK
6295,2024-01-29,3.66,-0.32,-1.0,TAKE,E_residual,MACRO_BEAR_LEG,PULLBACK
6362,2024-02-13,0.0,-1.1,-1.0,TAKE,D_ruim_mantido,MACRO_BULL_LEG,PULLBACK
6376,2024-02-15,14.79,1.89,12.08,SKIP,B_bom_prejudicado_exit,MACRO_BULL_LEG,BOTTOM
6453,2024-03-05,8.02,0.13,7.35,REVIEW_RISK,B_bom_prejudicado_exit,MACRO_CORRECTIVE_PULLBACK,PULLBACK
