bar_idx,datetime,new_pol,why,eng_pol,mfe_R,letrun,skip_winner_recovered,loser_take_cut,s_supply,s_leg,s_pullback,s_capit,s_regime,s_vol,s_bearbuy
901,2020-07-30,REVIEW,AMBIGUOUS,TAKE,5.01,-1.0,0,0,REJECTING,MID_LEG,BOUGHT_DIP,NONE,BULL,ACCEPTING_ABOVE_VALUE,NOT_BEAR
919,2020-08-04,REVIEW,AMBIGUOUS,TAKE,3.31,-1.0,0,0,CLEAR,MID_LEG,MID,NONE,BULL,REJECTED_BELOW,NOT_BEAR
934,2020-08-07,REVIEW,AMBIGUOUS,TAKE,0.0,-1.0,0,0,CLEAR,MID_LEG,MID,NONE,BULL,REJECTED_BELOW,NOT_BEAR
970,2020-08-17,REVIEW,AMBIGUOUS,REVIEW_RISK,1.73,-1.0,0,0,CLEAR,MID_LEG,BOUGHT_DIP,NONE,BULL,ACCEPTING_ABOVE_VALUE,NOT_BEAR
1027,2020-08-30,REVIEW,AMBIGUOUS,TAKE,0.84,-1.0,0,0,REJECTING,MID_LEG,MID,NONE,RANGE,IN_VALUE,NOT_BEAR
1072,2020-09-09,REVIEW,AMBIGUOUS,TAKE,1.42,-1.0,0,0,TESTING,MID_LEG,DISTRIBUTION,NONE,RANGE,ACCEPTING_ABOVE_VALUE,NOT_BEAR
1151,2020-09-28,REVIEW,AMBIGUOUS,SKIP,2.73,1.09,0,0,CLEAR,MID_LEG,DISTRIBUTION,NONE,RANGE,ACCEPTING_ABOVE_VALUE,NOT_BEAR
1200,2020-10-08,TAKE,LEGITIMATE_BEAR_BUY,SKIP,1.7,-1.0,0,0,REJECTING,MID_LEG,BOUGHT_DIP,NONE,BEAR_MARKDOWN,ACCEPTING_ABOVE_VALUE,LEGITIMATE_BEAR_BUY
1211,2020-10-12,REVIEW,AMBIGUOUS,TAKE,0.0,-1.0,0,0,TESTING,LATE_EXTENDED,MID,NONE,RANGE,IN_VALUE,NOT_BEAR
1221,2020-10-14,REVIEW,AMBIGUOUS,TAKE,0.03,-1.0,0,0,REJECTING,MID_LEG,DEEP_RECLAIM,NONE,RANGE,ACCEPTING_ABOVE_VALUE,NOT_BEAR
1298,2020-11-02,REVIEW,AMBIGUOUS,SKIP,5.1,-1.0,0,0,REJECTING,MID_LEG,DEEP_RECLAIM,NONE,RANGE,ACCEPTING_ABOVE_VALUE,NOT_BEAR
1316,2020-11-05,TAKE,LEGITIMATE_BEAR_BUY,TAKE,2.47,-1.0,0,0,MARKUP_ACCEPTED,MID_LEG,BOUGHT_DIP,NONE,BEAR_MARKDOWN,ACCEPTING_ABOVE_VALUE,LEGITIMATE_BEAR_BUY
1326,2020-11-08,REVIEW,AMBIGUOUS,REVIEW_RISK,0.49,-1.0,0,0,REJECTING,MID_LEG,MID,NONE,RANGE,IN_VALUE,NOT_BEAR
1353,2020-11-13,REVIEW,AMBIGUOUS,SKIP,0.56,-1.0,0,0,CLEAR,MID_LEG,BOUGHT_DIP,NONE,RANGE,ACCEPTING_ABOVE_VALUE,NOT_BEAR
1429,2020-12-02,SKIP,BEAR_PULLBACK_TRAP,SKIP,5.99,5.1,0,0,CLEAR,MID_LEG,MID,NONE,BEAR_MARKDOWN,IN_VALUE,BEAR_PULLBACK_TRAP
1497,2020-12-17,SKIP,BEAR_PULLBACK_TRAP,REVIEW,1.33,-1.0,0,0,REJECTING,MID_LEG,MID,NONE,BEAR_MARKDOWN,IN_VALUE,BEAR_PULLBACK_TRAP
1522,2020-12-23,TAKE,LEGITIMATE_BEAR_BUY,SKIP,5.65,-1.0,1,0,REJECTING,MID_LEG,DEEP_RECLAIM,NONE,BEAR_MARKDOWN,IN_VALUE,LEGITIMATE_BEAR_BUY
1568,2021-01-06,REVIEW,AMBIGUOUS,TAKE,0.46,-1.0,0,0,REJECTING,MID_LEG,DEEP_RECLAIM,NONE,BULL,REJECTED_BELOW,NOT_BEAR
1623,2021-01-20,SKIP,BEAR_PULLBACK_TRAP,SKIP,0.31,-1.0,0,0,CLEAR,MID_LEG,MID,NONE,BEAR_MARKDOWN,ACCEPTING_ABOVE_VALUE,BEAR_PULLBACK_TRAP
1661,2021-01-28,TAKE,LEGITIMATE_BEAR_BUY,SKIP,0.0,-1.0,0,0,CLEAR,MID_LEG,MID,NONE,BEAR_MARKDOWN,ACCEPTING_ABOVE_VALUE,LEGITIMATE_BEAR_BUY
1761,2021-02-22,TAKE,LEGITIMATE_BEAR_BUY,SKIP,1.21,-1.0,0,0,MARKUP_ACCEPTED,MID_LEG,MID,BOTTOM_FORMING,BEAR_MARKDOWN,ACCEPTING_ABOVE_VALUE,LEGITIMATE_BEAR_BUY
1775,2021-02-24,SKIP,BEAR_PULLBACK_TRAP,REVIEW,0.53,-1.0,0,0,REJECTING,YOUNG_IMPULSE,DEEP_RECLAIM,NONE,BEAR_MARKDOWN,IN_VALUE,BEAR_PULLBACK_TRAP
1836,2021-03-10,SKIP,BEAR_PULLBACK_TRAP,REVIEW,0.95,-1.0,0,0,REJECTING,YOUNG_IMPULSE,MID,NONE,BEAR_MARKDOWN,ACCEPTING_ABOVE_VALUE,BEAR_PULLBACK_TRAP
1873,2021-03-18,SKIP,BEAR_PULLBACK_TRAP,SKIP,1.2,-1.0,0,0,REJECTING,MID_LEG,MID,FALLING_KNIFE,BEAR_MARKDOWN,IN_VALUE,BEAR_PULLBACK_TRAP
1901,2021-03-25,SKIP,BEAR_PULLBACK_TRAP,SKIP,1.36,-1.0,0,0,REJECTING,MID_LEG,MID,NONE,BEAR_MARKDOWN,REJECTED_BELOW,BEAR_PULLBACK_TRAP
1941,2021-04-06,SKIP,BEAR_PULLBACK_TRAP,SKIP,6.04,4.66,0,0,TESTING,MID_LEG,MID,NONE,BEAR_MARKDOWN,IN_VALUE,BEAR_PULLBACK_TRAP
2034,2021-04-27,SKIP,BEAR_PULLBACK_TRAP,REVIEW_RISK,0.0,-1.0,0,0,REJECTING,MID_LEG,MID,NONE,BEAR_MARKDOWN,REJECTED_BELOW,BEAR_PULLBACK_TRAP
2053,2021-05-02,TAKE,LEGITIMATE_BEAR_BUY,SKIP,16.88,16.3,1,0,REJECTING,MID_LEG,DEEP_RECLAIM,NONE,BEAR_MARKDOWN,ACCEPTING_ABOVE_VALUE,LEGITIMATE_BEAR_BUY
2100,2021-05-12,SKIP,BEAR_PULLBACK_TRAP,SKIP,2.39,-1.0,0,0,REJECTING,MID_LEG,MID,FALLING_KNIFE,BEAR_MARKDOWN,REJECTED_BELOW,BEAR_PULLBACK_TRAP
2110,2021-05-14,TAKE,LEGITIMATE_BEAR_BUY,TAKE,5.07,2.39,0,0,TESTING,LATE_EXTENDED,BOUGHT_DIP,NONE,BEAR_MARKDOWN,ACCEPTING_ABOVE_VALUE,LEGITIMATE_BEAR_BUY
2174,2021-05-31,REVIEW,AMBIGUOUS,TAKE,0.81,-1.0,0,0,CLEAR,MID_LEG,MID,NONE,BULL,IN_VALUE,NOT_BEAR
2188,2021-06-02,REVIEW,AMBIGUOUS,TAKE,0.25,-1.0,0,0,REJECTING,LATE_EXTENDED,MID,NONE,BULL,ACCEPTING_ABOVE_VALUE,NOT_BEAR
