candidate_id,timestamp,source,unknown_rank,demand_category,supply_category,polarity_category,quality_score_exploratory,dist_4h_supply_low_atr,dist_4h_demand_top_atr
C199,2020-02-17 11:00,fractal_3_3,UNKNOWN_NAO_LIKE_SUPPLY_PRESSURE,DEMAND_SUPPORTING_RETEST,SUPPLY_NEAR_AND_REJECTING,RECLAIM_REJECTED_BELOW_SUPPLY,0,0.21,1.41
C201,2020-02-17 23:00,fractal_3_3,UNKNOWN_NAO_LIKE_SUPPLY_PRESSURE,DEMAND_SUPPORTING_RETEST,SUPPLY_NEAR_AND_REJECTING,POLARITY_UNDER_SUPPLY_PRESSURE,-1,0.09,2.99
C203,2020-02-18 07:00,fractal_3_3,UNKNOWN_BOM_LIKE_DEMAND_SUPPLY,DEMAND_SUPPORTING_RETEST,CLEAN_SKY,POLARITY_SUPPORTED_BY_DEMAND,3,4.86,1.31
C217,2020-02-20 15:00,fractal_3_3,UNKNOWN_CLEAN_BUT_UNPROVEN,DEMAND_ABSENT_OR_IRRELEVANT,CLEAN_SKY,POLARITY_FLOATING_NO_BASE,1,,5.05
C218,2020-02-20 19:00,fractal_3_3,UNKNOWN_CLEAN_BUT_UNPROVEN,DEMAND_ABSENT_OR_IRRELEVANT,CLEAN_SKY,POLARITY_FLOATING_NO_BASE,1,,5.34
C219,2020-02-20 23:00,swing_high_simples,UNKNOWN_BOM_LIKE_DEMAND_SUPPLY,DEMAND_SUPPORTING_RETEST,CLEAN_SKY,POLARITY_SUPPORTED_BY_DEMAND,3,,2.19
C224,2020-02-21 19:00,swing_high_simples,UNKNOWN_CLEAN_BUT_UNPROVEN,DEMAND_ABSENT_OR_IRRELEVANT,CLEAN_SKY,POLARITY_FLOATING_NO_BASE,1,,4.72
C230,2020-02-24 19:00,swing_high_simples,UNKNOWN_CLEAN_BUT_UNPROVEN,DEMAND_TOO_DEEP,CLEAN_SKY,POLARITY_FLOATING_NO_BASE,1,,3.89
C237,2020-02-25 23:00,swing_high_simples,UNKNOWN_CLEAN_BUT_UNPROVEN,DEMAND_PRESENT_NEUTRAL,SUPPLY_FAR_ENOUGH,RECLAIM_REJECTED_BELOW_SUPPLY,1,2.33,0.06
C242,2020-02-26 19:00,swing_high_simples,UNKNOWN_NAO_LIKE_SUPPLY_PRESSURE,DEMAND_PRESENT_NEUTRAL,SUPPLY_NEAR_AND_REJECTING,RECLAIM_REJECTED_BELOW_SUPPLY,-1,0.64,0.09
C247,2020-02-27 15:00,swing_high_simples,UNKNOWN_NAO_LIKE_SUPPLY_PRESSURE,DEMAND_PRESENT_NEUTRAL,SUPPLY_NEAR_AND_REJECTING,RECLAIM_REJECTED_BELOW_SUPPLY,-1,0.18,0.42
C249,2020-02-27 23:00,swing_high_simples,UNKNOWN_NAO_LIKE_SUPPLY_PRESSURE,DEMAND_PRESENT_NEUTRAL,SUPPLY_NEAR_AND_REJECTING,RECLAIM_REJECTED_BELOW_SUPPLY,-1,0.36,0.26
C253,2020-02-28 15:00,fractal_3_3,UNKNOWN_BOM_LIKE_DEMAND_SUPPLY,DEMAND_SUPPORTING_RETEST,CLEAN_SKY,RECLAIM_REJECTED_BELOW_SUPPLY,2,4.4,0.36
C254,2020-02-28 19:00,fractal_3_3,UNKNOWN_BOM_LIKE_DEMAND_SUPPLY,DEMAND_SUPPORTING_RETEST,SUPPLY_FAR_ENOUGH,RECLAIM_REJECTED_BELOW_SUPPLY,2,3.75,0.47
C255,2020-03-01 23:00,fractal_3_3,UNKNOWN_BOM_LIKE_DEMAND_SUPPLY,DEMAND_SUPPORTING_RETEST,SUPPLY_FAR_ENOUGH,RECLAIM_REJECTED_BELOW_SUPPLY,2,3.0,1.0
C259,2020-03-02 15:00,fractal_3_3,UNKNOWN_BOM_LIKE_DEMAND_SUPPLY,DEMAND_SUPPORTING_RETEST,SUPPLY_FAR_ENOUGH,RECLAIM_REJECTED_BELOW_SUPPLY,2,2.96,0.83
C260,2020-03-02 19:00,fractal_3_3,UNKNOWN_BOM_LIKE_DEMAND_SUPPLY,DEMAND_SUPPORTING_RETEST,SUPPLY_FAR_ENOUGH,POLARITY_SUPPORTED_BY_DEMAND,3,3.12,0.65
C262,2020-03-03 03:00,fractal_3_3,UNKNOWN_NAO_LIKE_SUPPLY_PRESSURE,DEMAND_SUPPORTING_RETEST,SUPPLY_NEAR_AND_REJECTING,RECLAIM_REJECTED_BELOW_SUPPLY,0,0.43,0.96
C268,2020-03-04 03:00,swing_high_simples,UNKNOWN_NAO_LIKE_SUPPLY_PRESSURE,DEMAND_SUPPORTING_RETEST,SUPPLY_FRESH_DANGEROUS,POLARITY_FLOATING_NO_BASE,0,0.69,3.14
C270,2020-03-04 11:00,swing_high_simples,UNKNOWN_NAO_LIKE_SUPPLY_PRESSURE,DEMAND_SUPPORTING_RETEST,SUPPLY_FRESH_DANGEROUS,POLARITY_FLOATING_NO_BASE,0,0.5,3.68
C272,2020-03-04 19:00,swing_high_simples,UNKNOWN_NAO_LIKE_SUPPLY_PRESSURE,DEMAND_SUPPORTING_RETEST,SUPPLY_NEAR_AND_REJECTING,RECLAIM_REJECTED_BELOW_SUPPLY,0,0.56,3.31
C274,2020-03-05 03:00,swing_high_simples,UNKNOWN_NAO_LIKE_SUPPLY_PRESSURE,DEMAND_TOO_DEEP,SUPPLY_NEAR_AND_REJECTING,RECLAIM_REJECTED_BELOW_SUPPLY,-1,0.22,3.97
C277,2020-03-05 15:00,fractal_3_3,UNKNOWN_LOW_PRIORITY,DEMAND_ABSENT_OR_IRRELEVANT,SUPPLY_BLOCKS_TARGET,RECLAIM_ACCEPTED_ABOVE_SUPPLY,1,1.15,5.63
C278,2020-03-05 19:00,fractal_3_3,UNKNOWN_NAO_LIKE_SUPPLY_PRESSURE,DEMAND_ABSENT_OR_IRRELEVANT,SUPPLY_FRESH_DANGEROUS,POLARITY_FLOATING_NO_BASE,-1,0.82,5.97
C279,2020-03-05 23:00,fractal_3_3,UNKNOWN_LOW_PRIORITY,DEMAND_ABSENT_OR_IRRELEVANT,SUPPLY_BLOCKS_TARGET,POLARITY_FLOATING_NO_BASE,0,1.16,7.11
C287,2020-03-09 06:00,fractal_3_3,UNKNOWN_BOM_LIKE_DEMAND_SUPPLY,DEMAND_SUPPORTING_RETEST,CLEAN_SKY,POLARITY_SUPPORTED_BY_DEMAND,3,,0.74
C288,2020-03-09 10:00,fractal_3_3,UNKNOWN_BOM_LIKE_DEMAND_SUPPLY,DEMAND_SUPPORTING_RETEST,CLEAN_SKY,POLARITY_SUPPORTED_BY_DEMAND,3,,1.0
C289,2020-03-09 14:00,fractal_3_3,UNKNOWN_LOW_PRIORITY,DEMAND_SUPPORTING_RETEST,SUPPLY_BLOCKS_TARGET,RECLAIM_REJECTED_BELOW_SUPPLY,1,1.0,1.02
C291,2020-03-09 22:00,fractal_3_3,UNKNOWN_LOW_PRIORITY,DEMAND_SUPPORTING_RETEST,SUPPLY_BLOCKS_TARGET,RECLAIM_REJECTED_BELOW_SUPPLY,1,1.16,0.88
C293,2020-03-10 06:00,fractal_3_3,UNKNOWN_LOW_PRIORITY,DEMAND_SUPPORTING_RETEST,SUPPLY_BLOCKS_TARGET,RECLAIM_REJECTED_BELOW_SUPPLY,1,1.55,0.36
C295,2020-03-10 14:00,fractal_3_3,UNKNOWN_LOW_PRIORITY,DEMAND_SUPPORTING_RETEST,SUPPLY_BLOCKS_TARGET,RECLAIM_REJECTED_BELOW_SUPPLY,1,1.61,0.34
C297,2020-03-10 22:00,fractal_3_3,UNKNOWN_LOW_PRIORITY,DEMAND_SUPPORTING_RETEST,SUPPLY_BLOCKS_TARGET,RECLAIM_REJECTED_BELOW_SUPPLY,1,1.8,0.41
C298,2020-03-11 02:00,fractal_3_3,UNKNOWN_LOW_PRIORITY,DEMAND_SUPPORTING_RETEST,SUPPLY_BLOCKS_TARGET,RECLAIM_REJECTED_BELOW_SUPPLY,1,1.73,0.61
C299,2020-03-11 06:00,fractal_3_3,UNKNOWN_BOM_LIKE_DEMAND_SUPPLY,DEMAND_SUPPORTING_RETEST,SUPPLY_BLOCKS_TARGET,POLARITY_SUPPORTED_BY_DEMAND,2,1.93,0.59
C300,2020-03-11 10:00,fractal_3_3,UNKNOWN_BOM_LIKE_DEMAND_SUPPLY,DEMAND_SUPPORTING_RETEST,SUPPLY_FAR_ENOUGH,POLARITY_SUPPORTED_BY_DEMAND,3,2.06,0.76
C303,2020-03-11 22:00,swing_high_simples,UNKNOWN_CLEAN_BUT_UNPROVEN,DEMAND_PRESENT_NEUTRAL,SUPPLY_FAR_ENOUGH,POLARITY_FLOATING_NO_BASE,1,3.92,2.95
C304,2020-03-12 02:00,swing_high_simples,UNKNOWN_LOW_PRIORITY,DEMAND_PRESENT_NEUTRAL,SUPPLY_BLOCKS_TARGET,RECLAIM_REJECTED_BELOW_SUPPLY,0,1.89,2.83
C305,2020-03-12 06:00,swing_high_simples,UNKNOWN_LOW_PRIORITY,DEMAND_PRESENT_NEUTRAL,SUPPLY_BLOCKS_TARGET,RECLAIM_REJECTED_BELOW_SUPPLY,0,1.94,2.93
C351,2020-03-23 22:00,fractal_3_3,UNKNOWN_NAO_LIKE_SUPPLY_PRESSURE,DEMAND_SUPPORTING_RETEST,SUPPLY_FRESH_DANGEROUS,POLARITY_FLOATING_NO_BASE,0,0.68,3.51
