bar_idx,timestamp,macro_reader_leg,dspa_primary_state,dspa_secondary_state,confidence,evidence_supports,evidence_conflicts,source_layers_used,unavailable_flags,reason_code
2497,2021-08-13,MACRO_BEAR_LEG,LEGITIMATE_BEAR_BUY,REVERSAL_RUNNER,high,flush_V|demand_defended|acceptance_above|bl_refined_preserve,,dspa_F2|dspa_F3F6|macro_demand|prior_bearleg_refined,,LEGITIMATE_BEAR_BUY<=flush_V+demand_defended+acceptance_above+bl_refined_preserve
2544,2021-08-25,MACRO_CORRECTIVE_PULLBACK,BULL_PULLBACK_CONTINUATION,BEAR_PULLBACK_TRAP,med,demand_defended|structure_up|momentum_strong,supply_reject,dspa_F4|macro_demand|macro_momentum,,BULL_PULLBACK_CONTINUATION<=demand_defended+structure_up+momentum_strong
2663,2021-09-22,MACRO_RANGE,UNKNOWN_CONFLICT,,low,,,,,UNKNOWN_CONFLICT<=
2705,2021-10-01,MACRO_BEAR_LEG,BEAR_PULLBACK_TRAP,SUPPLY_REJECTION_TRAP,med,supply_reject|fuel_low|bl_refined_block,,macro_fuel|macro_supply|prior_bearleg_refined,,BEAR_PULLBACK_TRAP<=supply_reject+fuel_low+bl_refined_block
2737,2021-10-08,MACRO_BEAR_LEG,BEAR_PULLBACK_TRAP,SUPPLY_REJECTION_TRAP,med,supply_reject|fuel_low|bl_refined_block,flush_V,macro_fuel|macro_supply|prior_bearleg_refined,,BEAR_PULLBACK_TRAP<=supply_reject+fuel_low+bl_refined_block
2747,2021-10-12,MACRO_RANGE,BEAR_PULLBACK_TRAP,LEGITIMATE_BEAR_BUY,low,supply_reject|fuel_low,,macro_fuel|macro_supply,,BEAR_PULLBACK_TRAP<=supply_reject+fuel_low
2859,2021-11-05,MACRO_RANGE,UNKNOWN_CONFLICT,SUPPLY_REJECTION_TRAP,low,supply_reject|fuel_low|premium|swept_high_reject,acceptance_above,dspa_F1|dspa_F5ctx|macro_fuel|macro_supply,,UNKNOWN_CONFLICT<=supply_reject+fuel_low+premium+swept_high_reject
2896,2021-11-15,MACRO_RANGE,MARKUP_THROUGH_SUPPLY,BULL_PULLBACK_CONTINUATION,high,structure_up|momentum_strong|clean_sky|macro_phase_bullrun,,dspa_F4|macro_momentum|prior_clean_sky|prior_macro_phase,,MARKUP_THROUGH_SUPPLY<=structure_up+momentum_strong+clean_sky+macro_phase_bullrun
2905,2021-11-17,MACRO_RANGE,BULL_PULLBACK_CONTINUATION,MARKUP_THROUGH_SUPPLY,high,demand_defended|holding_support|acceptance_above|momentum_strong|macro_phase_bullrun,supply_reject,dspa_F3|dspa_F3F6|macro_demand|macro_momentum|prior_macro_phase,,BULL_PULLBACK_CONTINUATION<=demand_defended+holding_support+acceptance_above+momentum_strong
2922,2021-11-22,MACRO_BULL_LEG,BULL_PULLBACK_CONTINUATION,MARKUP_THROUGH_SUPPLY,med,demand_defended|acceptance_above|momentum_strong|macro_phase_bullrun,supply_reject,dspa_F3F6|macro_demand|macro_momentum|prior_macro_phase,,BULL_PULLBACK_CONTINUATION<=demand_defended+acceptance_above+momentum_strong+macro_phase_bullrun
2944,2021-11-26,MACRO_BULL_LEG,LEGITIMATE_BEAR_BUY,MARKUP_THROUGH_SUPPLY,med,demand_defended|acceptance_above|bottom_turn,,dspa_F3F6|macro_demand|prior_bottom_turn,,LEGITIMATE_BEAR_BUY<=demand_defended+acceptance_above+bottom_turn
2991,2021-12-08,MACRO_RANGE,BEAR_PULLBACK_TRAP,SUPPLY_REJECTION_TRAP,med,grind_down|supply_reject|fuel_low,,dspa_F2|macro_fuel|macro_supply,,BEAR_PULLBACK_TRAP<=grind_down+supply_reject+fuel_low
3011,2021-12-13,MACRO_RANGE,SUPPLY_REJECTION_TRAP,BEAR_PULLBACK_TRAP,high,rejected_at_res|supply_reject|fuel_low|premium|swept_high_reject,acceptance_above,dspa_F1|dspa_F3|dspa_F5ctx|macro_fuel|macro_supply,,SUPPLY_REJECTION_TRAP<=rejected_at_res+supply_reject+fuel_low+premium
3029,2021-12-16,MACRO_RANGE,LEGITIMATE_BEAR_BUY,BEAR_PULLBACK_TRAP,low,demand_defended|acceptance_above|bottom_turn,grind_down|momentum_strong,dspa_F3F6|macro_demand|prior_bottom_turn,,LEGITIMATE_BEAR_BUY<=demand_defended+acceptance_above+bottom_turn
3070,2021-12-28,MACRO_TRANSITION,MARKUP_THROUGH_SUPPLY,BULL_PULLBACK_CONTINUATION,high,acceptance_above|supply_markup|structure_up|BOS|momentum_strong|clean_sky|macro_phase_bullrun,,dspa_F3F6|dspa_F4|macro_momentum|macro_supply|prior_clean_sky|prior_macro_phase,,MARKUP_THROUGH_SUPPLY<=acceptance_above+supply_markup+structure_up+BOS
3085,2021-12-30,MACRO_TRANSITION,MARKUP_THROUGH_SUPPLY,BULL_PULLBACK_CONTINUATION,high,acceptance_above|supply_markup|structure_up|momentum_strong|clean_sky|macro_phase_bullrun,,dspa_F3F6|dspa_F4|macro_momentum|macro_supply|prior_clean_sky|prior_macro_phase,,MARKUP_THROUGH_SUPPLY<=acceptance_above+supply_markup+structure_up+momentum_strong
3102,2022-01-04,MACRO_BULL_LEG,BULL_PULLBACK_CONTINUATION,LEGITIMATE_BEAR_BUY,med,demand_defended|holding_support|acceptance_above|structure_up,supply_reject,dspa_F3|dspa_F3F6|dspa_F4|macro_demand,,BULL_PULLBACK_CONTINUATION<=demand_defended+holding_support+acceptance_above+structure_up
