plot_id,set,datetime,d1_leg,regimeB_state,regimeB_combined,macro_broken,weekly_slope,weekly_rsi,spec_regime,spec_mtf,sup_cat,pol_cat,demand_cat,has_overhead,dist_supply,dist_demand,supply_broken,demand_touched,spec_supply,spec_demand,spec_volume,below_VAL,dist_POC,dist_VAL,va_width,rel_volume,trend_30,trend_90,rsi,rsi_1d,legpos90,legpos30,rise20,drop20,bear_div,spec_momentum,spec_capit,rsi_min8,sweet_spot,reclaim_body,spec_fuel,macro_state,macro_family,macro_confidence,sl_atr,sl_type,spec_risk,bear_leg_v3,clean_sky_flag,micro_residual,deep7_member,EVAL_exitype,EVAL_realR,EVAL_sl_atr
S13,A,2022-07-21,MACRO_BEAR_LEG,BEAR,-2,True,-0.666,35.866,MACRO_BROKEN_DISTRIBUTION,BEAR_ALIGN,SUPPLY_BLOCKS_TARGET,RECLAIM_ACCEPTED_ABOVE_SUPPLY,DEMAND_ABSENT_OR_IRRELEVANT,1,1.93,,1,0,SUPPLY_BLOCKS_TARGET,DEMAND_ABSENT,ACCEPTANCE_ABOVE_VALUE,False,2.83,4.13,2.76,1.71,0.94,-9.85,54.01,22.0,28.0,86.8,3.73,0.09,0.0,WEAK_MOMENTUM,NO_CAPITULATION,27.92,False,0.48,low_fuel,BEAR_BOUNCE_RISK,RISK,high,1.53,LATE_WIDE,SL_NEUTRAL,BLOCK_BEAR_MARKDOWN,,NO,NO,WIN_HELD,3.54,1.53
S14,C,2022-11-01,MACRO_RANGE,BEAR,-3,True,-0.469,41.227,MACRO_BROKEN_DISTRIBUTION,BEAR_ALIGN,SUPPLY_BLOCKS_TARGET,RECLAIM_REJECTED_BELOW_SUPPLY,DEMAND_PRESENT_NEUTRAL,1,1.11,4.09,0,0,SUPPLY_BLOCKS_TARGET,DEMAND_NEUTRAL,ACCEPTANCE_ABOVE_VALUE,False,1.02,1.49,1.45,0.92,1.29,-1.5,44.4,41.0,49.9,44.5,2.08,2.27,0.0,WEAK_MOMENTUM,NO_CAPITULATION,33.76,False,1.06,low_fuel,BEAR_BOUNCE_RISK,RISK,high,4.19,NORMAL_DEMAND_BASE,SL_STRUCTURAL_OK,BLOCK_BEAR_MARKDOWN,,NO,NO,WIN_HELD,2.75,4.19
S15,A,2022-11-04,MACRO_RANGE,BEAR,-3,True,-0.469,41.227,MACRO_BROKEN_DISTRIBUTION,BEAR_ALIGN,SUPPLY_NEAR_AND_REJECTING,POLARITY_UNDER_SUPPLY_PRESSURE,DEMAND_SUPPORTING_RETEST,1,0.27,2.99,0,1,SUPPLY_REJECTING_RISK,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,False,1.31,1.59,0.29,0.58,-1.25,-2.09,44.1,41.2,52.2,57.6,2.73,0.74,1.0,WEAK_MOMENTUM,NO_CAPITULATION,29.39,False,1.3,low_fuel,BEAR_BOUNCE_RISK,RISK,high,3.09,NORMAL_DEMAND_BASE,SL_STRUCTURAL_OK,PRESERVE_BOTTOM_TURN,,NO,NO,WIN_HELD,2.76,3.09
S16,A,2022-11-23,MACRO_TRANSITION,TRANSITION,2,True,-0.155,51.509,MACRO_BROKEN_DISTRIBUTION,PARTIAL_BULL,SUPPLY_BLOCKS_TARGET,POLARITY_FLOATING_NO_BASE,DEMAND_ABSENT_OR_IRRELEVANT,1,1.36,5.67,0,0,SUPPLY_BLOCKS_TARGET,DEMAND_ABSENT,ACCEPTANCE_ABOVE_VALUE,False,0.68,1.47,1.06,0.46,-2.92,13.73,46.77,59.3,78.2,46.0,1.47,0.5,0.0,STRONG_BULL_MOMENTUM,NO_CAPITULATION,38.03,False,0.68,low_fuel,RANGE_MACRO_BULL_RECLAIM,BULL,medium,2.13,LATE_WIDE,SL_NEUTRAL,ALLOW,,NO,NO,WIN_HELD,1.82,2.13
S17,A,2023-01-03,MACRO_BULL_LEG,BULL,3,False,0.487,64.764,MACRO_BULL,FULL_BULL_ALIGN,SUPPLY_NEAR_AND_REJECTING,RECLAIM_REJECTED_BELOW_SUPPLY,DEMAND_SUPPORTING_RETEST,1,0.81,2.67,0,1,SUPPLY_REJECTING_RISK,DEMAND_DEFENDED,IN_VALUE_BALANCE,False,0.11,0.61,1.12,0.42,4.21,4.34,64.82,66.3,86.2,80.8,3.66,0.56,0.0,HEALTHY_HIGH_LEGPOS,NO_CAPITULATION,60.29,False,0.06,low_fuel,BULL_PULLBACK_CONTINUATION,BULL,medium,2.77,NORMAL_DEMAND_BASE,SL_STRUCTURAL_OK,ALLOW,,NO,NO,WIN_HELD,2.17,2.77
S18,C,2023-01-11,MACRO_BULL_LEG,BULL,3,False,0.649,69.308,MACRO_BULL,FULL_BULL_ALIGN,CLEAN_SKY,POLARITY_SUPPORTED_BY_DEMAND,DEMAND_SUPPORTING_RETEST,0,,2.22,0,1,CLEAN_SKY_BULLISH,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,False,0.5,0.86,1.13,1.28,3.37,11.58,66.03,68.2,98.2,97.0,6.27,0.0,0.0,HEALTHY_HIGH_LEGPOS,NO_CAPITULATION,62.25,False,0.53,high_fuel,NO_OVERHEAD_MARKUP,BULL,high,2.32,NORMAL_DEMAND_BASE,SL_STRUCTURAL_OK,ALLOW,,NO,NO,WIN_HELD,2.05,2.32
S19,C,2023-08-22,MACRO_RANGE,BEAR,-2,True,-0.245,47.601,MACRO_BROKEN_DISTRIBUTION,BEAR_ALIGN,SUPPLY_NEAR_AND_REJECTING,POLARITY_UNDER_SUPPLY_PRESSURE,DEMAND_ABSENT_OR_IRRELEVANT,1,0.85,12.22,0,0,SUPPLY_REJECTING_RISK,DEMAND_ABSENT,IN_VALUE_BALANCE,False,0.16,0.83,1.06,1.32,-0.92,-6.23,43.35,33.7,18.4,48.1,1.69,0.71,0.0,WEAK_MOMENTUM,NO_CAPITULATION,40.48,True,1.02,low_fuel,BEAR_BOUNCE_RISK,RISK,high,1.89,LATE_WIDE,SL_NEUTRAL,BLOCK_BEAR_MARKDOWN,,NO,NO,WIN_HELD,1.96,1.89
S20,A,2023-10-11,MACRO_TRANSITION,TRANSITION,1,True,-0.189,51.869,MACRO_BROKEN_DISTRIBUTION,PARTIAL_BULL,SUPPLY_NEAR_AND_REJECTING,RECLAIM_REJECTED_BELOW_SUPPLY,DEMAND_SUPPORTING_RETEST,1,0.18,2.84,0,1,SUPPLY_REJECTING_RISK,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,False,1.65,2.01,1.63,1.42,7.66,-10.11,71.07,43.4,45.1,95.6,7.64,0.0,0.0,STRONG_BULL_MOMENTUM,NO_CAPITULATION,63.7,False,0.25,low_fuel,RANGE_MACRO_BULL_RECLAIM,BULL,medium,2.94,NORMAL_DEMAND_BASE,SL_STRUCTURAL_OK,ALLOW,,NO,NO,WIN_RUNNER,3.9,2.94
S21,C,2023-10-17,MACRO_TRANSITION,TRANSITION,3,True,-0.125,58.219,MACRO_BROKEN_DISTRIBUTION,FULL_BULL_ALIGN,SUPPLY_BLOCKS_TARGET,POLARITY_SUPPORTED_BY_DEMAND,DEMAND_SUPPORTING_RETEST,1,1.18,1.85,0,1,SUPPLY_BLOCKS_TARGET,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,False,0.66,1.3,0.98,1.47,6.6,1.97,71.16,60.0,96.9,95.2,5.55,0.2,0.0,HEALTHY_HIGH_LEGPOS,NO_CAPITULATION,67.28,False,0.45,high_fuel,MACRO_BULL_RUN_CONTINUATION,BULL,high,1.95,TOP_EXHAUSTION,SL_NEUTRAL,ALLOW,,NO,NO,WIN_HELD,2.7,1.95
S22,C,2023-11-29,MACRO_RANGE,BULL,3,False,0.215,64.764,MACRO_BULL,FULL_BULL_ALIGN,CLEAN_SKY,POLARITY_FLOATING_NO_BASE,DEMAND_SUPPORTING_RETEST,0,,3.94,0,1,CLEAN_SKY_BULLISH,DEMAND_DEFENDED,IN_VALUE_BALANCE,False,-0.27,0.16,0.87,0.72,5.66,8.97,83.3,74.8,93.9,88.7,6.21,0.28,0.0,HEALTHY_HIGH_LEGPOS,NO_CAPITULATION,67.06,False,-0.27,high_fuel,NO_OVERHEAD_MARKUP,BULL,high,4.04,TOP_EXHAUSTION,SL_NEUTRAL,ALLOW,,NO,NO,WIN_BE,0.9,4.04
S23,C,2024-05-13,MACRO_CORRECTIVE_PULLBACK,BULL,3,False,0.978,70.94,MACRO_BULL,FULL_BULL_ALIGN,SUPPLY_BLOCKS_TARGET,RECLAIM_REJECTED_BELOW_SUPPLY,DEMAND_SUPPORTING_RETEST,1,1.51,2.71,0,1,SUPPLY_BLOCKS_TARGET,DEMAND_DEFENDED,IN_VALUE_BALANCE,False,-0.33,0.42,1.11,1.22,1.17,0.4,51.63,58.7,66.2,54.2,2.63,2.05,0.0,STRONG_BULL_MOMENTUM,NO_CAPITULATION,51.63,False,0.29,low_fuel,MACRO_BULL_RUN_CONTINUATION,BULL,high,2.81,NORMAL_DEMAND_BASE,SL_STRUCTURAL_OK,ALLOW,,NO,NO,WIN_BE,0.9,2.81
