episode_id,datetime,final_policy,exit,realR,macro_context,risk_sl,error_state,cause
5055,2023-04-11,TAKE_CANDIDATE,STOP_LOSS,-1.1,MACRO_BULL_LEG,SL_OK,AUTO_TAKE_BAD_CONTEXT,macro_phase
5087,2023-04-18,TAKE_CANDIDATE,STOP_LOSS,-1.1,MACRO_BULL_LEG,SL_OK,AUTO_TAKE_BAD_CONTEXT,macro_phase
5103,2023-04-21,TAKE_CANDIDATE,WIN_HELD,2.34,MACRO_BULL_LEG,SL_OK,AUTO_TAKE_CORRECT,ok
5147,2023-05-02,REVIEW,SCRATCH,-0.8,MACRO_RANGE,SL_OK,REVIEW_CORRECT,ok
5165,2023-05-05,REVIEW,STOP_LOSS,-1.1,MACRO_RANGE,SL_OK,REVIEW_CORRECT,ok
5296,2023-06-06,SKIP_STRUCTURAL,STOP_LOSS,-1.1,MACRO_BEAR_LEG,SL_OK,SKIP_CORRECT,ok
5321,2023-06-12,REVIEW,STOP_LOSS,-1.1,MACRO_RANGE,SL_OK,REVIEW_CORRECT,ok
5331,2023-06-14,REVIEW,STOP_LOSS,-1.1,MACRO_RANGE,SL_OK,REVIEW_CORRECT,ok
5350,2023-06-19,REVIEW,STOP_LOSS,-1.1,MACRO_RANGE,SL_OK,REVIEW_CORRECT,ok
5414,2023-07-04,SKIP_STRUCTURAL,STOP_LOSS,-1.1,MACRO_BEAR_LEG,SL_OK,SKIP_CORRECT,ok
5435,2023-07-07,SKIP_STRUCTURAL,WIN_HELD,1.61,MACRO_BEAR_LEG,SL_OK,SKIP_WRONG_CUT_WINNER,regime_overcut
5478,2023-07-18,HUMAN_VISUAL_REQUIRED,STOP_LOSS,-1.1,MACRO_RANGE,SL_TOO_WIDE,HUMAN_VISUAL_REQUIRED_DUE_MICRO,risk_sl|microstructure
5530,2023-07-31,TAKE_CANDIDATE,STOP_LOSS,-1.1,MACRO_BULL_LEG,SL_OK,AUTO_TAKE_BAD_CONTEXT,macro_phase
5555,2023-08-04,SKIP_STRUCTURAL,STOP_LOSS,-1.1,MACRO_RANGE,SL_TOO_WIDE,SKIP_CORRECT,risk_sl
5627,2023-08-22,SKIP_STRUCTURAL,WIN_HELD,1.96,MACRO_RANGE,SL_LATE_WIDE,SKIP_WRONG_CUT_WINNER,risk_sl|regime_overcut
5668,2023-08-31,SKIP_STRUCTURAL,STOP_LOSS,-1.1,MACRO_CORRECTIVE_PULLBACK,SL_TOO_WIDE,SKIP_CORRECT,risk_sl
5701,2023-09-07,TAKE_CANDIDATE,STOP_LOSS,-1.1,MACRO_BEAR_LEG,SL_OK,AUTO_TAKE_BAD_CONTEXT,macro_phase
5724,2023-09-13,SKIP_STRUCTURAL,WIN_BE,0.9,MACRO_RANGE,SL_TOO_SHORT,SKIP_CORRECT,risk_sl
5772,2023-09-25,SKIP_STRUCTURAL,STOP_LOSS,-1.1,MACRO_BEAR_LEG,SL_TOO_SHORT,SKIP_CORRECT,risk_sl
5826,2023-10-06,SKIP_STRUCTURAL,WIN_RUNNER,3.9,MACRO_TRANSITION,SL_OK,SKIP_WRONG_CUT_RUNNER,regime_overcut
5842,2023-10-11,REVIEW,WIN_RUNNER,3.9,MACRO_TRANSITION,SL_OK,REVIEW_SHOULD_BE_TAKE,supply_lens/regime_underread
5866,2023-10-17,HUMAN_VISUAL_REQUIRED,WIN_HELD,2.7,MACRO_TRANSITION,SL_OK,HUMAN_VISUAL_REQUIRED_DUE_MICRO,microstructure
5875,2023-10-18,HUMAN_VISUAL_REQUIRED,SCRATCH,0.93,MACRO_TRANSITION,SL_OK,HUMAN_VISUAL_REQUIRED_DUE_MICRO,microstructure
5920,2023-10-30,HUMAN_VISUAL_REQUIRED,STOP_LOSS,-1.1,MACRO_TRANSITION,SL_OK,HUMAN_VISUAL_REQUIRED_DUE_MICRO,microstructure
5955,2023-11-07,REVIEW,STOP_LOSS,-1.1,MACRO_TRANSITION,SL_OK,REVIEW_CORRECT,ok
