bar_idx,datetime,engine_policy,engine_family,indicator_score,indicator_confluence,bubbles,nas,smc,rsi,crossed_policy,EVAL_exitype,EVAL_realR
3085,2021-12-30,TAKE,BULL,2,STRONG_BULL_CONFIRM,BUBBLE_BUY_DOMINANCE,NAS_NEUTRAL,SMC_BOS_CONTINUATION,RSI_NO_DIV,TAKE_CONFIRMED,STOP_LOSS,-1.1
3102,2022-01-04,SKIP,RISK,2,STRONG_BULL_CONFIRM,BUBBLE_BUY_DOMINANCE,NAS_NEUTRAL,SMC_BOS_CONTINUATION,RSI_NO_DIV,UPGRADE_REVIEW,STOP_LOSS,-1.1
3118,2022-01-07,SKIP,RISK,-2,STRONG_BEAR_CONFIRM,BUBBLE_SELL_DISTRIBUTION,NAS_NEUTRAL,SMC_CHOCH_REVERSAL,RSI_NO_DIV,SKIP_CONFIRMED,SCRATCH,0.99
3126,2022-01-10,SKIP,RISK,-2,STRONG_BEAR_CONFIRM,BUBBLE_SELL_DISTRIBUTION,NAS_NEUTRAL,SMC_CHOCH_REVERSAL,RSI_NO_DIV,SKIP_CONFIRMED,WIN_HELD,2.02
3147,2022-01-14,TAKE,BULL,1,WEAK_BULL,BUBBLE_BUY_DOMINANCE,NAS_NEUTRAL,SMC_NONE,RSI_NO_DIV,TAKE_CONFIRMED,STOP_LOSS,-1.1
3162,2022-01-18,TAKE,BULL,0,NEUTRAL,BUBBLE_SELL_DISTRIBUTION,NAS_NEUTRAL,SMC_BOS_CONTINUATION,RSI_NO_DIV,TAKE_NEUTRAL,STOP_LOSS,-1.1
3178,2022-01-21,TAKE,BULL,0,NEUTRAL,BUBBLE_BUY_DOMINANCE,NAS_NEUTRAL,SMC_CHOCH_REVERSAL,RSI_NO_DIV,TAKE_NEUTRAL,STOP_LOSS,-1.1
3190,2022-01-25,REVIEW_RISK,BULL,-1,WEAK_BEAR,BUBBLE_SELL_DISTRIBUTION,NAS_NEUTRAL,SMC_NONE,RSI_NO_DIV,REVIEW_RISK,STOP_LOSS,-1.1
3219,2022-02-01,SKIP,RISK,0,NEUTRAL,BUBBLE_SELL_DISTRIBUTION,NAS_LONG_RECENT,SMC_NONE,RSI_NO_DIV,SKIP_NEUTRAL,WIN_HELD,2.66
3238,2022-02-04,TAKE,BULL,-2,STRONG_BEAR_CONFIRM,BUBBLE_MIXED,NAS_NEUTRAL,SMC_CHOCH_REVERSAL,RSI_BEAR_DIV,DOWNGRADE_REVIEW,WIN_HELD,2.41
3252,2022-02-08,REVIEW_RISK,BULL,0,NEUTRAL,BUBBLE_BUY_DOMINANCE,NAS_NEUTRAL,SMC_CHOCH_REVERSAL,RSI_NO_DIV,REVIEW_RISK,WIN_HELD,1.84
3326,2022-02-24,TAKE,BULL,2,STRONG_BULL_CONFIRM,BUBBLE_BUY_DOMINANCE,NAS_NEUTRAL,SMC_BOS_CONTINUATION,RSI_NO_DIV,TAKE_CONFIRMED,STOP_LOSS,-1.1
3443,2022-03-24,TAKE,BULL,0,NEUTRAL,BUBBLE_MIXED,NAS_NEUTRAL,SMC_CHOCH_REVERSAL,RSI_BULL_DIV,TAKE_NEUTRAL,STOP_LOSS,-1.1
3474,2022-03-31,REVIEW_RISK,BULL,0,NEUTRAL,BUBBLE_BUY_DOMINANCE,NAS_NEUTRAL,SMC_CHOCH_REVERSAL,RSI_NO_DIV,REVIEW_RISK,SCRATCH,0.38
3491,2022-04-05,TAKE,BULL,-1,WEAK_BEAR,BUBBLE_SELL_DISTRIBUTION,NAS_NEUTRAL,SMC_NONE,RSI_NO_DIV,TAKE_WEAK,WIN_BE,0.9
3509,2022-04-08,TAKE,BULL,1,WEAK_BULL,BUBBLE_BUY_DOMINANCE,NAS_NEUTRAL,SMC_NONE,RSI_NO_DIV,TAKE_CONFIRMED,WIN_BE,0.9
3622,2022-05-06,SKIP,RISK,-2,STRONG_BEAR_CONFIRM,BUBBLE_SELL_DISTRIBUTION,NAS_NEUTRAL,SMC_CHOCH_REVERSAL,RSI_NO_DIV,SKIP_CONFIRMED,STOP_LOSS,-1.1
3678,2022-05-19,REVIEW,NEUTRO,1,WEAK_BULL,BUBBLE_BUY_DOMINANCE,NAS_1D_LONG,SMC_CHOCH_REVERSAL,RSI_NO_DIV,REVIEW_WEAK_BULL,SCRATCH,0.66
3773,2022-06-10,SKIP,RISK,-1,WEAK_BEAR,BUBBLE_SELL_DISTRIBUTION,NAS_NEUTRAL,SMC_NONE,RSI_NO_DIV,SKIP_CONFIRMED,STOP_LOSS,-1.1
3799,2022-06-16,SKIP,RISK,-1,WEAK_BEAR,BUBBLE_SELL_DISTRIBUTION,NAS_NEUTRAL,SMC_NONE,RSI_NO_DIV,SKIP_CONFIRMED,STOP_LOSS,-1.1
3825,2022-06-23,SKIP,RISK,0,NEUTRAL,BUBBLE_SELL_DISTRIBUTION,NAS_NEUTRAL,SMC_BOS_CONTINUATION,RSI_NO_DIV,SKIP_NEUTRAL,STOP_LOSS,-1.1
3836,2022-06-26,SKIP,RISK,0,NEUTRAL,BUBBLE_SELL_DISTRIBUTION,NAS_NEUTRAL,SMC_BOS_CONTINUATION,RSI_NO_DIV,SKIP_NEUTRAL,STOP_LOSS,-1.1
3929,2022-07-18,SKIP,RISK,-1,WEAK_BEAR,BUBBLE_SELL_DISTRIBUTION,NAS_1D_LONG,SMC_CHOCH_REVERSAL,RSI_NO_DIV,SKIP_CONFIRMED,STOP_LOSS,-1.1
3949,2022-07-21,SKIP,RISK,-1,WEAK_BEAR,BUBBLE_SELL_DISTRIBUTION,NAS_LONG_RECENT,SMC_CHOCH_REVERSAL,RSI_NO_DIV,SKIP_CONFIRMED,WIN_HELD,3.54
4095,2022-08-25,SKIP,RISK,-2,STRONG_BEAR_CONFIRM,BUBBLE_SELL_DISTRIBUTION,NAS_NEUTRAL,SMC_CHOCH_REVERSAL,RSI_NO_DIV,SKIP_CONFIRMED,STOP_LOSS,-1.1
4243,2022-09-28,SKIP,RISK,-1,WEAK_BEAR,BUBBLE_SELL_DISTRIBUTION,NAS_1D_LONG,SMC_CHOCH_REVERSAL,RSI_NO_DIV,SKIP_CONFIRMED,SCRATCH,0.18
4309,2022-10-13,SKIP,RISK,0,NEUTRAL,BUBBLE_SELL_DISTRIBUTION,NAS_NEUTRAL,SMC_BOS_CONTINUATION,RSI_NO_DIV,SKIP_NEUTRAL,STOP_LOSS,-1.1
4346,2022-10-23,SKIP,RISK,-2,STRONG_BEAR_CONFIRM,BUBBLE_SELL_DISTRIBUTION,NAS_NEUTRAL,SMC_CHOCH_REVERSAL,RSI_NO_DIV,SKIP_CONFIRMED,SCRATCH,0.4
4372,2022-10-28,REVIEW,NEUTRO,-1,WEAK_BEAR,BUBBLE_SELL_DISTRIBUTION,NAS_NEUTRAL,SMC_NONE,RSI_NO_DIV,REVIEW_WEAK_BEAR,STOP_LOSS,-1.1
4384,2022-11-01,SKIP,RISK,-2,STRONG_BEAR_CONFIRM,BUBBLE_SELL_DISTRIBUTION,NAS_NEUTRAL,SMC_CHOCH_REVERSAL,RSI_NO_DIV,SKIP_CONFIRMED,WIN_HELD,2.75
4401,2022-11-04,SKIP,RISK,-1,WEAK_BEAR,BUBBLE_SELL_DISTRIBUTION,NAS_NEUTRAL,SMC_BOS_CONTINUATION,RSI_BEAR_DIV,SKIP_CONFIRMED,WIN_HELD,2.76
4429,2022-11-10,TAKE,BULL,-2,STRONG_BEAR_CONFIRM,BUBBLE_BUY_DOMINANCE,NAS_SHORT_CLUSTER,SMC_CHOCH_REVERSAL,RSI_BEAR_DIV,DOWNGRADE_REVIEW,SCRATCH,-0.11
4483,2022-11-23,TAKE,BULL,-1,WEAK_BEAR,BUBBLE_SELL_DISTRIBUTION,NAS_NEUTRAL,SMC_NONE,RSI_NO_DIV,TAKE_WEAK,WIN_HELD,1.82
4513,2022-11-30,TAKE,BULL,2,STRONG_BULL_CONFIRM,BUBBLE_BUY_DOMINANCE,NAS_NEUTRAL,SMC_BOS_CONTINUATION,RSI_NO_DIV,TAKE_CONFIRMED,SCRATCH,0.49
