episode_first_idx,candidate_id,timestamp,n_candidates_in_episode,outcome_R_2R,outcome_how,dist_supply_low_atr,demand_category,supply_category,polarity_category,reclass,near_BOM_12b,dense_leg,buckets
6767,C6767,2024-05-17 18:00,7,-1.0,stop,0.64,DEMAND_SUPPORTING_RETEST,SUPPLY_NEAR_AND_REJECTING,RECLAIM_REJECTED_BELOW_SUPPLY,GENERIC_BULL_FOLLOW_THROUGH,0,0,UNKNOWN_LOW_OUTCOME_NAOlike|UNKNOWN_SUPPLY_PRESSURE|UNKNOWN_DEMAND_SUPPORTED|UNKNOWN_TOP_SWEEP_RISK
6791,C6791,2024-05-23 18:00,15,2.0,target,5.93,DEMAND_ORIGIN_OF_LEG,CLEAN_SKY,RECLAIM_REJECTED_BELOW_SUPPLY,TRUE_L2_CONTINUATION_CANDIDATE,0,1,UNKNOWN_HIGH_OUTCOME_BOMlike|UNKNOWN_CLEAN_SKY|UNKNOWN_DUPLICATE_DENSE_LEG
6819,C6819,2024-05-30 10:00,2,-1.0,stop,0.18,DEMAND_PRESENT_NEUTRAL,SUPPLY_NEAR_AND_REJECTING,POLARITY_UNDER_SUPPLY_PRESSURE,NA,0,0,UNKNOWN_LOW_OUTCOME_NAOlike|UNKNOWN_SUPPLY_PRESSURE|UNKNOWN_SINGLE_CLEAN_SIGNAL
6832,C6832,2024-06-03 14:00,3,-1.0,stop,5.59,DEMAND_SUPPORTING_RETEST,CLEAN_SKY,POLARITY_FLOATING_NO_BASE,NA,0,0,UNKNOWN_CLEAN_SKY|UNKNOWN_DEMAND_SUPPORTED
6844,C6844,2024-06-05 14:00,7,-1.0,stop,4.89,DEMAND_SUPPORTING_RETEST,CLEAN_SKY,RECLAIM_ACCEPTED_ABOVE_SUPPLY,TRUE_L2_CONTINUATION_CANDIDATE,0,0,UNKNOWN_CLEAN_SKY|UNKNOWN_DEMAND_SUPPORTED
6887,C6887,2024-06-14 18:00,1,-1.0,stop,3.28,DEMAND_SUPPORTING_RETEST,SUPPLY_FAR_ENOUGH,POLARITY_SUPPORTED_BY_DEMAND,NA,0,0,UNKNOWN_DEMAND_SUPPORTED|UNKNOWN_SINGLE_CLEAN_SIGNAL
6908,C6908,2024-06-20 06:00,4,2.0,target,,DEMAND_ABSENT_OR_IRRELEVANT,CLEAN_SKY,POLARITY_FLOATING_NO_BASE,GENERIC_BULL_FOLLOW_THROUGH,0,0,UNKNOWN_CLEAN_SKY|UNKNOWN_NO_DEMAND_SUPPORT
6923,C6923,2024-06-24 18:00,1,-1.0,stop,1.86,DEMAND_PRESENT_NEUTRAL,SUPPLY_BLOCKS_TARGET,RECLAIM_REJECTED_BELOW_SUPPLY,NA,0,0,UNKNOWN_SINGLE_CLEAN_SIGNAL
6954,C6954,2024-07-01 22:00,1,2.0,target,2.56,DEMAND_PRESENT_NEUTRAL,SUPPLY_FAR_ENOUGH,POLARITY_FLOATING_NO_BASE,NA,0,0,UNKNOWN_SINGLE_CLEAN_SIGNAL
6962,C6962,2024-07-03 06:00,2,2.0,target,0.97,DEMAND_SUPPORTING_RETEST,SUPPLY_FRESH_DANGEROUS,POLARITY_SUPPORTED_BY_DEMAND,GENERIC_BULL_FOLLOW_THROUGH,0,0,UNKNOWN_HIGH_OUTCOME_BOMlike|UNKNOWN_SUPPLY_PRESSURE|UNKNOWN_DEMAND_SUPPORTED|UNKNOWN_SINGLE_CLEAN_SIGNAL
