episode_id,datetime,agg_v1,error,stage_a,realR,exit,reason
4609,2022-12-22 23:00,REVIEW,GOOD_REVIEW_NOT_TAKE,liquidity_sweep_reversal,3.9,WIN_RUNNER,no_anchor_partial_support
4644,2023-01-03 19:00,SKIP,VETO_TOO_HARD,bull_pullback_continuation,2.17,WIN_HELD,FATAL:exhaustion_hostile_no_bottom
4677,2023-01-11 07:00,SKIP,VETO_TOO_HARD,bull_pullback_continuation,2.05,WIN_HELD,FATAL:exhaustion_hostile_no_bottom
4926,2023-03-09 19:00,SKIP,NAS_OVERREQUIRED,mid_range_noise,3.9,WIN_RUNNER,no_anchor_no_support
5627,2023-08-22 14:00,SKIP,VETO_TOO_HARD,bottom_reversal_capitulation,1.96,WIN_HELD,FATAL:no_demand_bad_risk
5842,2023-10-11 10:00,SKIP,VETO_TOO_HARD,demand_reclaim,3.9,WIN_RUNNER,FATAL:exhaustion_hostile_no_bottom
5866,2023-10-17 10:00,SKIP,VETO_TOO_HARD,late_top_exhaustion,2.7,WIN_HELD,FATAL:late_top_context
5955,2023-11-07 07:00,TAKE,DEMAND_SUPPLY_FALSE_POSITIVE,bottom_reversal_capitulation,-1.1,STOP_LOSS,anchor_clean
6049,2023-11-29 03:00,SKIP,VETO_TOO_HARD,late_top_exhaustion,0.9,WIN_BE,FATAL:late_top_context
6193,2024-01-04 03:00,TAKE,DEMAND_SUPPLY_FALSE_POSITIVE,liquidity_sweep_reversal,-1.1,STOP_LOSS,anchor_clean
6210,2024-01-08 23:00,TAKE,DEMAND_SUPPLY_FALSE_POSITIVE,demand_reclaim,-1.1,STOP_LOSS,anchor_clean
6610,2024-04-11 14:00,TAKE,DEMAND_SUPPLY_FALSE_POSITIVE,bull_pullback_continuation,-1.1,STOP_LOSS,anchor_clean
6711,2024-05-06 10:00,SKIP,NAS_OVERREQUIRED,mid_range_noise,1.78,WIN_HELD,no_anchor_no_support
6741,2024-05-13 10:00,SKIP,VETO_TOO_HARD,bull_pullback_continuation,0.9,WIN_BE,FATAL:exhaustion_hostile_no_bottom
6887,2024-06-14 18:00,TAKE,DEMAND_SUPPLY_FALSE_POSITIVE,bull_pullback_continuation,-1.1,STOP_LOSS,anchor_clean
6962,2024-07-03 06:00,SKIP,VETO_TOO_HARD,bull_pullback_continuation,3.16,WIN_HELD,FATAL:exhaustion_hostile_no_bottom
6992,2024-07-10 06:00,SKIP,NAS_OVERREQUIRED,bull_pullback_continuation,1.78,WIN_HELD,no_anchor_no_support
7149,2024-08-15 10:00,SKIP,VETO_TOO_HARD,bear_bounce,3.9,WIN_RUNNER,FATAL:exhaustion_hostile_no_bottom
7232,2024-09-04 06:00,SKIP,VETO_TOO_HARD,liquidity_sweep_reversal,3.9,WIN_RUNNER,FATAL:no_demand_bad_risk
7454,2024-10-25 06:00,SKIP,NAS_OVERREQUIRED,bull_pullback_continuation,0.9,WIN_BE,no_anchor_no_support
7509,2024-11-07 11:00,TAKE,OTHER,bottom_reversal_capitulation,-1.1,STOP_LOSS,anchor_clean
7731,2024-12-31 15:00,SKIP,NAS_OVERREQUIRED,demand_reclaim,2.05,WIN_HELD,no_anchor_no_support
8080,2025-03-24 18:00,REVIEW,GOOD_REVIEW_NOT_TAKE,mid_range_noise,3.9,WIN_RUNNER,no_anchor_partial_support
8133,2025-04-04 14:00,TAKE,DEMAND_SUPPLY_FALSE_POSITIVE,bottom_reversal_capitulation,-1.1,STOP_LOSS,anchor_clean
8357,2025-05-28 22:00,SKIP,VETO_TOO_HARD,bottom_reversal_capitulation,1.78,WIN_HELD,FATAL:no_demand_bad_risk
8544,2025-07-11 06:00,SKIP,VETO_TOO_HARD,bull_pullback_continuation,1.01,WIN_HELD,FATAL:exhaustion_hostile_no_bottom
8765,2025-09-02 02:00,SKIP,VETO_TOO_HARD,late_top_exhaustion,1.95,WIN_HELD,FATAL:late_top_context
8823,2025-09-15 18:00,SKIP,VETO_TOO_HARD,bull_pullback_continuation,2.05,WIN_HELD,FATAL:exhaustion_hostile_no_bottom
8893,2025-10-01 10:00,SKIP,VETO_TOO_HARD,bull_pullback_continuation,2.83,WIN_HELD,FATAL:exhaustion_hostile_no_bottom
8905,2025-10-03 10:00,SKIP,VETO_TOO_HARD,demand_reclaim,3.9,WIN_RUNNER,FATAL:exhaustion_hostile_no_bottom
8923,2025-10-08 10:00,SKIP,VETO_TOO_HARD,late_top_exhaustion,0.9,WIN_BE,FATAL:late_top_context
8940,2025-10-13 06:00,SKIP,VETO_TOO_HARD,bull_pullback_continuation,0.9,WIN_BE,FATAL:exhaustion_hostile_no_bottom
9081,2025-11-13 19:00,TAKE,DEMAND_SUPPLY_FALSE_POSITIVE,demand_reclaim,-1.1,STOP_LOSS,anchor_clean
9215,2025-12-16 03:00,SKIP,VETO_TOO_HARD,demand_reclaim,3.9,WIN_RUNNER,FATAL:exhaustion_hostile_no_bottom
9297,2026-01-06 23:00,SKIP,VETO_TOO_HARD,bull_pullback_continuation,1.97,WIN_HELD,FATAL:exhaustion_hostile_no_bottom
9304,2026-01-08 03:00,SKIP,VETO_TOO_HARD,mid_range_noise,2.45,WIN_HELD,FATAL:exhaustion_hostile_no_bottom
9314,2026-01-09 19:00,SKIP,VETO_TOO_HARD,bull_pullback_continuation,3.16,WIN_HELD,FATAL:exhaustion_hostile_no_bottom
9345,2026-01-18 23:00,REVIEW,GOOD_REVIEW_NOT_TAKE,bull_pullback_continuation,3.9,WIN_RUNNER,no_anchor_partial_support
9368,2026-01-22 19:00,SKIP,VETO_TOO_HARD,late_top_exhaustion,0.9,WIN_BE,FATAL:late_top_context
9512,2026-02-25 19:00,SKIP,VETO_TOO_HARD,demand_reclaim,0.9,WIN_BE,FATAL:exhaustion_hostile_no_bottom
9727,2026-04-17 14:00,TAKE,DEMAND_SUPPLY_FALSE_POSITIVE,bull_pullback_continuation,-1.11,STOP_LOSS,anchor_clean
