bar_idx,timestamp,active_flags,active_objectives,n_always_on,n_foreground,foreground_per_objective,n_probes,probes_mandatory,n_also_available,foreground_large_diag,n_sosias,has_continuation,micro62,swing41
9329,2026-01-14,leg_bull|clean_sky|late_top_or_high_legpos,topo/range/chop,47,7,topo:7,6,1,33,0,9,0,0,0
9345,2026-01-18,leg_bull|capit_or_flush|markup_context|clean_sky|late_top_or_high_legpos,reversao/fundo/capitulacao|markup-through-supply-vs-supply-rejection|topo/range/chop|continuacao-estrutural|preservar-monumentais,47,32,reversao:12 markup:10 topo:2 continuacao:5 preservar:3,6,1,8,1,11,0,0,0
9368,2026-01-22,leg_bull|markup_context|clean_sky|late_top_or_high_legpos,markup-through-supply-vs-supply-rejection|topo/range/chop|continuacao-estrutural,47,22,markup:11 topo:4 continuacao:7,6,1,18,0,37,0,1,0
9390,2026-01-28,leg_bull|markup_context|clean_sky|late_top_or_high_legpos,markup-through-supply-vs-supply-rejection|topo/range/chop|continuacao-estrutural,47,22,markup:11 topo:4 continuacao:7,6,1,18,0,11,0,0,0
9432,2026-02-06,leg_bull|regime_distribution_warning|supply_threat,markup-through-supply-vs-supply-rejection|topo/range/chop,47,15,markup:11 topo:4,6,0,25,0,1,0,0,0
9492,2026-02-20,leg_bull|regime_distribution_warning|clean_sky|late_top_or_high_legpos,topo/range/chop,47,7,topo:7,6,0,33,0,0,0,0,0
9504,2026-02-24,leg_bull|regime_distribution_warning|clean_sky|has_continuation_sibling,topo/range/chop|continuacao-estrutural|preservar-monumentais,47,26,topo:7 continuacao:11 preservar:8,6,1,14,1,4,1,0,0
9512,2026-02-25,leg_bull|regime_distribution_warning|supply_threat|has_continuation_sibling|late_top_or_high_legpos,markup-through-supply-vs-supply-rejection|topo/range/chop|continuacao-estrutural|preservar-monumentais,47,28,markup:11 topo:4 continuacao:7 preservar:6,6,1,12,1,7,1,0,0
9523,2026-02-27,leg_bull|regime_distribution_warning|markup_context|clean_sky|has_continuation_sibling|late_top_or_high_legpos,markup-through-supply-vs-supply-rejection|topo/range/chop|continuacao-estrutural|preservar-monumentais,47,28,markup:11 topo:4 continuacao:7 preservar:6,6,0,12,1,1,1,0,0
9530,2026-03-02,leg_bull|regime_distribution_warning|capit_or_flush|clean_sky|has_continuation_sibling|late_top_or_high_legpos,reversao/fundo/capitulacao|topo/range/chop|continuacao-estrutural|preservar-monumentais,47,30,reversao:12 topo:4 continuacao:9 preservar:5,6,0,10,1,3,1,0,0
9537,2026-03-03,leg_bull|regime_distribution_warning|capit_or_flush,reversao/fundo/capitulacao|topo/range/chop|preservar-monumentais,47,26,reversao:12 topo:4 preservar:10,6,0,14,1,0,0,0,0
9582,2026-03-13,leg_bull|regime_distribution_warning|capit_or_flush|supply_threat,reversao/fundo/capitulacao|markup-through-supply-vs-supply-rejection|topo/range/chop|preservar-monumentais,47,30,reversao:12 markup:10 topo:2 preservar:6,6,0,10,1,2,0,0,0
9628,2026-03-25,leg_bull|regime_distribution_warning|supply_threat,markup-through-supply-vs-supply-rejection|topo/range/chop,47,15,markup:11 topo:4,6,1,25,0,25,0,0,0
9646,2026-03-30,leg_bear|regime_distribution_warning|supply_threat,bear-buy-legitimo-vs-trap|markup-through-supply-vs-supply-rejection|topo/range/chop|preservar-monumentais,47,32,bear:14 markup:8 topo:3 preservar:7,6,1,8,1,6,0,0,0
9727,2026-04-17,leg_bull|regime_distribution_warning|late_top_or_high_legpos,topo/range/chop,47,7,topo:7,6,1,33,0,37,0,1,0
9805,2026-05-06,leg_bull|regime_distribution_warning|supply_threat,markup-through-supply-vs-supply-rejection|topo/range/chop,47,15,markup:11 topo:4,6,1,25,0,25,0,0,0
