plot_id,set,datetime,d1_leg,gate_v2,gate_v3,blocked_v2,blocked_v3,block_type,drop20_atr,rsi_min8,reclaim_body,demand,climax,macro_broken,combined,weekly_slope,reason_codes,cris
T42,B,2026-04-17,MACRO_RANGE,BLOCK_BEAR_MARKDOWN,BLOCK_BEAR_MARKDOWN,YES,YES,BLOCK_BEAR_MARKDOWN,0.5,51.03,-0.52,DEMAND_DEFENDED,False,True,-1.0,0.6070517404707794,"bear_markdown(leg=MACRO_RANGE,mb=True,cs=-1.0)",BLOCK
S9,C,2021-05-12,MACRO_BULL_LEG,ALLOW,ALLOW,NO,NO,ALLOW,2.59,47.95,-0.71,DEMAND_FRAGILE,False,True,3.0,-0.22379088690467835,allow(leg=MACRO_BULL_LEG),REVIEW
S10,C,2021-05-14,MACRO_BULL_LEG,ALLOW,ALLOW,NO,NO,ALLOW,0.0,40.98,0.51,DEMAND_DEFENDED,False,True,2.0,-0.22379088690467835,allow(leg=MACRO_BULL_LEG),REVIEW
S14,C,2022-11-01,MACRO_RANGE,BLOCK_BEAR_MARKDOWN,BLOCK_BEAR_MARKDOWN,YES,YES,BLOCK_BEAR_MARKDOWN,2.27,33.76,1.06,DEMAND_NEUTRAL,False,True,-3.0,-0.4691936913007228,"bear_markdown(leg=MACRO_RANGE,mb=True,cs=-3.0)",TRANSFORM
S18,C,2023-01-11,MACRO_BULL_LEG,ALLOW,ALLOW,NO,NO,ALLOW,0.0,62.25,0.53,DEMAND_DEFENDED,False,False,3.0,0.6487836827052934,allow(leg=MACRO_BULL_LEG),REVIEW
S19,C,2023-08-22,MACRO_RANGE,BLOCK_BEAR_MARKDOWN,BLOCK_BEAR_MARKDOWN,YES,YES,BLOCK_BEAR_MARKDOWN,0.71,40.48,1.02,DEMAND_ABSENT,False,True,-2.0,-0.24545820039007285,"bear_markdown(leg=MACRO_RANGE,mb=True,cs=-2.0)",BLOCK_acceptable_skip
S21,C,2023-10-17,MACRO_TRANSITION,ALLOW,ALLOW,NO,NO,ALLOW,0.2,67.28,0.45,DEMAND_DEFENDED,False,True,3.0,-0.12456137625421815,allow(leg=MACRO_TRANSITION),REVIEW
S22,C,2023-11-29,MACRO_RANGE,ALLOW,ALLOW,NO,NO,ALLOW,0.28,67.06,-0.27,DEMAND_DEFENDED,False,False,3.0,0.21494183568943886,allow(leg=MACRO_RANGE),REVIEW
S23,C,2024-05-13,MACRO_CORRECTIVE_PULLBACK,ALLOW,ALLOW,NO,NO,ALLOW,2.05,51.63,0.29,DEMAND_DEFENDED,False,False,3.0,0.9776251203295535,corrective_with_flush(drop20_atr=2.05) -> preserve|allow(leg=MACRO_CORRECTIVE_PULLBACK),REVIEW
S28,C,2025-07-11,MACRO_CORRECTIVE_PULLBACK,ALLOW,BLOCK_CORRECTIVE_PULLBACK,NO,YES,BLOCK_CORRECTIVE_PULLBACK,0.0,47.46,0.38,DEMAND_DEFENDED,False,False,1.0,0.7695780101118973,"corrective_shallow(drop20_atr=0.0<1.0, no_flush)",REVIEW
S39,C,2026-01-22,MACRO_BULL_LEG,ALLOW,ALLOW,NO,NO,ALLOW,0.0,62.11,0.37,DEMAND_DEFENDED,False,False,3.0,1.204192301178643,allow(leg=MACRO_BULL_LEG),REVIEW
T13,C,2021-08-11,MACRO_RANGE,BLOCK_BEAR_MARKDOWN,BLOCK_BEAR_MARKDOWN,YES,YES,BLOCK_BEAR_MARKDOWN,1.43,19.85,-0.14,DEMAND_DEFENDED,False,True,-3.0,0.049612178563807556,"bear_markdown(leg=MACRO_RANGE,mb=True,cs=-3.0)",REVIEW
T14,C,2021-08-13,MACRO_BEAR_LEG,BLOCK_BEAR_MARKDOWN,BLOCK_BEAR_MARKDOWN,YES,YES,BLOCK_BEAR_MARKDOWN,0.0,48.0,0.4,DEMAND_DEFENDED,False,True,-1.0,0.049612178563807556,"bear_markdown(leg=MACRO_BEAR_LEG,mb=True,cs=-1.0)",REVIEW
T19,C,2022-01-10,MACRO_BULL_LEG,BLOCK_BEAR_MARKDOWN,BLOCK_BEAR_MARKDOWN,YES,YES,BLOCK_BEAR_MARKDOWN,3.32,36.54,0.78,DEMAND_DEFENDED,False,True,-2.0,0.08478990615073391,"bear_markdown(leg=MACRO_BULL_LEG,mb=True,cs=-2.0)",REVIEW
T27,C,2022-07-18,MACRO_BEAR_LEG,BLOCK_BEAR_MARKDOWN,BLOCK_BEAR_MARKDOWN,YES,YES,BLOCK_BEAR_MARKDOWN,2.05,33.05,-0.31,DEMAND_DEFENDED,False,True,-3.0,-0.6218079847300196,"bear_markdown(leg=MACRO_BEAR_LEG,mb=True,cs=-3.0)",TRANSFORM
T32,C,2024-04-11,MACRO_BULL_LEG,ALLOW,ALLOW,NO,NO,ALLOW,0.41,51.16,0.76,DEMAND_DEFENDED,False,False,1.0,0.6363053631811029,allow(leg=MACRO_BULL_LEG),REVIEW
T33,C,2024-05-09,MACRO_CORRECTIVE_PULLBACK,ALLOW,BLOCK_CORRECTIVE_PULLBACK,NO,YES,BLOCK_CORRECTIVE_PULLBACK,0.32,46.21,1.49,DEMAND_DEFENDED,False,False,1.0,0.9776251203295535,"corrective_shallow(drop20_atr=0.32<1.0, no_flush)",REVIEW
T34,C,2024-06-14,MACRO_BEAR_LEG,BLOCK_BEAR_MARKDOWN,BLOCK_BEAR_MARKDOWN,YES,YES,BLOCK_BEAR_MARKDOWN,0.13,39.75,-0.11,DEMAND_DEFENDED,False,False,-1.0,0.898919941913868,"bear_markdown(leg=MACRO_BEAR_LEG,mb=False,cs=-1.0)",PROTECT_entry_fix_SL
T36,C,2025-03-27,MACRO_BULL_LEG,ALLOW,ALLOW,NO,NO,ALLOW,0.0,47.54,0.82,DEMAND_DEFENDED,False,False,1.0,0.8559237367907301,allow(leg=MACRO_BULL_LEG),PROTECT_ressalva
