bar_idx,episode_id,datetime,sl_atr,realR,exitype,is_winner_gt,is_loser_gt,sim_dist_to_winners,sim_dist_to_losers,closer_to_DIAG
4309,,2022-10-13 18:00,2.06,-1.1,STOP_LOSS,0,0,3.87,14.39,WINNERS
4346,,2022-10-23 22:00,3.5,0.4,SCRATCH,0,0,7.44,18.47,WINNERS
4372,,2022-10-28 06:00,1.37,-1.1,STOP_LOSS,0,0,8.21,17.01,WINNERS
4384,,2022-11-01 06:00,4.19,2.75,WIN_HELD,0,0,2.5,12.37,WINNERS
4401,,2022-11-04 02:00,3.09,2.76,WIN_HELD,0,0,4.18,12.78,WINNERS
4429,,2022-11-10 19:00,4.33,-0.11,SCRATCH,0,0,21.6,10.7,LOSERS
4483,,2022-11-23 19:00,2.13,1.82,WIN_HELD,0,0,12.03,5.63,LOSERS
4513,,2022-11-30 23:00,3.97,0.49,SCRATCH,0,0,13.92,3.72,LOSERS
4530,,2022-12-05 19:00,2.41,1.28,WIN_HELD,0,0,1.17,10.73,WINNERS
4574,,2022-12-15 03:00,1.8,-1.1,STOP_LOSS,0,0,6.84,4.49,LOSERS
4609,,2022-12-22 23:00,1.24,3.9,WIN_RUNNER,0,0,2.26,13.12,WINNERS
4644,,2023-01-03 19:00,2.77,2.17,WIN_HELD,0,0,15.94,5.56,LOSERS
4677,,2023-01-11 07:00,2.32,2.05,WIN_HELD,0,0,20.7,9.62,LOSERS
4763,,2023-01-31 15:00,3.12,-1.1,STOP_LOSS,0,0,10.46,7.24,LOSERS
4899,,2023-03-03 07:00,2.65,-1.1,STOP_LOSS,0,0,7.6,6.58,LOSERS
4908,,2023-03-06 19:00,2.79,-1.1,STOP_LOSS,0,0,8.69,6.32,LOSERS
4918,,2023-03-08 11:00,2.3,3.9,WIN_RUNNER,0,0,9.16,20.14,WINNERS
4926,,2023-03-09 19:00,2.64,3.9,WIN_RUNNER,0,0,2.3,12.62,WINNERS
4964,,2023-03-20 02:00,7.05,-0.43,SCRATCH,0,0,21.5,10.53,LOSERS
4996,,2023-03-27 10:00,1.27,2.51,WIN_HELD,0,0,8.25,4.36,LOSERS
5016,,2023-03-30 18:00,2.76,-1.1,STOP_LOSS,0,0,14.36,4.78,LOSERS
5042,,2023-04-06 02:00,6.73,-0.41,SCRATCH,0,0,20.08,9.19,LOSERS
5055,,2023-04-11 06:00,2.25,-1.1,STOP_LOSS,0,0,8.5,4.36,LOSERS
5087,,2023-04-18 14:00,1.06,-1.1,STOP_LOSS,0,0,3.27,8.85,WINNERS
5103,,2023-04-21 06:00,1.62,2.34,WIN_HELD,0,0,5.25,15.06,WINNERS
5147,,2023-05-02 14:00,3.31,-0.8,SCRATCH,0,0,2.67,8.99,WINNERS
5165,,2023-05-05 14:00,2.34,-1.1,STOP_LOSS,0,0,2.77,13.46,WINNERS
5296,,2023-06-06 10:00,2.29,-1.1,STOP_LOSS,0,0,7.66,18.62,WINNERS
5321,,2023-06-12 14:00,1.97,-1.1,STOP_LOSS,0,0,2.68,12.6,WINNERS
5331,,2023-06-14 06:00,1.48,-1.1,STOP_LOSS,0,0,5.29,16.27,WINNERS
5350,,2023-06-19 10:00,3.4,-1.1,STOP_LOSS,0,0,2.69,11.49,WINNERS
5414,,2023-07-04 02:00,2.27,-1.1,STOP_LOSS,0,0,5.53,14.7,WINNERS
5435,,2023-07-07 14:00,3.01,1.61,WIN_HELD,0,0,2.02,12.69,WINNERS
5478,,2023-07-18 18:00,4.51,-1.1,STOP_LOSS,0,0,17.59,7.08,LOSERS
5530,,2023-07-31 10:00,3.16,-1.1,STOP_LOSS,0,0,11.12,4.03,LOSERS
5555,,2023-08-04 14:00,4.12,-1.1,STOP_LOSS,0,0,8.97,20.01,WINNERS
5627,,2023-08-22 14:00,1.89,1.96,WIN_HELD,0,0,12.59,22.94,WINNERS
5668,,2023-08-31 10:00,5.05,-1.1,STOP_LOSS,0,0,21.29,10.42,LOSERS
5701,,2023-09-07 22:00,2.26,-1.1,STOP_LOSS,0,0,5.64,9.46,WINNERS
5724,,2023-09-13 18:00,0.3,0.9,WIN_BE,0,0,15.84,26.63,WINNERS
5772,,2023-09-25 18:00,0.52,-1.1,STOP_LOSS,0,0,7.3,18.01,WINNERS
5826,,2023-10-06 18:00,2.72,3.9,WIN_RUNNER,0,0,14.25,25.32,WINNERS
5842,,2023-10-11 10:00,2.94,3.9,WIN_RUNNER,0,0,10.02,14.28,WINNERS
5866,,2023-10-17 10:00,1.95,2.7,WIN_HELD,0,0,20.7,10.45,LOSERS
5875,,2023-10-18 22:00,3.58,0.93,SCRATCH,0,0,18.32,7.67,LOSERS
5920,,2023-10-30 10:00,2.31,-1.1,STOP_LOSS,0,0,18.4,7.38,LOSERS
5955,,2023-11-07 07:00,2.04,-1.1,STOP_LOSS,0,0,4.43,11.26,WINNERS
5998,,2023-11-16 11:00,2.87,2.0,WIN_HELD,0,0,6.15,6.14,LOSERS
6049,,2023-11-29 03:00,4.04,0.9,WIN_BE,0,0,19.96,9.19,LOSERS
6069,,2023-12-04 11:00,1.03,-1.1,STOP_LOSS,0,0,9.23,8.54,LOSERS
6119,,2023-12-14 19:00,5.36,0.31,SCRATCH,0,0,5.22,15.67,WINNERS
6162,,2023-12-26 23:00,4.56,-1.1,STOP_LOSS,0,0,19.88,8.58,LOSERS
6193,,2024-01-04 03:00,2.03,-1.1,STOP_LOSS,0,0,6.66,8.56,WINNERS
6210,,2024-01-08 23:00,1.08,-1.1,STOP_LOSS,0,0,9.61,20.52,WINNERS
6295,,2024-01-29 03:00,3.01,-0.32,SCRATCH,0,0,2.89,12.35,WINNERS
6362,,2024-02-13 07:00,2.45,-1.1,STOP_LOSS,0,0,7.64,18.61,WINNERS
6376,,2024-02-15 15:00,2.46,1.89,WIN_HELD,0,0,10.35,21.37,WINNERS
6453,,2024-03-05 11:00,7.62,0.13,SCRATCH,0,0,20.91,10.77,LOSERS
6471,,2024-03-08 11:00,3.82,0.05,SCRATCH,0,0,22.45,12.32,LOSERS
6489,,2024-03-13 10:00,1.77,-1.1,STOP_LOSS,0,0,14.29,4.35,LOSERS
6523,,2024-03-21 02:00,5.53,1.17,SCRATCH,0,0,16.89,7.01,LOSERS
6597,,2024-04-09 10:00,2.08,-1.1,STOP_LOSS,0,0,20.49,9.57,LOSERS
6610,,2024-04-11 14:00,2.26,-1.1,STOP_LOSS,0,0,18.47,7.77,LOSERS
6711,,2024-05-06 10:00,3.36,1.78,WIN_HELD,0,0,5.55,15.54,WINNERS
6729,,2024-05-09 10:00,1.94,1.69,WIN_HELD,0,0,6.84,16.75,WINNERS
6741,,2024-05-13 10:00,2.81,0.9,WIN_BE,0,0,7.71,4.71,LOSERS
6767,,2024-05-17 18:00,3.53,-1.1,STOP_LOSS,0,0,18.37,7.65,LOSERS
6791,,2024-05-23 18:00,1.51,1.91,WIN_HELD,0,0,9.48,20.14,WINNERS
