episode_id,n_candidates,has_BOM,has_STRONG,first_ts,span_bars
73,50,0,1,1634004000,105
74,9,0,1,1636135200,14
75,2,0,0,1637017200,2
76,4,0,0,1637146800,3
77,4,0,0,1637564400,6
78,6,0,1,1637895600,13
79,2,0,0,1638932400,1
80,2,0,0,1639393200,4
81,17,1,1,1639652400,24
82,2,0,0,1640674800,1
83,5,0,1,1640890800,6
84,4,0,1,1641308400,4
85,2,0,1,1641538800,1
86,6,1,1,1641826800,13
87,3,0,0,1642129200,4
88,1,0,1,1642518000,0
89,4,0,1,1642748400,5
90,7,0,1,1643094000,16
91,1,0,0,1643684400,0
92,5,0,1,1643958000,7
93,35,0,1,1644332400,67
94,64,1,1,1645743600,103
95,6,0,0,1648116000,8
96,1,0,0,1648735200,0
97,1,0,0,1649152800,0
98,35,0,1,1649412000,54
99,5,0,0,1651816800,4
100,50,0,1,1652968800,87
101,3,0,1,1654855200,4
102,9,0,1,1655402400,18
103,2,0,0,1655949600,1
104,3,0,0,1656280800,2
105,1,0,0,1658138400,0
106,63,0,1,1658426400,127
107,4,0,0,1661392800,6
108,36,1,1,1664388000,59
109,16,0,0,1665684000,20
110,7,0,1,1666562400,12
111,2,0,0,1666936800,1
112,7,0,0,1667282400,8
113,9,1,1,1667527200,11
114,28,0,1,1668106800,45
115,1,0,1,1669230000,0
116,2,0,1,1669849200,2
117,27,1,1,1670266800,33
118,19,0,1,1671073200,28
119,18,0,1,1671750000,28
120,17,1,1,1672772400,26
121,44,0,1,1673420400,78
122,10,0,1,1675177200,16
123,2,0,0,1677826800,2
124,2,0,0,1678129200,1
125,1,0,1,1678273200,0
126,5,0,1,1678388400,8
127,14,0,1,1679277600,18
128,1,0,1,1679911200,0
129,10,0,1,1680199200,18
130,4,0,0,1680746400,4
131,17,0,1,1681192800,24
132,2,0,0,1681826400,1
133,3,0,1,1682056800,5
134,7,0,1,1683036000,10
135,25,0,1,1683295200,41
136,1,0,0,1686045600,0
137,1,0,0,1686578400,0
138,3,0,0,1686722400,7
139,3,0,0,1687168800,5
140,5,0,0,1688436000,6
141,25,0,1,1688738400,34
142,26,0,1,1689703200,39
143,2,0,0,1690797600,1
144,4,0,0,1691157600,4
145,27,0,1,1692712800,29
146,14,0,1,1693476000,23
147,8,0,0,1694124000,10
148,18,0,1,1694628000,36
149,1,0,0,1695664800,0
150,1,0,1,1696615200,0
151,5,0,1,1697018400,14
152,1,0,1,1697536800,0
153,15,0,1,1697666400,25
154,6,0,0,1698660000,6
155,6,1,0,1699340400,14
156,25,0,1,1700132400,41
157,10,0,1,1701226800,13
158,13,0,0,1701687600,24
159,24,0,1,1702580400,33
160,7,0,1,1703631600,20
161,7,0,1,1704337200,10
162,14,0,1,1704754800,29
163,23,0,1,1706497200,51
164,1,0,0,1707807600,0
165,41,0,1,1708009200,63
166,7,0,1,1709636400,9
167,8,0,0,1709895600,10
168,5,0,0,1710324000,11
169,42,0,1,1710986400,62
170,2,0,0,1712656800,4
171,38,0,1,1712844000,74
172,3,0,1,1714989600,4
173,2,0,1,1715248800,1
174,7,0,1,1715594400,10
175,7,0,1,1715968800,16
176,15,0,1,1716487200,20
177,2,0,0,1717063200,6
178,3,0,0,1717423200,3
179,7,0,1,1717596000,9
180,1,0,0,1718388000,0
181,4,0,1,1718863200,4
182,1,0,0,1719252000,0
183,1,0,0,1719871200,0
184,2,0,1,1719986400,3
185,4,0,0,1720202400,4
186,11,0,1,1720591200,23
187,13,0,1,1721196000,22
188,1,0,0,1721815200,0
189,18,0,1,1721988000,22
190,10,0,1,1722578400,12
191,1,0,1,1723111200,0
192,9,0,1,1723428000,12
193,30,0,1,1723716000,66
194,8,0,1,1725429600,13
195,27,0,1,1725904800,50
196,3,0,1,1729000800,3
197,10,0,1,1729260000,19
198,20,0,1,1729836000,45
199,4,0,0,1730977200,6
200,5,0,1,1731898800,13
201,1,0,1,1732186800,0
202,38,0,1,1732302000,68
203,13,0,0,1734044400,20
204,4,0,0,1735182000,11
205,15,0,1,1735657200,25
206,15,0,1,1736406000,24
207,5,0,1,1737039600,10
208,7,0,1,1737486000,12
209,2,0,1,1737975600,1
210,8,0,1,1738594800,22
