candidate_id,timestamp,source,source_family,kept,prune_reason,overextended_entry,src_redundant,bear_flag,GT_match,NAO_match,gt_id,fragile_BOM,notes
C8131,2025-04-04 06:00,fractal_3_3,fractal,pruned,overextended_entry,1,0,0,no,no,,no,classic_BOS/B
C8141,2025-04-07 22:00,topo_duplo,structural,pruned,src_redundant,0,1,0,no,no,,no,classic_BOS/A
C8143,2025-04-08 06:00,topo_duplo,structural,pruned,src_redundant,0,1,0,no,no,,no,classic_BOS/A
C8144,2025-04-08 10:00,topo_duplo,structural,pruned,src_redundant,0,1,0,no,no,,no,classic_BOS/A
C8145,2025-04-08 14:00,topo_duplo,structural,pruned,src_redundant,0,1,0,no,no,,no,classic_BOS/B
C8146,2025-04-08 18:00,topo_duplo,structural,pruned,src_redundant,0,1,0,no,no,,no,classic_BOS/B
C8147,2025-04-08 22:00,topo_duplo,structural,pruned,src_redundant,0,1,0,no,no,,no,classic_BOS/A
C8148,2025-04-09 02:00,topo_duplo,structural,pruned,src_redundant,0,1,0,no,no,,no,classic_BOS/A
C8150,2025-04-09 10:00,fractal_3_3,fractal,pruned,overextended_entry,1,0,0,no,no,,no,classic_BOS/A
C8152,2025-04-09 18:00,fractal_3_3,fractal,pruned,overextended_entry,1,0,0,no,no,,no,classic_BOS/A
C8153,2025-04-09 22:00,fractal_3_3,fractal,pruned,overextended_entry,1,0,0,no,no,,no,classic_BOS/A
C8154,2025-04-10 02:00,topo_duplo,structural,pruned,overextended_entry|src_redundant|bear_flag,1,1,1,no,no,,no,classic_BOS/A
C8155,2025-04-10 06:00,topo_duplo,structural,pruned,src_redundant|bear_flag,0,1,1,no,no,,no,classic_BOS/B
C8156,2025-04-10 10:00,swing_high_simples,structural,pruned,bear_flag,0,0,1,no,no,,no,classic_BOS/A
C8159,2025-04-10 22:00,fractal_3_3,fractal,pruned,overextended_entry,1,0,0,no,no,,no,classic_BOS/A
C8160,2025-04-11 02:00,fractal_3_3,fractal,pruned,bear_flag,0,0,1,no,no,,no,classic_BOS/B
C8161,2025-04-11 06:00,fractal_3_3,fractal,pruned,overextended_entry|bear_flag,1,0,1,no,no,,no,classic_BOS/A
C8169,2025-04-14 14:00,swing_high_simples,structural,pruned,overextended_entry,1,0,0,no,no,,no,classic_BOS/A
C8177,2025-04-15 22:00,topo_duplo,structural,pruned,overextended_entry|src_redundant,1,1,0,no,no,,no,classic_BOS/A
C8179,2025-04-16 06:00,swing_high_simples,structural,pruned,overextended_entry,1,0,0,no,no,,no,classic_BOS/A
C8181,2025-04-16 14:00,swing_high_simples,structural,pruned,overextended_entry,1,0,0,no,no,,no,classic_BOS/A
C8182,2025-04-16 18:00,swing_high_simples,structural,pruned,overextended_entry,1,0,0,no,no,,no,classic_BOS/A
C8187,2025-04-17 14:00,swing_high_simples,structural,pruned,overextended_entry,1,0,0,no,no,,no,classic_BOS/A
C8188,2025-04-17 18:00,swing_high_simples,structural,pruned,overextended_entry,1,0,0,no,no,,no,classic_BOS/A
C8189,2025-04-20 22:00,swing_high_simples,structural,pruned,overextended_entry,1,0,0,no,no,,no,classic_BOS/A
C8191,2025-04-21 06:00,swing_high_simples,structural,pruned,bear_flag,0,0,1,no,no,,no,classic_BOS/A
C8192,2025-04-21 10:00,swing_high_simples,structural,pruned,overextended_entry|bear_flag,1,0,1,no,no,,no,classic_BOS/A
C8193,2025-04-21 14:00,swing_high_simples,structural,pruned,overextended_entry|bear_flag,1,0,1,no,no,,no,classic_BOS/A
C8194,2025-04-21 18:00,swing_high_simples,structural,pruned,overextended_entry|bear_flag,1,0,1,no,no,,no,classic_BOS/A
C8195,2025-04-21 22:00,swing_high_simples,structural,pruned,overextended_entry|bear_flag,1,0,1,no,no,,no,classic_BOS/A
C8196,2025-04-22 02:00,swing_high_simples,structural,pruned,overextended_entry|bear_flag,1,0,1,no,no,,no,classic_BOS/A
C8197,2025-04-22 06:00,swing_high_simples,structural,pruned,bear_flag,0,0,1,no,no,,no,classic_BOS/B
C8199,2025-04-22 14:00,fractal_3_3,fractal,pruned,overextended_entry,1,0,0,no,no,,no,classic_BOS/B
