b,dt,conv,regime,rm_conv,rm_bear,rm_blr,mfe,realR,winner,runner,snap,sweep,snap_sweep,dist_dem,dem_origin,near_dem,low_rng,macro_floor,floor_sweep
2905,2021-11-17,3,BULL,0,0,0,0.38,-1.1,0,0,1,0,0,2.43,1,0,0,1,0
2922,2021-11-22,3,TRANSITION,0,0,0,0.0,-1.1,0,0,0,1,0,1.87,1,0,0,1,1
2944,2021-11-26,2,BULL,0,0,0,1.46,-1.1,0,0,1,0,0,3.45,0,0,0,0,0
2991,2021-12-08,1,BEAR,1,1,0,0.45,-1.1,0,0,1,0,0,2.53,1,0,0,1,0
3011,2021-12-13,2,TRANSITION,0,0,0,0.12,-1.1,0,0,1,0,0,2.72,0,0,0,0,0
3029,2021-12-16,2,TRANSITION,0,0,0,2.88,0.59,1,0,1,0,0,4.63,0,0,0,0,0
3070,2021-12-28,2,BULL,0,0,0,0.29,-1.1,0,0,1,0,0,2.68,1,0,0,1,0
3085,2021-12-30,3,BULL,0,0,0,1.75,-1.1,0,0,1,0,0,3.84,0,0,0,0,0
3102,2022-01-04,3,TRANSITION,0,0,0,1.23,-1.1,0,0,1,0,0,2.13,1,0,0,1,0
3118,2022-01-07,2,BEAR,0,1,0,0.0,0.99,1,0,1,0,0,4.58,0,0,0,0,0
3126,2022-01-10,3,TRANSITION,0,0,0,5.05,2.02,1,0,1,0,0,2.27,1,0,0,1,0
3147,2022-01-14,3,BULL,0,0,0,0.27,-1.1,0,0,1,0,0,2.19,1,0,0,1,0
3162,2022-01-18,3,TRANSITION,0,0,0,4.84,-1.1,0,0,0,1,0,3.76,0,0,0,0,0
3178,2022-01-21,2,BULL,0,0,0,3.16,-1.1,0,0,0,0,0,3.15,0,0,0,0,0
3190,2022-01-25,2,TRANSITION,0,0,0,1.81,-1.1,0,0,0,0,0,1.04,0,0,0,0,0
3219,2022-02-01,3,TRANSITION,0,0,0,0.92,2.66,1,0,1,0,0,3.15,0,0,0,0,0
3238,2022-02-04,2,BULL,0,0,0,0.0,2.41,1,0,1,0,0,3.81,0,0,0,0,0
3252,2022-02-08,3,BULL,0,0,0,23.67,1.84,1,1,1,0,0,5.27,0,0,0,0,0
3326,2022-02-24,4,BULL,0,0,0,0.29,-1.1,0,0,1,1,1,1.28,1,0,0,1,1
3443,2022-03-24,2,BULL,0,0,0,0.82,-1.1,0,0,1,0,0,4.17,0,0,0,0,0
3474,2022-03-31,3,BULL,0,0,0,0.02,0.38,1,0,1,0,0,4.98,0,0,0,0,0
3491,2022-04-05,3,BULL,0,0,0,0.0,0.9,1,0,1,0,0,2.76,0,0,0,0,0
3509,2022-04-08,3,BULL,0,0,0,4.61,0.9,1,0,1,0,0,2.71,1,0,0,1,0
3622,2022-05-06,1,BEAR,1,1,0,0.51,-1.1,0,0,1,0,0,1.68,1,0,0,1,0
3678,2022-05-19,2,TRANSITION,0,0,1,2.19,0.66,1,0,1,0,0,5.51,0,0,0,0,0
3773,2022-06-10,0,BEAR,1,1,0,4.85,-1.1,0,0,0,0,0,3.21,1,0,0,1,0
3799,2022-06-16,2,TRANSITION,0,0,0,0.0,-1.1,0,0,1,0,0,3.63,0,0,0,0,0
3825,2022-06-23,0,BEAR,1,1,1,0.96,-1.1,0,0,0,0,0,1.46,1,0,0,1,0
3836,2022-06-26,1,BEAR,1,1,1,0.47,-1.1,0,0,1,0,0,3.31,0,0,0,0,0
3929,2022-07-18,0,BEAR,1,1,0,0.05,-1.1,0,0,0,0,0,1.96,1,0,0,1,0
3949,2022-07-21,2,BEAR,0,1,0,6.62,3.54,1,0,1,1,1,,0,0,0,0,0
4095,2022-08-25,2,TRANSITION,0,0,0,0.79,-1.1,0,0,1,0,0,2.06,1,0,0,1,0
4243,2022-09-28,1,BEAR,1,1,0,0.0,0.18,1,0,1,0,0,3.75,0,0,0,0,0
4309,2022-10-13,1,BEAR,1,1,0,0.3,-1.1,0,0,0,1,0,1.96,1,0,0,1,1
4346,2022-10-23,0,BEAR,1,1,0,1.32,0.4,1,0,0,0,0,3.4,0,0,0,0,0
4372,2022-10-28,0,BEAR,1,1,0,0.0,-1.1,0,0,0,0,0,1.27,0,0,0,0,0
4384,2022-11-01,3,TRANSITION,0,0,0,0.69,2.75,1,0,1,1,1,4.09,0,0,0,0,0
4401,2022-11-04,2,TRANSITION,0,0,0,10.31,2.76,1,1,1,0,0,2.99,0,0,0,0,0
4429,2022-11-10,3,BULL,0,0,0,1.64,-0.11,0,0,1,0,0,4.23,0,0,0,0,0
4483,2022-11-23,3,BULL,0,0,0,6.01,1.82,1,0,1,1,1,5.67,0,0,0,0,0
4513,2022-11-30,2,BULL,0,0,0,4.54,0.49,1,0,1,0,0,3.87,0,0,0,0,0
4530,2022-12-05,2,TRANSITION,0,0,0,25.14,1.28,1,1,0,0,0,2.31,1,0,0,1,0
4574,2022-12-15,3,TRANSITION,0,0,0,0.0,-1.1,0,0,1,0,0,1.7,1,0,0,1,0
4609,2022-12-22,3,TRANSITION,0,0,0,16.21,3.9,1,1,1,0,0,2.33,1,0,0,1,0
4644,2023-01-03,3,BULL,0,0,0,7.45,2.17,1,0,1,0,0,2.67,1,0,0,1,0
4677,2023-01-11,3,BULL,0,0,0,0.0,2.05,1,0,1,0,0,2.22,1,0,0,1,0
4763,2023-01-31,4,BULL,0,0,0,1.86,-1.1,0,0,1,1,1,3.02,0,0,0,0,0
4899,2023-03-03,3,TRANSITION,0,0,0,1.14,-1.1,0,0,1,0,0,2.55,0,0,0,0,0
4908,2023-03-06,2,TRANSITION,0,0,0,0.0,-1.1,0,0,0,0,0,2.69,0,0,0,0,0
4918,2023-03-08,4,TRANSITION,0,0,0,19.79,3.9,1,1,1,1,1,2.2,1,0,0,1,1
4926,2023-03-09,3,TRANSITION,0,0,0,18.03,3.9,1,1,1,0,0,2.54,1,0,0,1,0
4964,2023-03-20,3,BULL,0,0,0,0.98,-0.43,0,0,1,0,0,5.47,0,0,0,0,0
4996,2023-03-27,2,TRANSITION,0,0,0,15.38,2.51,1,1,0,0,0,1.17,0,0,0,0,0
5016,2023-03-30,2,BULL,0,0,0,0.53,-1.1,0,0,1,0,0,2.66,1,0,0,1,0
5042,2023-04-06,3,TRANSITION,0,0,0,0.55,-0.41,0,0,1,0,0,,0,0,0,0,0
5055,2023-04-11,3,BULL,0,0,0,2.78,-1.1,0,0,1,0,0,2.15,1,0,0,1,0
5087,2023-04-18,3,BULL,0,0,0,0.28,-1.1,0,0,1,0,0,0.96,1,1,0,1,0
5103,2023-04-21,2,TRANSITION,0,0,0,0.0,2.34,1,0,0,0,0,1.52,0,0,0,0,0
5147,2023-05-02,3,BULL,0,0,0,4.02,-0.8,0,0,1,0,0,3.21,0,0,0,0,0
5165,2023-05-05,4,TRANSITION,0,0,0,1.85,-1.1,0,0,1,1,1,2.24,0,0,0,0,0
5296,2023-06-06,2,TRANSITION,0,0,0,1.15,-1.1,0,0,0,0,0,2.19,1,0,0,1,0
5321,2023-06-12,1,TRANSITION,1,0,0,1.98,-1.1,0,0,0,0,0,1.87,1,0,0,1,0
5331,2023-06-14,2,TRANSITION,0,0,0,0.74,-1.1,0,0,1,0,0,1.38,1,0,0,1,0
5350,2023-06-19,1,BEAR,1,1,0,0.29,-1.1,0,0,0,0,0,3.3,0,0,0,0,0
5414,2023-07-04,2,TRANSITION,0,0,1,1.21,-1.1,0,0,1,0,0,2.17,1,0,0,1,0
5435,2023-07-07,2,TRANSITION,0,0,0,0.09,1.61,1,0,1,0,0,2.91,1,0,0,1,0
5478,2023-07-18,3,TRANSITION,0,0,0,0.77,-1.1,0,0,1,0,0,4.41,0,0,0,0,0
5530,2023-07-31,3,TRANSITION,0,0,0,0.06,-1.1,0,0,1,0,0,3.06,1,0,0,1,0
5555,2023-08-04,3,BEAR,0,1,0,0.43,-1.1,0,0,1,1,1,4.02,0,0,0,0,0
5627,2023-08-22,1,BEAR,1,1,0,5.96,1.96,1,0,1,0,0,12.22,0,0,0,0,0
