bar_idx,datetime,f1_swept_low_reclaim,f1_sweep_depth_atr,f1_bars_since_sweep,f1_swept_high_reject,f2_flush_state,f2_drop_atr,f2_velocity_atr_bar,f2_range_expansion,f2_consec_down,f2_flush_bars,f3_acceptance_state,f3_closes_above_res,f3_rejections_at_res,f3_breaks_support,f4_structure_state,f4_BOS,f4_CHoCH,f4_n_pivots,f6_svp_state,f6_above_value,f6_below_value,f6_dist_poc_atr,f5_range_pos_4h,f5_range_pct_4h,f5_range_pos_1d,f5_range_pct_1d,f7_regime_traj,f7_combined_slope,f7_cascade_now,f7_distribution_onset,f7_macro_broken_recent
3836,2022-06-26,0,0.0,-1,0,FLUSH_V,1.66,1.66,1.32,0,1,ACCEPTED_ABOVE_RES,8,2,0,STRUCTURE_DOWN,0,0,784,IN_VALUE,4,4,0.26,EQUILIBRIUM,0.58,EQUILIBRIUM,0.4,REGIME_DETERIORATING,-0.333,-3.0,0,0
3929,2022-07-18,0,0.0,-1,1,MIXED_DECLINE,1.72,0.57,0.92,1,3,ACCEPTED_ABOVE_RES,8,2,0,STRUCTURE_RANGE,1,0,806,IN_VALUE,5,5,-0.3,EQUILIBRIUM,0.45,DISCOUNT,0.14,REGIME_STABLE_BEAR,0.0,-3.0,0,0
3949,2022-07-21,1,2.7,2,1,MIXED_DECLINE,3.71,0.62,1.72,0,6,REJECTED_AT_RES,1,4,5,STRUCTURE_RANGE,1,0,810,ACCEPTING_ABOVE_VALUE,6,9,2.83,PREMIUM,0.95,DISCOUNT,0.23,REGIME_STABLE_BEAR,0.167,-2.0,0,0
4095,2022-08-25,0,0.0,-1,1,MIXED_DECLINE,1.64,0.33,0.68,0,5,ACCEPTED_ABOVE_RES,2,1,7,STRUCTURE_RANGE,1,0,840,IN_VALUE,8,2,0.35,PREMIUM,0.95,EQUILIBRIUM,0.37,REGIME_IMPROVING,0.333,-1.0,0,0
4243,2022-09-28,0,0.0,-1,0,MIXED_DECLINE,2.3,0.46,0.61,1,5,ACCEPTED_ABOVE_RES,5,3,0,STRUCTURE_DOWN,0,0,869,ACCEPTING_ABOVE_VALUE,6,8,3.0,PREMIUM,0.94,EQUILIBRIUM,0.37,REGIME_STABLE_BEAR,0.0,-2.0,0,0
4309,2022-10-13,1,1.51,1,1,MIXED_DECLINE,2.86,0.71,1.55,1,4,REJECTED_AT_RES,0,3,1,STRUCTURE_RANGE,0,0,883,IN_VALUE,5,5,-0.31,EQUILIBRIUM,0.57,EQUILIBRIUM,0.45,REGIME_NEUTRAL,0.0,-1.0,0,0
4346,2022-10-23,0,0.0,-1,0,MIXED_DECLINE,2.64,0.66,0.8,1,4,ACCEPTED_ABOVE_RES,5,1,0,STRUCTURE_DOWN,0,0,892,BELOW_VALUE_REJECTED,5,7,-0.54,PREMIUM,0.68,EQUILIBRIUM,0.34,REGIME_STABLE_BEAR,0.0,-2.0,0,0
4372,2022-10-28,0,0.0,-1,0,GRIND_DOWN,3.16,0.26,0.87,2,12,BROKE_SUPPORT,0,0,4,STRUCTURE_UP,0,1,898,BELOW_VALUE_REJECTED,6,5,-1.22,DISCOUNT,0.31,DISCOUNT,0.29,REGIME_STABLE_BEAR,0.0,-3.0,0,0
4384,2022-11-01,1,0.29,6,0,GRIND_DOWN,4.46,0.41,1.0,0,11,BROKE_SUPPORT,0,1,4,STRUCTURE_DOWN,0,0,900,ACCEPTING_ABOVE_VALUE,3,9,1.02,EQUILIBRIUM,0.51,DISCOUNT,0.3,REGIME_STABLE_BEAR,-0.167,-3.0,0,0
4401,2022-11-04,0,0.0,-1,0,MIXED_DECLINE,5.2,1.3,1.07,0,4,HOLDING_SUPPORT,0,0,0,STRUCTURE_RANGE,0,0,904,ACCEPTING_ABOVE_VALUE,5,3,1.31,EQUILIBRIUM,0.58,DISCOUNT,0.31,REGIME_DETERIORATING,-0.333,-3.0,0,0
