seq,datetime,realR,cumR
64,2022-03-31 14:00,0.38,12.95
65,2022-11-04 02:00,2.76,15.71
66,2022-11-23 19:00,1.82,17.53
67,2022-11-30 23:00,0.49,18.02
68,2022-12-05 19:00,1.28,19.3
69,2022-12-15 03:00,-1.1,18.2
70,2022-12-22 23:00,3.9,22.1
71,2023-01-03 19:00,2.17,24.27
72,2023-01-11 07:00,2.05,26.32
73,2023-01-31 15:00,-1.1,25.22
74,2023-03-06 19:00,-1.1,24.12
75,2023-03-08 11:00,3.9,28.02
76,2023-03-20 02:00,-0.43,27.59
77,2023-03-27 10:00,2.51,30.1
78,2023-03-30 18:00,-1.1,29.0
79,2023-04-06 02:00,-0.41,28.59
80,2023-04-11 06:00,-1.1,27.49
81,2023-04-18 14:00,-1.1,26.39
82,2023-04-21 06:00,2.34,28.73
83,2023-05-02 14:00,-0.8,27.93
84,2023-05-05 14:00,-1.1,26.83
85,2023-06-12 14:00,-1.1,25.73
86,2023-06-14 06:00,-1.1,24.63
87,2023-06-19 10:00,-1.1,23.53
88,2023-07-31 10:00,-1.1,22.43
89,2023-09-07 22:00,-1.1,21.33
90,2023-10-11 10:00,3.9,25.23
91,2023-10-17 10:00,2.7,27.93
92,2023-10-18 22:00,0.93,28.86
93,2023-10-30 10:00,-1.1,27.76
94,2023-11-07 07:00,-1.1,26.66
95,2023-11-16 11:00,2.0,28.66
96,2023-11-29 03:00,0.9,29.56
97,2023-12-04 11:00,-1.1,28.46
98,2023-12-14 19:00,0.31,28.77
99,2023-12-26 23:00,-1.1,27.67
100,2024-01-04 03:00,-1.1,26.57
101,2024-01-08 23:00,-1.1,25.47
102,2024-02-13 07:00,-1.1,24.37
103,2024-03-13 10:00,-1.1,23.27
104,2024-03-21 02:00,1.17,24.44
105,2024-04-09 10:00,-1.1,23.34
106,2024-04-11 14:00,-1.1,22.24
107,2024-05-06 10:00,1.78,24.02
108,2024-05-13 10:00,0.9,24.92
109,2024-05-23 18:00,1.91,26.83
110,2024-05-30 10:00,-1.1,25.73
111,2024-06-03 14:00,-1.1,24.63
112,2024-06-05 14:00,-1.1,23.53
113,2024-06-24 18:00,-1.1,22.43
114,2024-07-03 06:00,3.16,25.59
115,2024-07-05 18:00,-1.1,24.49
116,2024-07-10 06:00,1.78,26.27
117,2024-07-17 06:00,-1.1,25.17
118,2024-07-24 10:00,-1.1,24.07
119,2024-07-26 10:00,0.9,24.97
120,2024-08-02 06:00,-1.1,23.87
121,2024-08-08 10:00,1.91,25.78
122,2024-08-12 02:00,0.9,26.68
123,2024-08-15 10:00,3.9,30.58
124,2024-09-04 06:00,3.9,34.48
125,2024-09-09 18:00,3.61,38.09
126,2024-10-15 14:00,1.58,39.67
127,2024-10-18 14:00,0.37,40.04
128,2024-10-25 06:00,0.9,40.94
129,2024-11-07 11:00,-1.1,39.84
130,2024-11-18 03:00,1.5,41.34
131,2024-11-21 11:00,-1.1,40.24
132,2024-11-22 19:00,-1.1,39.14
133,2024-12-12 23:00,-1.1,38.04
134,2025-01-09 07:00,1.44,39.48
135,2025-01-16 15:00,1.31,40.79
136,2025-01-21 19:00,1.62,42.41
137,2025-01-27 11:00,-1.1,41.31
138,2025-02-03 15:00,0.89,42.2
139,2025-02-11 03:00,0.17,42.37
140,2025-02-14 19:00,3.9,46.27
141,2025-02-18 07:00,-1.1,45.17
142,2025-02-19 23:00,-1.1,44.07
143,2025-03-04 07:00,1.16,45.23
144,2025-03-24 18:00,3.9,49.13
145,2025-03-27 06:00,0.9,50.03
146,2025-03-31 22:00,-1.1,48.93
147,2025-04-04 14:00,-1.1,47.83
148,2025-04-09 06:00,2.48,50.31
149,2025-04-10 14:00,0.57,50.88
150,2025-04-22 18:00,-1.1,49.78
151,2025-04-25 10:00,0.9,50.68
152,2025-04-30 18:00,-1.1,49.58
153,2025-05-09 14:00,-1.1,48.48
154,2025-05-28 22:00,1.78,50.26
155,2025-06-09 14:00,0.66,50.92
156,2025-06-16 06:00,-1.1,49.82
157,2025-06-23 02:00,-1.1,48.72
158,2025-06-26 06:00,-1.1,47.62
159,2025-07-01 06:00,-0.09,47.53
160,2025-07-22 18:00,-1.1,46.43
161,2025-07-30 06:00,-1.1,45.33
162,2025-08-01 10:00,-0.19,45.14
163,2025-08-07 10:00,-1.1,44.04
164,2025-09-02 02:00,1.95,45.99
165,2025-09-15 18:00,2.05,48.04
166,2025-09-23 14:00,1.24,49.28
167,2025-09-28 22:00,3.24,52.52
168,2025-10-01 10:00,2.83,55.35
169,2025-10-03 10:00,3.9,59.25
170,2025-10-08 10:00,0.9,60.15
171,2025-10-13 06:00,0.9,61.05
172,2025-10-17 14:00,-1.1,59.95
173,2025-10-21 14:00,-1.1,58.85
174,2025-10-28 10:00,1.4,60.25
175,2025-11-13 19:00,-1.1,59.15
176,2025-11-19 19:00,1.64,60.79
177,2025-12-11 11:00,3.9,64.69
178,2025-12-16 03:00,3.9,68.59
179,2025-12-22 19:00,-1.1,67.49
180,2025-12-26 03:00,-1.1,66.39
181,2026-01-05 07:00,1.64,68.03
182,2026-01-06 23:00,1.97,70.0
183,2026-01-08 03:00,2.45,72.45
184,2026-01-09 19:00,3.16,75.61
185,2026-01-14 07:00,-1.1,74.51
186,2026-01-18 23:00,3.9,78.41
187,2026-01-22 19:00,0.9,79.31
188,2026-01-28 11:00,-1.1,78.21
189,2026-02-06 11:00,0.09,78.3
190,2026-02-24 11:00,0.16,78.46
191,2026-02-25 19:00,0.9,79.36
192,2026-02-27 15:00,-1.1,78.26
193,2026-03-02 19:00,-1.1,77.16
194,2026-03-03 23:00,-0.59,76.57
195,2026-03-13 10:00,-1.1,75.47
