bar_idx,datetime,mfe_R,policy,leg,bottleneck
4095,2022-08-25,0.79,SKIP,MACRO_TRANSITION,RESIDUAL
4243,2022-09-28,0.0,SKIP,MACRO_BEAR_LEG,RESIDUAL
4309,2022-10-13,0.3,SKIP,MACRO_TRANSITION,RESIDUAL
4346,2022-10-23,1.32,SKIP,MACRO_TRANSITION,RESIDUAL
4372,2022-10-28,0.0,REVIEW,MACRO_BULL_LEG,RESIDUAL
4384,2022-11-01,0.69,SKIP,MACRO_RANGE,RESIDUAL
4401,2022-11-04,10.31,SKIP,MACRO_RANGE,BOTTOM_TURN
4429,2022-11-10,1.64,TAKE,MACRO_CORRECTIVE_PULLBACK,BEAR_PULLBACK_LONG
4483,2022-11-23,6.01,TAKE,MACRO_TRANSITION,EXIT_ONLY
4513,2022-11-30,4.54,TAKE,MACRO_BULL_LEG,EXIT_ONLY
4530,2022-12-05,25.14,TAKE,MACRO_BULL_LEG,EXIT_ONLY
4574,2022-12-15,0.0,TAKE,MACRO_BULL_LEG,SUPPLY_CONTEXT
4609,2022-12-22,16.21,TAKE,MACRO_BULL_LEG,EXIT_ONLY
4644,2023-01-03,7.45,TAKE,MACRO_BULL_LEG,EXIT_ONLY
4677,2023-01-11,0.0,TAKE,MACRO_BULL_LEG,READING_ONLY
4763,2023-01-31,1.86,TAKE,MACRO_BULL_LEG,SUPPLY_CONTEXT
4899,2023-03-03,1.14,TAKE,MACRO_BEAR_LEG,REGIME_CONTEXT
4908,2023-03-06,0.0,TAKE,MACRO_CORRECTIVE_PULLBACK,READING_ONLY
4918,2023-03-08,19.79,SKIP,MACRO_BEAR_LEG,BOTTOM_TURN
4926,2023-03-09,18.03,SKIP,MACRO_BEAR_LEG,READING_ONLY
4964,2023-03-20,0.98,REVIEW_RISK,MACRO_RANGE,RESIDUAL
4996,2023-03-27,15.38,SKIP,MACRO_RANGE,READING_ONLY
5016,2023-03-30,0.53,TAKE,MACRO_BULL_LEG,SUPPLY_CONTEXT
5042,2023-04-06,0.55,REVIEW_RISK,MACRO_BULL_LEG,RESIDUAL
5055,2023-04-11,2.78,TAKE,MACRO_BULL_LEG,EXIT_ONLY
5087,2023-04-18,0.28,REVIEW_RISK,MACRO_BULL_LEG,RESIDUAL
5103,2023-04-21,0.0,TAKE,MACRO_BULL_LEG,SUPPLY_CONTEXT
5147,2023-05-02,4.02,TAKE,MACRO_RANGE,EXIT_ONLY
5165,2023-05-05,1.85,TAKE,MACRO_RANGE,READING_ONLY
5296,2023-06-06,1.15,SKIP,MACRO_BEAR_LEG,RESIDUAL
5321,2023-06-12,1.98,TAKE,MACRO_RANGE,SUPPLY_CONTEXT
5331,2023-06-14,0.74,SKIP,MACRO_RANGE,RESIDUAL
5350,2023-06-19,0.29,TAKE,MACRO_RANGE,READING_ONLY
5414,2023-07-04,1.21,SKIP,MACRO_BEAR_LEG,RESIDUAL
5435,2023-07-07,0.09,SKIP,MACRO_BEAR_LEG,RESIDUAL
5478,2023-07-18,0.77,TAKE,MACRO_RANGE,BEAR_PULLBACK_LONG
5530,2023-07-31,0.06,SKIP,MACRO_BULL_LEG,RESIDUAL
5555,2023-08-04,0.43,SKIP,MACRO_RANGE,RESIDUAL
5627,2023-08-22,5.96,SKIP,MACRO_RANGE,READING_ONLY
5668,2023-08-31,0.26,REVIEW_RISK,MACRO_CORRECTIVE_PULLBACK,RESIDUAL
5701,2023-09-07,0.42,SKIP,MACRO_BEAR_LEG,RESIDUAL
5724,2023-09-13,1.53,SKIP,MACRO_RANGE,RESIDUAL
5772,2023-09-25,0.74,SKIP,MACRO_BEAR_LEG,RESIDUAL
5826,2023-10-06,16.73,SKIP,MACRO_TRANSITION,READING_ONLY
5842,2023-10-11,13.52,TAKE,MACRO_TRANSITION,EXIT_ONLY
5866,2023-10-17,5.11,TAKE,MACRO_TRANSITION,EXIT_ONLY
5875,2023-10-18,4.33,TAKE,MACRO_TRANSITION,EXIT_ONLY
5920,2023-10-30,0.38,TAKE,MACRO_TRANSITION,SUPPLY_CONTEXT
5955,2023-11-07,0.0,SKIP,MACRO_TRANSITION,RESIDUAL
5998,2023-11-16,1.04,TAKE,MACRO_TRANSITION,READING_ONLY
6049,2023-11-29,0.39,TAKE,MACRO_RANGE,READING_ONLY
6069,2023-12-04,0.0,REVIEW_RISK,MACRO_RANGE,RESIDUAL
6119,2023-12-14,0.62,REVIEW_RISK,MACRO_BULL_LEG,RESIDUAL
6162,2023-12-26,1.98,TAKE,MACRO_RANGE,READING_ONLY
6193,2024-01-04,0.24,TAKE,MACRO_BULL_LEG,READING_ONLY
6210,2024-01-08,0.52,REVIEW_RISK,MACRO_BULL_LEG,RESIDUAL
6295,2024-01-29,3.66,TAKE,MACRO_BEAR_LEG,EXIT_ONLY
6362,2024-02-13,0.0,TAKE,MACRO_BULL_LEG,SUPPLY_CONTEXT
6376,2024-02-15,14.79,SKIP,MACRO_BULL_LEG,BOTTOM_TURN
6453,2024-03-05,8.02,REVIEW_RISK,MACRO_CORRECTIVE_PULLBACK,READING_ONLY
6471,2024-03-08,1.28,TAKE,MACRO_CORRECTIVE_PULLBACK,READING_ONLY
6489,2024-03-13,1.0,TAKE,MACRO_CORRECTIVE_PULLBACK,SUPPLY_CONTEXT
6523,2024-03-21,0.43,REVIEW_RISK,MACRO_TRANSITION,RESIDUAL
6597,2024-04-09,0.32,TAKE,MACRO_BULL_LEG,READING_ONLY
6610,2024-04-11,2.93,TAKE,MACRO_BULL_LEG,EXIT_ONLY
6711,2024-05-06,0.12,TAKE,MACRO_RANGE,SUPPLY_CONTEXT
6729,2024-05-09,7.44,TAKE,MACRO_CORRECTIVE_PULLBACK,EXIT_ONLY
6741,2024-05-13,0.0,TAKE,MACRO_CORRECTIVE_PULLBACK,SUPPLY_CONTEXT
6767,2024-05-17,1.87,TAKE,MACRO_CORRECTIVE_PULLBACK,SUPPLY_CONTEXT
6791,2024-05-23,7.63,SKIP,MACRO_CORRECTIVE_PULLBACK,READING_ONLY
6819,2024-05-30,0.61,TAKE,MACRO_BULL_LEG,SUPPLY_CONTEXT
6832,2024-06-03,0.23,TAKE,MACRO_BULL_LEG,READING_ONLY
6844,2024-06-05,1.62,TAKE,MACRO_BULL_LEG,READING_ONLY
6887,2024-06-14,0.0,TAKE,MACRO_BEAR_LEG,REGIME_CONTEXT
6908,2024-06-20,2.88,TAKE,MACRO_CORRECTIVE_PULLBACK,EXIT_ONLY
6923,2024-06-24,0.15,TAKE,MACRO_CORRECTIVE_PULLBACK,SUPPLY_CONTEXT
6954,2024-07-01,0.02,TAKE,MACRO_CORRECTIVE_PULLBACK,READING_ONLY
6962,2024-07-03,9.19,TAKE,MACRO_RANGE,EXIT_ONLY
6977,2024-07-05,0.01,TAKE,MACRO_RANGE,READING_ONLY
6992,2024-07-10,7.24,TAKE,MACRO_RANGE,EXIT_ONLY
7022,2024-07-17,0.41,REVIEW_RISK,MACRO_RANGE,RESIDUAL
7053,2024-07-24,0.6,TAKE,MACRO_BULL_LEG,READING_ONLY
7065,2024-07-26,6.42,TAKE,MACRO_BULL_LEG,EXIT_ONLY
7094,2024-08-02,0.55,REVIEW_RISK,MACRO_BULL_LEG,RESIDUAL
7119,2024-08-08,5.44,TAKE,MACRO_RANGE,EXIT_ONLY
7129,2024-08-12,6.15,TAKE,MACRO_RANGE,EXIT_ONLY
7149,2024-08-15,7.73,REVIEW_RISK,MACRO_RANGE,READING_ONLY
7232,2024-09-04,18.67,SKIP,MACRO_RANGE,READING_ONLY
7253,2024-09-09,9.88,TAKE,MACRO_RANGE,EXIT_ONLY
7408,2024-10-15,6.69,REVIEW_RISK,MACRO_BULL_LEG,READING_ONLY
7426,2024-10-18,4.61,TAKE,MACRO_TRANSITION,EXIT_ONLY
7454,2024-10-25,12.45,REVIEW_RISK,MACRO_TRANSITION,READING_ONLY
7509,2024-11-07,0.56,TAKE,MACRO_TRANSITION,READING_ONLY
7549,2024-11-18,5.53,SKIP,MACRO_TRANSITION,READING_ONLY
7569,2024-11-21,2.88,TAKE,MACRO_TRANSITION,EXIT_ONLY
7577,2024-11-22,0.0,REVIEW_RISK,MACRO_TRANSITION,RESIDUAL
7662,2024-12-12,0.35,REVIEW_RISK,MACRO_RANGE,RESIDUAL
7710,2024-12-26,0.93,SKIP,MACRO_TRANSITION,RESIDUAL
7731,2024-12-31,9.69,SKIP,MACRO_TRANSITION,READING_ONLY
7765,2025-01-09,12.54,TAKE,MACRO_RANGE,EXIT_ONLY
7797,2025-01-16,0.12,TAKE,MACRO_BULL_LEG,SUPPLY_CONTEXT
7816,2025-01-21,10.94,TAKE,MACRO_BULL_LEG,EXIT_ONLY
7838,2025-01-27,0.0,REVIEW_RISK,MACRO_BULL_LEG,RESIDUAL
7869,2025-02-03,5.47,TAKE,MACRO_BULL_LEG,EXIT_ONLY
7902,2025-02-11,0.02,TAKE,MACRO_BULL_LEG,READING_ONLY
7924,2025-02-14,9.59,SKIP,MACRO_BULL_LEG,READING_ONLY
7933,2025-02-18,2.16,TAKE,MACRO_BULL_LEG,EXIT_ONLY
7943,2025-02-19,0.75,TAKE,MACRO_BULL_LEG,READING_ONLY
7993,2025-03-04,0.58,TAKE,MACRO_BULL_LEG,SUPPLY_CONTEXT
8080,2025-03-24,14.4,REVIEW_RISK,MACRO_BULL_LEG,READING_ONLY
8095,2025-03-27,6.84,TAKE,MACRO_BULL_LEG,EXIT_ONLY
8111,2025-03-31,0.53,REVIEW_RISK,MACRO_BULL_LEG,RESIDUAL
8133,2025-04-04,1.12,SKIP,MACRO_BULL_LEG,RESIDUAL
8149,2025-04-09,9.46,TAKE,MACRO_BULL_LEG,EXIT_ONLY
8157,2025-04-10,6.41,REVIEW_RISK,MACRO_BULL_LEG,READING_ONLY
8200,2025-04-22,0.0,SKIP,MACRO_BULL_LEG,RESIDUAL
8216,2025-04-25,3.61,SKIP,MACRO_BULL_LEG,EXIT_ONLY
8236,2025-04-30,0.0,REVIEW_RISK,MACRO_BULL_LEG,RESIDUAL
8277,2025-05-09,0.04,TAKE,MACRO_TRANSITION,SUPPLY_CONTEXT
8338,2025-05-23,0.0,TAKE,MACRO_CORRECTIVE_PULLBACK,SUPPLY_CONTEXT
8357,2025-05-28,9.15,SKIP,MACRO_CORRECTIVE_PULLBACK,READING_ONLY
8371,2025-06-02,1.62,TAKE,MACRO_CORRECTIVE_PULLBACK,READING_ONLY
8403,2025-06-09,3.63,TAKE,MACRO_RANGE,EXIT_ONLY
8431,2025-06-16,0.0,TAKE,MACRO_BULL_LEG,READING_ONLY
8460,2025-06-23,1.97,REVIEW_RISK,MACRO_BULL_LEG,RESIDUAL
8479,2025-06-26,0.0,TAKE,MACRO_BULL_LEG,SUPPLY_CONTEXT
8497,2025-07-01,0.63,TAKE,MACRO_BULL_LEG,SUPPLY_CONTEXT
8544,2025-07-11,1.83,TAKE,MACRO_CORRECTIVE_PULLBACK,READING_ONLY
8589,2025-07-22,0.32,REVIEW_RISK,MACRO_RANGE,RESIDUAL
