i,entry_ts,sl_atr,exit_type,R,year
1497,2020-12-17 19:00,3.89,SCRATCH_timeout,1.2,2020
1522,2020-12-23 23:00,1.96,WIN_partialBE,0.9,2020
1568,2021-01-06 19:00,3.18,STOP_LOSS,-1.1,2021
1623,2021-01-20 03:00,2.08,STOP_LOSS,-1.1,2021
1661,2021-01-28 11:00,2.35,STOP_LOSS,-1.1,2021
1761,2021-02-22 07:00,3.37,STOP_LOSS,-1.1,2021
1775,2021-02-24 15:00,3.47,STOP_LOSS,-1.1,2021
1836,2021-03-10 19:00,5.46,SCRATCH_timeout,0.05,2021
1873,2021-03-18 22:00,3.15,STOP_LOSS,-1.1,2021
1901,2021-03-25 14:00,3.43,STOP_LOSS,-1.1,2021
1941,2021-04-06 06:00,1.49,WIN_partialBE,0.9,2021
2034,2021-04-27 18:00,1.16,STOP_LOSS,-1.1,2021
2053,2021-05-02 22:00,1.83,WIN_partial_held,3.32,2021
2100,2021-05-12 18:00,4.79,WIN_partial_held,1.78,2021
2110,2021-05-14 10:00,3.03,WIN_partial_held,1.86,2021
2174,2021-05-31 02:00,3.15,STOP_LOSS,-1.1,2021
2188,2021-06-02 14:00,2.06,STOP_LOSS,-1.1,2021
2204,2021-06-07 06:00,2.77,STOP_LOSS,-1.1,2021
2222,2021-06-10 06:00,3.45,STOP_LOSS,-1.1,2021
2320,2021-07-02 14:00,2.38,WIN_partial_held,1.47,2021
2364,2021-07-14 02:00,1.88,STOP_LOSS,-1.1,2021
2428,2021-07-28 18:00,1.93,STOP_LOSS,-1.1,2021
2488,2021-08-11 18:00,3.91,SCRATCH_timeout,1.02,2021
2497,2021-08-13 06:00,2.59,WIN_partial_held,1.99,2021
2544,2021-08-25 02:00,2.89,WIN_partialBE,0.9,2021
2663,2021-09-22 02:00,2.99,STOP_LOSS,-1.1,2021
2705,2021-10-01 02:00,3.56,SCRATCH_timeout,1.19,2021
2737,2021-10-08 10:00,2.58,STOP_LOSS,-1.1,2021
2747,2021-10-12 02:00,1.52,WIN_partialBE,0.9,2021
2859,2021-11-05 18:00,6.32,SCRATCH_timeout,0.36,2021
2896,2021-11-15 23:00,1.5,STOP_LOSS,-1.1,2021
2905,2021-11-17 11:00,2.53,STOP_LOSS,-1.1,2021
2922,2021-11-22 07:00,1.97,STOP_LOSS,-1.1,2021
2944,2021-11-26 03:00,3.55,STOP_LOSS,-1.1,2021
2991,2021-12-08 03:00,2.63,STOP_LOSS,-1.1,2021
3011,2021-12-13 11:00,2.82,STOP_LOSS,-1.1,2021
3029,2021-12-16 11:00,4.73,SCRATCH_timeout,0.59,2021
3070,2021-12-28 07:00,2.78,STOP_LOSS,-1.1,2021
3085,2021-12-30 19:00,3.94,STOP_LOSS,-1.1,2021
3102,2022-01-04 15:00,2.23,STOP_LOSS,-1.1,2022
3118,2022-01-07 07:00,4.68,SCRATCH_timeout,0.99,2022
3126,2022-01-10 15:00,2.37,WIN_partial_held,2.02,2022
3147,2022-01-14 03:00,2.29,STOP_LOSS,-1.1,2022
3162,2022-01-18 15:00,3.86,STOP_LOSS,-1.1,2022
3178,2022-01-21 07:00,3.25,STOP_LOSS,-1.1,2022
3190,2022-01-25 07:00,1.14,STOP_LOSS,-1.1,2022
3219,2022-02-01 03:00,3.25,WIN_partial_held,2.66,2022
3238,2022-02-04 07:00,3.91,WIN_partial_held,2.41,2022
3252,2022-02-08 15:00,5.89,WIN_partial_held,1.84,2022
3326,2022-02-24 23:00,1.38,STOP_LOSS,-1.1,2022
3443,2022-03-24 10:00,4.27,STOP_LOSS,-1.1,2022
3474,2022-03-31 14:00,5.08,SCRATCH_timeout,0.38,2022
3491,2022-04-05 10:00,2.86,WIN_partialBE,0.9,2022
3509,2022-04-08 10:00,2.81,WIN_partialBE,0.9,2022
3622,2022-05-06 06:00,1.78,STOP_LOSS,-1.1,2022
3678,2022-05-19 14:00,3.54,SCRATCH_timeout,0.66,2022
3773,2022-06-10 10:00,3.31,STOP_LOSS,-1.1,2022
3799,2022-06-16 18:00,3.73,STOP_LOSS,-1.1,2022
3825,2022-06-23 02:00,1.56,STOP_LOSS,-1.1,2022
3836,2022-06-26 22:00,3.41,STOP_LOSS,-1.1,2022
3929,2022-07-18 10:00,2.06,STOP_LOSS,-1.1,2022
3949,2022-07-21 18:00,1.53,WIN_partial_held,3.54,2022
4095,2022-08-25 02:00,2.16,STOP_LOSS,-1.1,2022
4243,2022-09-28 18:00,3.85,SCRATCH_timeout,0.18,2022
4309,2022-10-13 18:00,2.06,STOP_LOSS,-1.1,2022
4346,2022-10-23 22:00,3.5,SCRATCH_timeout,0.4,2022
4372,2022-10-28 06:00,1.37,STOP_LOSS,-1.1,2022
4384,2022-11-01 06:00,4.19,WIN_partial_held,2.75,2022
4401,2022-11-04 02:00,3.09,WIN_partial_held,2.76,2022
4483,2022-11-23 19:00,2.13,WIN_partial_held,1.82,2022
4513,2022-11-30 23:00,3.97,SCRATCH_timeout,0.49,2022
4530,2022-12-05 19:00,2.41,WIN_partial_held,1.28,2022
4574,2022-12-15 03:00,1.8,STOP_LOSS,-1.1,2022
4609,2022-12-22 23:00,2.43,WIN_partial_held,2.96,2022
4644,2023-01-03 19:00,2.77,WIN_partial_held,2.17,2023
4677,2023-01-11 07:00,2.32,WIN_partial_held,2.05,2023
4763,2023-01-31 15:00,3.12,STOP_LOSS,-1.1,2023
4899,2023-03-03 07:00,2.65,STOP_LOSS,-1.1,2023
4908,2023-03-06 19:00,2.79,STOP_LOSS,-1.1,2023
4918,2023-03-08 11:00,2.3,WIN_RUNNER,3.9,2023
4926,2023-03-09 19:00,2.64,WIN_RUNNER,3.9,2023
4996,2023-03-27 10:00,1.27,WIN_partial_held,2.51,2023
5016,2023-03-30 18:00,2.76,STOP_LOSS,-1.1,2023
5055,2023-04-11 06:00,2.25,STOP_LOSS,-1.1,2023
5087,2023-04-18 14:00,1.06,STOP_LOSS,-1.1,2023
5103,2023-04-21 06:00,1.62,WIN_partial_held,2.34,2023
5147,2023-05-02 14:00,3.31,SCRATCH_timeout,-0.8,2023
5165,2023-05-05 14:00,2.34,STOP_LOSS,-1.1,2023
5296,2023-06-06 10:00,2.29,STOP_LOSS,-1.1,2023
5321,2023-06-12 14:00,1.97,STOP_LOSS,-1.1,2023
5331,2023-06-14 06:00,1.48,STOP_LOSS,-1.1,2023
5350,2023-06-19 10:00,3.4,STOP_LOSS,-1.1,2023
5414,2023-07-04 02:00,2.27,STOP_LOSS,-1.1,2023
5435,2023-07-07 14:00,3.01,WIN_partial_held,1.61,2023
5530,2023-07-31 10:00,3.16,STOP_LOSS,-1.1,2023
5555,2023-08-04 14:00,4.12,STOP_LOSS,-1.1,2023
5627,2023-08-22 14:00,1.89,WIN_partial_held,1.96,2023
5701,2023-09-07 22:00,2.26,STOP_LOSS,-1.1,2023
5724,2023-09-13 18:00,4.83,STOP_LOSS,-1.1,2023
5772,2023-09-25 18:00,3.41,STOP_LOSS,-1.1,2023
5826,2023-10-06 18:00,2.72,WIN_RUNNER,3.9,2023
5842,2023-10-11 10:00,2.94,WIN_RUNNER,3.9,2023
5875,2023-10-18 22:00,3.58,SCRATCH_timeout,0.93,2023
5920,2023-10-30 10:00,2.31,STOP_LOSS,-1.1,2023
5955,2023-11-07 07:00,2.04,STOP_LOSS,-1.1,2023
5998,2023-11-16 11:00,2.87,WIN_partial_held,2.0,2023
6069,2023-12-04 11:00,1.03,STOP_LOSS,-1.1,2023
6119,2023-12-14 19:00,5.36,SCRATCH_timeout,0.31,2023
6162,2023-12-26 23:00,4.56,STOP_LOSS,-1.1,2023
6193,2024-01-04 03:00,2.03,STOP_LOSS,-1.1,2024
6210,2024-01-08 23:00,1.08,STOP_LOSS,-1.1,2024
6295,2024-01-29 03:00,3.01,SCRATCH_timeout,-0.32,2024
6362,2024-02-13 07:00,2.45,STOP_LOSS,-1.1,2024
6376,2024-02-15 15:00,2.46,WIN_partial_held,1.89,2024
6489,2024-03-13 10:00,1.77,STOP_LOSS,-1.1,2024
6610,2024-04-11 14:00,2.26,STOP_LOSS,-1.1,2024
6711,2024-05-06 10:00,3.36,WIN_partial_held,1.78,2024
6729,2024-05-09 10:00,1.94,WIN_partial_held,1.69,2024
6741,2024-05-13 10:00,2.81,WIN_partialBE,0.9,2024
6791,2024-05-23 18:00,1.51,WIN_partial_held,1.91,2024
6819,2024-05-30 10:00,3.59,STOP_LOSS,-1.1,2024
6832,2024-06-03 14:00,3.34,STOP_LOSS,-1.1,2024
6844,2024-06-05 14:00,3.05,STOP_LOSS,-1.1,2024
6887,2024-06-14 18:00,3.0,STOP_LOSS,-1.1,2024
6908,2024-06-20 06:00,3.14,STOP_LOSS,-1.1,2024
6923,2024-06-24 18:00,1.62,STOP_LOSS,-1.1,2024
6954,2024-07-01 22:00,1.92,WIN_RUNNER,3.9,2024
6962,2024-07-03 06:00,2.86,WIN_partial_held,3.16,2024
6992,2024-07-10 06:00,2.3,WIN_partial_held,1.78,2024
7053,2024-07-24 10:00,3.06,STOP_LOSS,-1.1,2024
7065,2024-07-26 10:00,1.92,WIN_partialBE,0.9,2024
7094,2024-08-02 06:00,5.72,STOP_LOSS,-1.1,2024
7119,2024-08-08 10:00,2.54,WIN_partial_held,1.91,2024
7129,2024-08-12 02:00,1.79,WIN_partialBE,0.9,2024
7149,2024-08-15 10:00,1.6,WIN_partial_held,2.53,2024
7232,2024-09-04 06:00,4.89,WIN_partial_held,1.79,2024
7253,2024-09-09 18:00,1.86,WIN_partial_held,3.61,2024
7408,2024-10-15 14:00,5.01,SCRATCH_timeout,1.58,2024
7454,2024-10-25 06:00,1.11,WIN_partialBE,0.9,2024
7509,2024-11-07 11:00,2.53,STOP_LOSS,-1.1,2024
7549,2024-11-18 03:00,1.98,WIN_partial_held,1.5,2024
7569,2024-11-21 11:00,3.67,STOP_LOSS,-1.1,2024
7577,2024-11-22 19:00,7.23,STOP_LOSS,-1.1,2024
7662,2024-12-12 23:00,4.89,STOP_LOSS,-1.1,2024
7710,2024-12-26 03:00,4.22,SCRATCH_timeout,1.21,2024
7731,2024-12-31 15:00,2.71,WIN_partial_held,2.05,2024
7765,2025-01-09 07:00,4.75,SCRATCH_timeout,1.44,2025
7838,2025-01-27 11:00,1.16,STOP_LOSS,-1.1,2025
7869,2025-02-03 15:00,4.72,SCRATCH_timeout,0.89,2025
7924,2025-02-14 19:00,1.37,WIN_partialBE,0.9,2025
7933,2025-02-18 07:00,2.53,STOP_LOSS,-1.1,2025
7943,2025-02-19 23:00,4.05,STOP_LOSS,-1.1,2025
7993,2025-03-04 07:00,4.7,SCRATCH_timeout,1.16,2025
8080,2025-03-24 18:00,1.02,WIN_RUNNER,3.9,2025
8095,2025-03-27 06:00,2.34,WIN_partialBE,0.9,2025
8133,2025-04-04 14:00,0.85,STOP_LOSS,-1.1,2025
8149,2025-04-09 06:00,2.86,WIN_partial_held,2.48,2025
8157,2025-04-10 14:00,5.59,SCRATCH_timeout,0.57,2025
8200,2025-04-22 18:00,2.65,STOP_LOSS,-1.1,2025
8216,2025-04-25 10:00,0.61,WIN_partialBE,0.9,2025
8236,2025-04-30 18:00,3.65,STOP_LOSS,-1.1,2025
8277,2025-05-09 14:00,3.33,STOP_LOSS,-1.1,2025
8338,2025-05-23 18:00,3.54,STOP_LOSS,-1.1,2025
8357,2025-05-28 22:00,2.65,WIN_partial_held,1.78,2025
8371,2025-06-02 06:00,4.64,SCRATCH_timeout,0.51,2025
8403,2025-06-09 14:00,2.99,SCRATCH_timeout,0.66,2025
8431,2025-06-16 06:00,3.99,STOP_LOSS,-1.1,2025
8460,2025-06-23 02:00,1.0,STOP_LOSS,-1.1,2025
8479,2025-06-26 06:00,1.73,STOP_LOSS,-1.1,2025
8497,2025-07-01 06:00,4.81,SCRATCH_timeout,-0.09,2025
8544,2025-07-11 06:00,2.22,WIN_partial_held,1.01,2025
8622,2025-07-30 06:00,3.38,STOP_LOSS,-1.1,2025
8635,2025-08-01 10:00,3.63,SCRATCH_timeout,-0.19,2025
8659,2025-08-07 10:00,1.81,STOP_LOSS,-1.1,2025
8823,2025-09-15 18:00,4.39,WIN_partial_held,2.05,2025
8878,2025-09-28 22:00,2.74,WIN_partial_held,3.24,2025
8893,2025-10-01 10:00,2.96,WIN_partial_held,2.83,2025
8905,2025-10-03 10:00,2.73,WIN_RUNNER,3.9,2025
8940,2025-10-13 06:00,3.34,WIN_partialBE,0.9,2025
8966,2025-10-17 14:00,2.61,STOP_LOSS,-1.1,2025
8978,2025-10-21 14:00,2.65,STOP_LOSS,-1.1,2025
9007,2025-10-28 10:00,2.55,SCRATCH_timeout,1.4,2025
9081,2025-11-13 19:00,2.22,STOP_LOSS,-1.1,2025
9105,2025-11-19 19:00,2.2,WIN_partial_held,1.64,2025
9199,2025-12-11 11:00,2.1,WIN_RUNNER,3.9,2025
9215,2025-12-16 03:00,1.08,WIN_RUNNER,3.9,2025
9256,2025-12-26 03:00,2.4,STOP_LOSS,-1.1,2025
9287,2026-01-05 07:00,3.19,SCRATCH_timeout,1.64,2026
9297,2026-01-06 23:00,5.04,WIN_partial_held,1.97,2026
9304,2026-01-08 03:00,3.86,WIN_partial_held,2.45,2026
9314,2026-01-09 19:00,3.63,WIN_partial_held,3.16,2026
9329,2026-01-14 07:00,2.1,STOP_LOSS,-1.1,2026
9345,2026-01-18 23:00,2.34,WIN_RUNNER,3.9,2026
9432,2026-02-06 11:00,5.02,SCRATCH_timeout,0.09,2026
9492,2026-02-20 11:00,5.19,SCRATCH_timeout,0.25,2026
9504,2026-02-24 11:00,5.52,SCRATCH_timeout,0.16,2026
9512,2026-02-25 19:00,1.55,WIN_partialBE,0.9,2026
9523,2026-02-27 15:00,3.0,STOP_LOSS,-1.1,2026
9530,2026-03-02 19:00,3.72,STOP_LOSS,-1.1,2026
9537,2026-03-03 23:00,3.48,SCRATCH_timeout,-0.59,2026
9582,2026-03-13 10:00,2.1,STOP_LOSS,-1.1,2026
9628,2026-03-25 02:00,2.05,SCRATCH_timeout,0.5,2026
9646,2026-03-30 02:00,2.6,SCRATCH_timeout,1.24,2026
9727,2026-04-17 14:00,2.74,STOP_LOSS,-1.11,2026
9805,2026-05-06 14:00,4.39,STOP_LOSS,-1.1,2026
