bar_idx,datetime,decision_v3,decision_fixed,changed,leg,macro_broken,combined,realR
2944,2021-11-26 03:00,ALLOW,ALLOW,NO,MACRO_BULL_LEG,True,2,-1.1
2991,2021-12-08 03:00,BLOCK_BEAR_MARKDOWN,BLOCK_BEAR_MARKDOWN,NO,MACRO_RANGE,True,-2,-1.1
3011,2021-12-13 11:00,BLOCK_BEAR_MARKDOWN,BLOCK_BEAR_MARKDOWN,NO,MACRO_RANGE,True,-2,-1.1
3029,2021-12-16 11:00,PRESERVE_BOTTOM_TURN,PRESERVE_BOTTOM_TURN,NO,MACRO_RANGE,True,-1,0.59
3070,2021-12-28 07:00,ALLOW,ALLOW,NO,MACRO_TRANSITION,True,2,-1.1
3085,2021-12-30 19:00,ALLOW,ALLOW,NO,MACRO_TRANSITION,True,1,-1.1
3102,2022-01-04 15:00,BLOCK_BEAR_MARKDOWN,ALLOW,YES,MACRO_BULL_LEG,True,-1,-1.1
3118,2022-01-07 07:00,BLOCK_BEAR_MARKDOWN,ALLOW,YES,MACRO_BULL_LEG,True,-2,0.99
3126,2022-01-10 15:00,BLOCK_BEAR_MARKDOWN,ALLOW,YES,MACRO_BULL_LEG,True,-2,2.02
3147,2022-01-14 03:00,ALLOW,ALLOW,NO,MACRO_TRANSITION,True,2,-1.1
3162,2022-01-18 15:00,ALLOW,ALLOW,NO,MACRO_TRANSITION,True,1,-1.1
3178,2022-01-21 07:00,ALLOW,ALLOW,NO,MACRO_TRANSITION,False,3,-1.1
3190,2022-01-25 07:00,ALLOW,ALLOW,NO,MACRO_BULL_LEG,False,0,-1.1
3219,2022-02-01 03:00,ALLOW,ALLOW,NO,MACRO_BULL_LEG,False,1,2.66
3238,2022-02-04 07:00,ALLOW,ALLOW,NO,MACRO_TRANSITION,True,2,2.41
3252,2022-02-08 15:00,ALLOW,ALLOW,NO,MACRO_TRANSITION,False,3,1.84
3326,2022-02-24 23:00,ALLOW,ALLOW,NO,MACRO_TRANSITION,False,2,-1.1
3443,2022-03-24 10:00,ALLOW,ALLOW,NO,MACRO_BULL_LEG,False,3,-1.1
3474,2022-03-31 14:00,ALLOW,ALLOW,NO,MACRO_RANGE,False,3,0.38
3491,2022-04-05 10:00,BLOCK_CORRECTIVE_PULLBACK,BLOCK_CORRECTIVE_PULLBACK,NO,MACRO_CORRECTIVE_PULLBACK,False,2,0.9
3509,2022-04-08 10:00,BLOCK_CORRECTIVE_PULLBACK,BLOCK_CORRECTIVE_PULLBACK,NO,MACRO_CORRECTIVE_PULLBACK,False,3,0.9
3622,2022-05-06 06:00,BLOCK_BEAR_MARKDOWN,BLOCK_BEAR_MARKDOWN,NO,MACRO_RANGE,True,-2,-1.1
3678,2022-05-19 14:00,BLOCK_BEAR_MARKDOWN,BLOCK_BEAR_MARKDOWN,NO,MACRO_BEAR_LEG,True,-3,0.66
3773,2022-06-10 10:00,BLOCK_BEAR_MARKDOWN,ALLOW,YES,MACRO_BULL_LEG,True,-3,-1.1
3799,2022-06-16 18:00,BLOCK_BEAR_MARKDOWN,ALLOW,YES,MACRO_BULL_LEG,True,-1,-1.1
3825,2022-06-23 02:00,BLOCK_BEAR_MARKDOWN,BLOCK_BEAR_MARKDOWN,NO,MACRO_BEAR_LEG,True,-2,-1.1
3836,2022-06-26 22:00,BLOCK_BEAR_MARKDOWN,BLOCK_BEAR_MARKDOWN,NO,MACRO_BEAR_LEG,True,-3,-1.1
3929,2022-07-18 10:00,BLOCK_BEAR_MARKDOWN,BLOCK_BEAR_MARKDOWN,NO,MACRO_BEAR_LEG,True,-3,-1.1
3949,2022-07-21 18:00,BLOCK_BEAR_MARKDOWN,BLOCK_BEAR_MARKDOWN,NO,MACRO_BEAR_LEG,True,-2,3.54
4095,2022-08-25 02:00,BLOCK_BEAR_MARKDOWN,BLOCK_BEAR_MARKDOWN,NO,MACRO_TRANSITION,True,-1,-1.1
4243,2022-09-28 18:00,BLOCK_BEAR_MARKDOWN,BLOCK_BEAR_MARKDOWN,NO,MACRO_BEAR_LEG,True,-2,0.18
4309,2022-10-13 18:00,BLOCK_BEAR_MARKDOWN,BLOCK_BEAR_MARKDOWN,NO,MACRO_TRANSITION,True,-1,-1.1
4346,2022-10-23 22:00,BLOCK_BEAR_MARKDOWN,BLOCK_BEAR_MARKDOWN,NO,MACRO_TRANSITION,True,-2,0.4
4372,2022-10-28 06:00,BLOCK_BEAR_MARKDOWN,ALLOW,YES,MACRO_BULL_LEG,True,-3,-1.1
4384,2022-11-01 06:00,BLOCK_BEAR_MARKDOWN,BLOCK_BEAR_MARKDOWN,NO,MACRO_RANGE,True,-3,2.75
4401,2022-11-04 02:00,PRESERVE_BOTTOM_TURN,PRESERVE_BOTTOM_TURN,NO,MACRO_RANGE,True,-3,2.76
4429,2022-11-10 19:00,BLOCK_CORRECTIVE_PULLBACK,BLOCK_CORRECTIVE_PULLBACK,NO,MACRO_CORRECTIVE_PULLBACK,True,3,-0.11
4483,2022-11-23 19:00,ALLOW,ALLOW,NO,MACRO_TRANSITION,True,2,1.82
4513,2022-11-30 23:00,ALLOW,ALLOW,NO,MACRO_BULL_LEG,True,3,0.49
4530,2022-12-05 19:00,ALLOW,ALLOW,NO,MACRO_BULL_LEG,False,2,1.28
4574,2022-12-15 03:00,ALLOW,ALLOW,NO,MACRO_BULL_LEG,False,3,-1.1
4609,2022-12-22 23:00,ALLOW,ALLOW,NO,MACRO_BULL_LEG,False,3,3.9
4644,2023-01-03 19:00,ALLOW,ALLOW,NO,MACRO_BULL_LEG,False,3,2.17
4677,2023-01-11 07:00,ALLOW,ALLOW,NO,MACRO_BULL_LEG,False,3,2.05
4763,2023-01-31 15:00,ALLOW,ALLOW,NO,MACRO_BULL_LEG,False,2,-1.1
4899,2023-03-03 07:00,BLOCK_BEAR_MARKDOWN,BLOCK_BEAR_MARKDOWN,NO,MACRO_BEAR_LEG,True,0,-1.1
4908,2023-03-06 19:00,ALLOW,ALLOW,NO,MACRO_CORRECTIVE_PULLBACK,True,1,-1.1
4918,2023-03-08 11:00,PRESERVE_BOTTOM_TURN,PRESERVE_BOTTOM_TURN,NO,MACRO_BEAR_LEG,True,-1,3.9
4926,2023-03-09 19:00,BLOCK_BEAR_MARKDOWN,BLOCK_BEAR_MARKDOWN,NO,MACRO_BEAR_LEG,True,-1,3.9
4964,2023-03-20 02:00,ALLOW,ALLOW,NO,MACRO_RANGE,False,3,-0.43
4996,2023-03-27 10:00,ALLOW,ALLOW,NO,MACRO_RANGE,False,2,2.51
5016,2023-03-30 18:00,ALLOW,ALLOW,NO,MACRO_BULL_LEG,False,3,-1.1
5042,2023-04-06 02:00,ALLOW,ALLOW,NO,MACRO_BULL_LEG,False,3,-0.41
5055,2023-04-11 06:00,ALLOW,ALLOW,NO,MACRO_BULL_LEG,False,1,-1.1
5087,2023-04-18 14:00,ALLOW,ALLOW,NO,MACRO_BULL_LEG,False,1,-1.1
5103,2023-04-21 06:00,ALLOW,ALLOW,NO,MACRO_BULL_LEG,False,3,2.34
5147,2023-05-02 14:00,ALLOW,ALLOW,NO,MACRO_RANGE,False,2,-0.8
5165,2023-05-05 14:00,ALLOW,ALLOW,NO,MACRO_RANGE,False,3,-1.1
5296,2023-06-06 10:00,BLOCK_BEAR_MARKDOWN,BLOCK_BEAR_MARKDOWN,NO,MACRO_BEAR_LEG,False,0,-1.1
5321,2023-06-12 14:00,ALLOW,ALLOW,NO,MACRO_RANGE,False,1,-1.1
5331,2023-06-14 06:00,ALLOW,ALLOW,NO,MACRO_RANGE,False,0,-1.1
5350,2023-06-19 10:00,ALLOW,ALLOW,NO,MACRO_RANGE,False,1,-1.1
5414,2023-07-04 02:00,BLOCK_BEAR_MARKDOWN,BLOCK_BEAR_MARKDOWN,NO,MACRO_BEAR_LEG,True,-1,-1.1
5435,2023-07-07 14:00,BLOCK_BEAR_MARKDOWN,BLOCK_BEAR_MARKDOWN,NO,MACRO_BEAR_LEG,True,-3,1.61
5478,2023-07-18 18:00,BLOCK_RANGE_CHOP,BLOCK_RANGE_CHOP,NO,MACRO_RANGE,True,0,-1.1
5530,2023-07-31 10:00,ALLOW,ALLOW,NO,MACRO_BULL_LEG,True,0,-1.1
5555,2023-08-04 14:00,BLOCK_BEAR_MARKDOWN,BLOCK_BEAR_MARKDOWN,NO,MACRO_RANGE,True,-3,-1.1
5627,2023-08-22 14:00,BLOCK_BEAR_MARKDOWN,BLOCK_BEAR_MARKDOWN,NO,MACRO_RANGE,True,-2,1.96
5668,2023-08-31 10:00,BLOCK_CORRECTIVE_PULLBACK,BLOCK_CORRECTIVE_PULLBACK,NO,MACRO_CORRECTIVE_PULLBACK,True,1,-1.1
5701,2023-09-07 22:00,PRESERVE_BOTTOM_TURN,PRESERVE_BOTTOM_TURN,NO,MACRO_BEAR_LEG,True,-3,-1.1
5724,2023-09-13 18:00,BLOCK_BEAR_MARKDOWN,BLOCK_BEAR_MARKDOWN,NO,MACRO_RANGE,True,-3,0.9
5772,2023-09-25 18:00,BLOCK_BEAR_MARKDOWN,BLOCK_BEAR_MARKDOWN,NO,MACRO_BEAR_LEG,True,-1,-1.1
5826,2023-10-06 18:00,BLOCK_BEAR_MARKDOWN,BLOCK_BEAR_MARKDOWN,NO,MACRO_TRANSITION,True,-3,3.9
5842,2023-10-11 10:00,ALLOW,ALLOW,NO,MACRO_TRANSITION,True,1,3.9
5866,2023-10-17 10:00,ALLOW,ALLOW,NO,MACRO_TRANSITION,True,3,2.7
5875,2023-10-18 22:00,ALLOW,ALLOW,NO,MACRO_TRANSITION,True,3,0.93
5920,2023-10-30 10:00,ALLOW,ALLOW,NO,MACRO_TRANSITION,False,2,-1.1
5955,2023-11-07 07:00,ALLOW,ALLOW,NO,MACRO_TRANSITION,False,1,-1.1
5998,2023-11-16 11:00,ALLOW,ALLOW,NO,MACRO_TRANSITION,False,2,2.0
6049,2023-11-29 03:00,ALLOW,ALLOW,NO,MACRO_RANGE,False,3,0.9
6069,2023-12-04 11:00,ALLOW,ALLOW,NO,MACRO_RANGE,False,3,-1.1
6119,2023-12-14 19:00,ALLOW,ALLOW,NO,MACRO_BULL_LEG,False,3,0.31
6162,2023-12-26 23:00,ALLOW,ALLOW,NO,MACRO_RANGE,False,3,-1.1
6193,2024-01-04 03:00,ALLOW,ALLOW,NO,MACRO_BULL_LEG,False,1,-1.1
6210,2024-01-08 23:00,ALLOW,ALLOW,NO,MACRO_BULL_LEG,False,2,-1.1
