episode_id,entry_ts,SL_ATR,model,visual_label,BOM_NAO_UNK,baseline_R,structural_R,cap4_reject,cap4_clamp_R,reason
E15,2020-03-09 06:00,5.09,M5_SWING_ORIGIN,BEAR_LEG_RECLAIM_TRAP,UNKNOWN,-1.1,-1.1,REJECTED,-1.1,top/exhaustion
idx3474,2022-03-31 14:00,5.08,M5_SWING_ORIGIN,,UNKNOWN,-1.1,0.38,REJECTED,0.51,unknown — needs visual/better entry
idx7797,2025-01-16 15:00,5.08,M5_SWING_ORIGIN,,UNKNOWN,2.4,1.24,REJECTED,1.6,unknown — needs visual/better entry
idx5668,2023-08-31 10:00,5.05,M5_SWING_ORIGIN,,UNKNOWN,-1.1,-1.1,REJECTED,-1.1,unknown — needs visual/better entry
idx9432,2026-02-06 11:00,5.02,M5_SWING_ORIGIN,,UNKNOWN,0.25,0.09,REJECTED,0.14,unknown — needs visual/better entry
idx7408,2024-10-15 14:00,5.01,M5_SWING_ORIGIN,,UNKNOWN,2.88,1.58,REJECTED,1.95,unknown — needs visual/better entry
idx5414,2023-07-04 02:00,4.99,M5_SWING_ORIGIN,,UNKNOWN,-1.1,1.03,REJECTED,1.31,unknown — needs visual/better entry
idx9304,2026-01-08 03:00,4.95,M5_SWING_ORIGIN,,UNKNOWN,-1.1,2.11,REJECTED,2.39,unknown — needs visual/better entry
idx3132,2022-01-11 15:00,4.93,M5_SWING_ORIGIN,,BOM,1.41,0.74,REJECTED,0.94,big V-reversal / estrutura larga válida (monumental)
idx7662,2024-12-12 23:00,4.89,M5_SWING_ORIGIN,,UNKNOWN,-1.1,-1.1,REJECTED,-1.1,unknown — needs visual/better entry
E23,2020-08-04 22:00,4.83,M5_SWING_ORIGIN,BLOWOFF_TOP_REJECT,UNKNOWN,-1.1,-1.1,REJECTED,-1.1,top/exhaustion
idx6597,2024-04-09 10:00,4.82,M5_SWING_ORIGIN,,UNKNOWN,-1.1,-0.39,REJECTED,-0.45,unknown — needs visual/better entry
idx7149,2024-08-15 10:00,4.82,M5_SWING_ORIGIN,,UNKNOWN,3.9,0.98,REJECTED,1.2,unknown — needs visual/better entry
idx8497,2025-07-01 06:00,4.81,M5_SWING_ORIGIN,,UNKNOWN,-0.09,-0.09,REJECTED,-0.09,unknown — needs visual/better entry
E38,2021-05-12 18:00,4.79,M5_SWING_ORIGIN,VALID_SETUP_BAD_SL,UNKNOWN,0.9,1.78,REJECTED,1.95,unknown — needs visual/better entry
idx1429,2020-12-02 11:00,4.76,M5_SWING_ORIGIN,,BOM,2.11,0.55,REJECTED,0.67,big V-reversal / estrutura larga válida (monumental)
idx7902,2025-02-11 03:00,4.76,M5_SWING_ORIGIN,,UNKNOWN,-1.1,0.11,REJECTED,0.15,unknown — needs visual/better entry
idx7765,2025-01-09 07:00,4.75,M5_SWING_ORIGIN,,UNKNOWN,2.73,1.44,REJECTED,1.82,unknown — needs visual/better entry
idx8431,2025-06-16 06:00,4.73,M5_SWING_ORIGIN,,UNKNOWN,-1.1,-1.1,REJECTED,-1.1,unknown — needs visual/better entry
idx7869,2025-02-03 15:00,4.72,M5_SWING_ORIGIN,,UNKNOWN,1.66,0.89,REJECTED,1.07,unknown — needs visual/better entry
idx7993,2025-03-04 07:00,4.7,M5_SWING_ORIGIN,,UNKNOWN,2.0,1.16,REJECTED,1.38,unknown — needs visual/better entry
idx4252,2022-09-30 06:00,4.68,M5_SWING_ORIGIN,,BOM,0.9,-0.35,REJECTED,-0.39,big V-reversal / estrutura larga válida (monumental)
idx7816,2025-01-21 19:00,4.68,M5_SWING_ORIGIN,,UNKNOWN,2.03,1.62,REJECTED,1.91,unknown — needs visual/better entry
idx8371,2025-06-02 06:00,4.64,M5_SWING_ORIGIN,,UNKNOWN,0.7,0.51,REJECTED,0.6,unknown — needs visual/better entry
idx6162,2023-12-26 23:00,4.56,M5_SWING_ORIGIN,,UNKNOWN,-1.1,-1.1,REJECTED,-1.1,unknown — needs visual/better entry
idx5478,2023-07-18 18:00,4.51,M5_SWING_ORIGIN,,UNKNOWN,-1.1,-1.1,REJECTED,-1.1,unknown — needs visual/better entry
E36,2020-10-12 18:00,4.48,M5_SWING_ORIGIN,MACRO_BEAR_NO_LONG,UNKNOWN,-1.1,-0.59,REJECTED,-1.1,top/exhaustion
idx2372,2021-07-15 10:00,4.48,M5_SWING_ORIGIN,,UNKNOWN,-1.1,-1.1,REJECTED,-1.1,unknown — needs visual/better entry
idx3799,2022-06-16 18:00,4.44,M5_SWING_ORIGIN,,UNKNOWN,-1.1,-1.1,REJECTED,-1.1,unknown — needs visual/better entry
idx4644,2023-01-03 19:00,4.43,M5_SWING_ORIGIN,,BOM,2.94,1.69,REJECTED,1.78,big V-reversal / estrutura larga válida (monumental)
idx9805,2026-05-06 14:00,4.39,M5_SWING_ORIGIN,,UNKNOWN,-1.1,-1.1,REJECTED,-1.1,unknown — needs visual/better entry
idx2174,2021-05-31 02:00,4.35,M5_SWING_ORIGIN,,UNKNOWN,-1.1,-1.1,REJECTED,-1.1,unknown — needs visual/better entry
E34,2020-02-25 23:00,4.34,M5_SWING_ORIGIN,EXHAUSTION_LONG_TRAP,UNKNOWN,-1.1,0.13,REJECTED,-1.1,top/exhaustion
idx4429,2022-11-10 19:00,4.33,M5_SWING_ORIGIN,,UNKNOWN,-0.11,-0.11,REJECTED,-0.11,unknown — needs visual/better entry
idx3443,2022-03-24 10:00,4.27,M5_SWING_ORIGIN,,UNKNOWN,-1.1,-1.1,REJECTED,-1.1,unknown — needs visual/better entry
idx8544,2025-07-11 06:00,4.25,M5_SWING_ORIGIN,,UNKNOWN,1.01,0.01,REJECTED,0.02,unknown — needs visual/better entry
idx2991,2021-12-08 03:00,4.22,M5_SWING_ORIGIN,,UNKNOWN,-1.1,-1.1,REJECTED,-1.1,unknown — needs visual/better entry
idx9287,2026-01-05 07:00,4.06,M5_SWING_ORIGIN,,UNKNOWN,1.64,1.27,REJECTED,1.29,unknown — needs visual/better entry
