episode_id,datetime,macro_phase_causal,old_policy,exit,realR
4513,2022-11-30,MACRO_RANGE_TRANSITION,TAKE_CANDIDATE,SCRATCH,0.49
4530,2022-12-05,MACRO_RANGE_TRANSITION,TAKE_CANDIDATE,WIN_HELD,1.28
4574,2022-12-15,MACRO_BULL_RUN,TAKE_CANDIDATE,STOP_LOSS,-1.1
4609,2022-12-22,MACRO_BULL_RUN,TAKE_CANDIDATE,WIN_RUNNER,3.9
4644,2023-01-03,MACRO_BULL_RUN,TAKE_CANDIDATE,WIN_HELD,2.17
4677,2023-01-11,MACRO_BULL_RUN,TAKE_CANDIDATE,WIN_HELD,2.05
4763,2023-01-31,MACRO_BULL_RUN,TAKE_CANDIDATE,STOP_LOSS,-1.1
4899,2023-03-03,MACRO_RANGE_TRANSITION,SKIP_STRUCTURAL,STOP_LOSS,-1.1
4908,2023-03-06,MACRO_RANGE_TRANSITION,UNKNOWN,STOP_LOSS,-1.1
4918,2023-03-08,MACRO_BULL_PULLBACK,TAKE_CANDIDATE,WIN_RUNNER,3.9
4926,2023-03-09,MACRO_BULL_PULLBACK,SKIP_STRUCTURAL,WIN_RUNNER,3.9
4964,2023-03-20,MACRO_BULL_RUN,HUMAN_VISUAL_REQUIRED,SCRATCH,-0.43
4996,2023-03-27,MACRO_BULL_RUN,REVIEW,WIN_HELD,2.51
5016,2023-03-30,MACRO_BULL_RUN,TAKE_CANDIDATE,STOP_LOSS,-1.1
5042,2023-04-06,MACRO_BULL_RUN,REVIEW,SCRATCH,-0.41
5055,2023-04-11,MACRO_BULL_RUN,TAKE_CANDIDATE,STOP_LOSS,-1.1
5087,2023-04-18,MACRO_BULL_RUN,TAKE_CANDIDATE,STOP_LOSS,-1.1
5103,2023-04-21,MACRO_BULL_RUN,TAKE_CANDIDATE,WIN_HELD,2.34
5147,2023-05-02,MACRO_BULL_RUN,REVIEW,SCRATCH,-0.8
5165,2023-05-05,MACRO_BULL_RUN,REVIEW,STOP_LOSS,-1.1
5296,2023-06-06,MACRO_BULL_PULLBACK,SKIP_STRUCTURAL,STOP_LOSS,-1.1
5321,2023-06-12,MACRO_BULL_PULLBACK,REVIEW,STOP_LOSS,-1.1
5331,2023-06-14,MACRO_BULL_PULLBACK,REVIEW,STOP_LOSS,-1.1
5350,2023-06-19,MACRO_BULL_PULLBACK,REVIEW,STOP_LOSS,-1.1
