factor,group,causal,in_prompt,null_rate_pct,caveat
va_width_atr,volume/SVP,YES,YES (packet completo dado ao agente),0.0,Session VP nativo; causalidade within-session auditada OK
smc_bos,SMC,YES,YES (packet completo dado ao agente),58.7,"LuxAlgo pode repintar; usar direção/recência, não preço exato"
smc_choch,SMC,YES,YES (packet completo dado ao agente),58.7,"LuxAlgo pode repintar; usar direção/recência, não preço exato"
reclaim_body_atr,demand/supply,YES,YES (packet completo dado ao agente),0.0,
reclaim_dist_from_demand_atr,demand/supply,YES,YES (packet completo dado ao agente),3.6,
reclaim_dist_from_supply_atr,demand/supply,YES,YES (packet completo dado ao agente),18.1,
sl_atr,momentum/legpos,YES,YES (packet completo dado ao agente),0.0,
sl_source,risk/anti-top,YES,YES (packet completo dado ao agente),0.0,
sl_type,risk/anti-top,YES,YES (packet completo dado ao agente),0.0,
F_STRICT_top_late,risk/anti-top,YES,YES (packet completo dado ao agente),0.0,
hour_utc,risk/anti-top,YES,YES (packet completo dado ao agente),0.0,
dead_hour,risk/anti-top,YES,YES (packet completo dado ao agente),0.0,
