bar_idx,datetime,context,engine_policy,indicator_score,indicator_confluence,bubbles,nas,smc,rsi,crossed_policy,EVAL_exitype,EVAL_realR
1200,2020-10-08,TOP,SKIP,-1,WEAK_BEAR,BUBBLE_MIXED,NAS_NEUTRAL,SMC_CHOCH_TOP_REVERSAL,RSI_NO_DIV,SKIP_CONFIRMED,SCRATCH,-0.16
1211,2020-10-12,PULLBACK,TAKE,2,STRONG_BULL_CONFIRM,BUBBLE_BUY_ACCUM_PULLBACK,NAS_NEUTRAL,SMC_CHOCH_BULL_TRIGGER,RSI_NO_DIV,TAKE_CONFIRMED,SCRATCH,-0.59
1221,2020-10-14,PULLBACK,TAKE,1,WEAK_BULL,BUBBLE_BUY_ACCUM_PULLBACK,NAS_NEUTRAL,SMC_NONE,RSI_NO_DIV,TAKE_CONFIRMED,STOP_LOSS,-1.1
1298,2020-11-02,TOP,SKIP,-1,WEAK_BEAR,BUBBLE_SELL_DISTRIBUTION,NAS_NEUTRAL,SMC_NONE,RSI_NO_DIV,SKIP_CONFIRMED,WIN_BE,0.9
1316,2020-11-05,PULLBACK,TAKE,1,WEAK_BULL,BUBBLE_BUY_ACCUM_PULLBACK,NAS_NEUTRAL,SMC_NONE,RSI_NO_DIV,TAKE_CONFIRMED,STOP_LOSS,-1.1
1326,2020-11-08,PULLBACK,REVIEW_RISK,2,STRONG_BULL_CONFIRM,BUBBLE_BUY_ACCUM_PULLBACK,NAS_NEUTRAL,SMC_CHOCH_BULL_TRIGGER,RSI_NO_DIV,REVIEW_RISK_BULL,STOP_LOSS,-1.1
1353,2020-11-13,TOP,SKIP,0,NEUTRAL,BUBBLE_BUY_LATE,NAS_NEUTRAL,SMC_BOS_LATE,RSI_NO_DIV,SKIP_NEUTRAL,STOP_LOSS,-1.1
1429,2020-12-02,TOP,SKIP,-1,WEAK_BEAR,BUBBLE_BUY_LATE,NAS_NEUTRAL,SMC_CHOCH_TOP_REVERSAL,RSI_NO_DIV,SKIP_CONFIRMED,SCRATCH,0.55
1497,2020-12-17,NEUTRAL,REVIEW,-1,WEAK_BEAR,BUBBLE_NEUTRAL,NAS_SHORT,SMC_NONE,RSI_NO_DIV,REVIEW_WEAK_BEAR,SCRATCH,1.2
1522,2020-12-23,TOP,SKIP,-1,WEAK_BEAR,BUBBLE_MIXED,NAS_NEUTRAL,SMC_CHOCH_TOP_REVERSAL,RSI_NO_DIV,SKIP_CONFIRMED,WIN_BE,0.9
1568,2021-01-06,PULLBACK,TAKE,0,NEUTRAL,BUBBLE_BUY_ACCUM_PULLBACK,NAS_SHORT,SMC_NONE,RSI_NO_DIV,TAKE_NEUTRAL,STOP_LOSS,-1.1
1623,2021-01-20,TOP,SKIP,-1,WEAK_BEAR,BUBBLE_SELL_DISTRIBUTION,NAS_NEUTRAL,SMC_BOS_LATE,RSI_NO_DIV,SKIP_CONFIRMED,STOP_LOSS,-1.1
1661,2021-01-28,TOP,SKIP,-2,STRONG_BEAR_CONFIRM,BUBBLE_SELL_DISTRIBUTION,NAS_NEUTRAL,SMC_CHOCH_TOP_REVERSAL,RSI_NO_DIV,SKIP_CONFIRMED,STOP_LOSS,-1.1
1761,2021-02-22,TOP,SKIP,-2,STRONG_BEAR_CONFIRM,BUBBLE_SELL_DISTRIBUTION,NAS_NEUTRAL,SMC_CHOCH_TOP_REVERSAL,RSI_NO_DIV,SKIP_CONFIRMED,STOP_LOSS,-1.1
1775,2021-02-24,NEUTRAL,REVIEW,0,NEUTRAL,BUBBLE_NEUTRAL,NAS_NEUTRAL,SMC_NONE,RSI_NO_DIV,REVIEW_NEUTRAL,STOP_LOSS,-1.1
1836,2021-03-10,NEUTRAL,REVIEW,0,NEUTRAL,BUBBLE_NEUTRAL,NAS_NEUTRAL,SMC_NONE,RSI_NO_DIV,REVIEW_NEUTRAL,SCRATCH,0.05
1873,2021-03-18,TOP,SKIP,-1,WEAK_BEAR,BUBBLE_BUY_LATE,NAS_NEUTRAL,SMC_CHOCH_TOP_REVERSAL,RSI_NO_DIV,SKIP_CONFIRMED,STOP_LOSS,-1.1
1901,2021-03-25,TOP,SKIP,-2,STRONG_BEAR_CONFIRM,BUBBLE_SELL_DISTRIBUTION,NAS_NEUTRAL,SMC_CHOCH_TOP_REVERSAL,RSI_NO_DIV,SKIP_CONFIRMED,STOP_LOSS,-1.1
1941,2021-04-06,TOP,SKIP,-1,WEAK_BEAR,BUBBLE_MIXED,NAS_NEUTRAL,SMC_CHOCH_TOP_REVERSAL,RSI_NO_DIV,SKIP_CONFIRMED,WIN_BE,0.9
2034,2021-04-27,PULLBACK,REVIEW_RISK,1,WEAK_BULL,BUBBLE_MIXED,NAS_NEUTRAL,SMC_CHOCH_BULL_TRIGGER,RSI_NO_DIV,REVIEW_RISK,STOP_LOSS,-1.1
2053,2021-05-02,TOP,SKIP,-2,STRONG_BEAR_CONFIRM,BUBBLE_SELL_DISTRIBUTION,NAS_NEUTRAL,SMC_CHOCH_TOP_REVERSAL,RSI_NO_DIV,SKIP_CONFIRMED,WIN_HELD,3.32
2100,2021-05-12,TOP,SKIP,-2,STRONG_BEAR_CONFIRM,BUBBLE_BUY_LATE,NAS_NEUTRAL,SMC_CHOCH_TOP_REVERSAL,RSI_BEAR_DIV_TOP,SKIP_CONFIRMED,WIN_HELD,1.78
2110,2021-05-14,PULLBACK,TAKE,2,STRONG_BULL_CONFIRM,BUBBLE_BUY_ACCUM_PULLBACK,NAS_NEUTRAL,SMC_CHOCH_BULL_TRIGGER,RSI_NO_DIV,TAKE_CONFIRMED,WIN_HELD,1.86
2174,2021-05-31,PULLBACK,TAKE,1,WEAK_BULL,BUBBLE_BUY_ACCUM_PULLBACK,NAS_NEUTRAL,SMC_NONE,RSI_NO_DIV,TAKE_CONFIRMED,STOP_LOSS,-1.1
2188,2021-06-02,PULLBACK,TAKE,0,NEUTRAL,BUBBLE_MIXED,NAS_NEUTRAL,SMC_NONE,RSI_NO_DIV,TAKE_NEUTRAL,STOP_LOSS,-1.1
2204,2021-06-07,PULLBACK,TAKE,2,STRONG_BULL_CONFIRM,BUBBLE_MIXED,NAS_LONG_RECENT,SMC_CHOCH_BULL_TRIGGER,RSI_NO_DIV,TAKE_CONFIRMED,STOP_LOSS,-1.1
2222,2021-06-10,PULLBACK,TAKE,1,WEAK_BULL,BUBBLE_MIXED,NAS_NEUTRAL,SMC_CHOCH_BULL_TRIGGER,RSI_NO_DIV,TAKE_CONFIRMED,STOP_LOSS,-1.1
2320,2021-07-02,TOP,SKIP,0,NEUTRAL,BUBBLE_BUY_LATE,NAS_NEUTRAL,SMC_NONE,RSI_NO_DIV,SKIP_NEUTRAL,WIN_HELD,1.47
2364,2021-07-14,TOP,SKIP,-1,WEAK_BEAR,BUBBLE_MIXED,NAS_NEUTRAL,SMC_CHOCH_TOP_REVERSAL,RSI_NO_DIV,SKIP_CONFIRMED,STOP_LOSS,-1.1
2372,2021-07-15,PULLBACK,TAKE,2,STRONG_BULL_CONFIRM,BUBBLE_BUY_ACCUM_PULLBACK,NAS_NEUTRAL,SMC_CHOCH_BULL_TRIGGER,RSI_NO_DIV,TAKE_CONFIRMED,STOP_LOSS,-1.1
2428,2021-07-28,TOP,SKIP,-1,WEAK_BEAR,BUBBLE_SELL_DISTRIBUTION,NAS_NEUTRAL,SMC_NONE,RSI_NO_DIV,SKIP_CONFIRMED,STOP_LOSS,-1.1
2488,2021-08-11,TOP,SKIP,-1,WEAK_BEAR,BUBBLE_SELL_DISTRIBUTION,NAS_NEUTRAL,SMC_NONE,RSI_NO_DIV,SKIP_CONFIRMED,SCRATCH,1.02
2497,2021-08-13,TOP,SKIP,-1,WEAK_BEAR,BUBBLE_SELL_DISTRIBUTION,NAS_NEUTRAL,SMC_NONE,RSI_NO_DIV,SKIP_CONFIRMED,WIN_HELD,1.99
2544,2021-08-25,PULLBACK,TAKE,2,STRONG_BULL_CONFIRM,BUBBLE_BUY_ACCUM_PULLBACK,NAS_NEUTRAL,SMC_CHOCH_BULL_TRIGGER,RSI_NO_DIV,TAKE_CONFIRMED,WIN_BE,0.9
2663,2021-09-22,TOP,SKIP,0,NEUTRAL,BUBBLE_BUY_LATE,NAS_NEUTRAL,SMC_NONE,RSI_NO_DIV,SKIP_NEUTRAL,STOP_LOSS,-1.1
2705,2021-10-01,TOP,SKIP,-2,STRONG_BEAR_CONFIRM,BUBBLE_SELL_DISTRIBUTION,NAS_NEUTRAL,SMC_CHOCH_TOP_REVERSAL,RSI_NO_DIV,SKIP_CONFIRMED,SCRATCH,1.19
2737,2021-10-08,NEUTRAL,REVIEW,0,NEUTRAL,BUBBLE_NEUTRAL,NAS_NEUTRAL,SMC_NONE,RSI_NO_DIV,REVIEW_NEUTRAL,STOP_LOSS,-1.1
2747,2021-10-12,TOP,SKIP,-1,WEAK_BEAR,BUBBLE_SELL_DISTRIBUTION,NAS_NEUTRAL,SMC_BOS_LATE,RSI_NO_DIV,SKIP_CONFIRMED,WIN_BE,0.9
2859,2021-11-05,PULLBACK,REVIEW_RISK,2,STRONG_BULL_CONFIRM,BUBBLE_BUY_ACCUM_PULLBACK,NAS_NEUTRAL,SMC_CHOCH_BULL_TRIGGER,RSI_NO_DIV,REVIEW_RISK_BULL,SCRATCH,0.36
2896,2021-11-15,PULLBACK,TAKE,2,STRONG_BULL_CONFIRM,BUBBLE_BUY_ACCUM_PULLBACK,NAS_NEUTRAL,SMC_BOS_CONTINUATION,RSI_NO_DIV,TAKE_CONFIRMED,STOP_LOSS,-1.1
2905,2021-11-17,PULLBACK,TAKE,2,STRONG_BULL_CONFIRM,BUBBLE_BUY_ACCUM_PULLBACK,NAS_NEUTRAL,SMC_BOS_CONTINUATION,RSI_NO_DIV,TAKE_CONFIRMED,STOP_LOSS,-1.1
2922,2021-11-22,TOP,SKIP,-2,STRONG_BEAR_CONFIRM,BUBBLE_SELL_DISTRIBUTION,NAS_NEUTRAL,SMC_CHOCH_TOP_REVERSAL,RSI_NO_DIV,SKIP_CONFIRMED,STOP_LOSS,-1.1
2944,2021-11-26,TOP,SKIP,-1,WEAK_BEAR,BUBBLE_SELL_DISTRIBUTION,NAS_NEUTRAL,SMC_NONE,RSI_NO_DIV,SKIP_CONFIRMED,STOP_LOSS,-1.1
2991,2021-12-08,TOP,SKIP,-2,STRONG_BEAR_CONFIRM,BUBBLE_SELL_DISTRIBUTION,NAS_NEUTRAL,SMC_CHOCH_TOP_REVERSAL,RSI_NO_DIV,SKIP_CONFIRMED,STOP_LOSS,-1.1
