bar_idx,datetime,risk_atr,capped_realR,capped_exitype,mfe_R,mae_R,mae_before_mfe,max_run_R,runner_bucket,runner_flag,monster_flag,hit2,hit3,hit5,hit8,hit10,time_to_2R,time_to_max,stop_before_2R,realized_letrun_60,realized_letrun_120,realized_vstair_60,realized_vstair_120
1568,2021-01-06,1.4,-1.1,STOP_LOSS,0.46,2.14,0.21,0.46,R0_neg,0,0,False,False,False,False,False,,2,1,-1.0,-1.0,-1.0,-1.0
1623,2021-01-20,1.5,-1.1,STOP_LOSS,0.31,1.35,0.07,0.31,R0_neg,0,0,False,False,False,False,False,,1,1,-1.0,-1.0,-1.0,-1.0
1661,2021-01-28,1.5,-1.1,STOP_LOSS,0.0,1.27,0.0,0.0,R0_neg,0,0,False,False,False,False,False,,0,1,-1.0,-1.0,-1.0,-1.0
1761,2021-02-22,1.5,-1.1,STOP_LOSS,1.21,1.1,0.17,1.21,R0_neg,0,0,False,False,False,False,False,,5,1,-1.0,-1.0,-1.0,-1.0
1775,2021-02-24,1.38,-1.1,STOP_LOSS,0.53,1.27,0.07,0.53,R0_neg,0,0,False,False,False,False,False,,1,1,-1.0,-1.0,-1.0,-1.0
1836,2021-03-10,1.5,0.05,SCRATCH,0.95,1.21,0.25,0.95,R0_neg,0,0,False,False,False,False,False,,3,1,-1.0,-1.0,-1.0,-1.0
1873,2021-03-18,1.24,-1.1,STOP_LOSS,1.2,1.92,0.21,1.2,R0_neg,0,0,False,False,False,False,False,,6,1,-1.0,-1.0,-1.0,-1.0
1901,2021-03-25,0.79,-1.1,STOP_LOSS,1.36,3.18,0.89,1.36,R0_neg,0,0,False,False,False,False,False,,6,1,-1.0,-1.0,-1.0,-1.0
1941,2021-04-06,1.45,0.9,WIN_BE,6.04,0.76,0.76,6.04,R5_10,1,0,True,True,True,False,False,13,116,0,3.49,4.66,0.0,0.0
2034,2021-04-27,0.49,-1.1,STOP_LOSS,0.0,2.81,0.0,0.0,R0_neg,0,0,False,False,False,False,False,,0,1,-1.0,-1.0,-1.0,-1.0
2053,2021-05-02,0.93,3.32,WIN_HELD,16.88,0.16,0.16,16.88,R10p,1,1,True,True,True,True,True,3,105,0,9.51,16.3,0.0,0.0
2100,2021-05-12,0.33,1.78,WIN_HELD,2.39,1.46,0.68,2.39,R2_5,0,0,True,False,False,False,False,1,1,0,-1.0,-1.0,0.0,0.0
2110,2021-05-14,1.5,1.86,WIN_HELD,5.07,0.26,0.26,5.07,R5_10,1,0,True,True,True,False,False,9,70,0,3.88,2.39,3.88,2.0
2174,2021-05-31,1.5,-1.1,STOP_LOSS,0.81,1.2,0.39,0.81,R0_neg,0,0,False,False,False,False,False,,6,1,-1.0,-1.0,-1.0,-1.0
2188,2021-06-02,1.5,-1.1,STOP_LOSS,0.25,1.46,0.11,0.25,R0_neg,0,0,False,False,False,False,False,,2,1,-1.0,-1.0,-1.0,-1.0
2204,2021-06-07,1.5,-1.1,STOP_LOSS,1.21,1.27,0.04,1.21,R0_neg,0,0,False,False,False,False,False,,7,1,-1.0,-1.0,-1.0,-1.0
2222,2021-06-10,0.67,-1.1,STOP_LOSS,0.0,2.18,0.0,0.0,R0_neg,0,0,False,False,False,False,False,,0,1,-1.0,-1.0,-1.0,-1.0
2320,2021-07-02,1.5,1.47,WIN_HELD,3.56,0.27,0.27,3.56,R2_5,0,0,True,True,False,False,False,10,51,0,1.8,2.03,1.8,2.03
2364,2021-07-14,1.5,-1.1,STOP_LOSS,1.75,1.48,0.26,1.75,R0_neg,0,0,False,False,False,False,False,,7,1,-1.0,-1.0,-1.0,-1.0
2372,2021-07-15,0.87,-1.1,STOP_LOSS,1.0,1.48,0.77,1.0,R0_neg,0,0,False,False,False,False,False,,3,1,-1.0,-1.0,-1.0,-1.0
2428,2021-07-28,1.5,-1.1,STOP_LOSS,2.35,3.99,0.02,2.35,R2_5,0,0,True,False,False,False,False,5,5,0,-1.0,-1.0,0.0,0.0
2488,2021-08-11,1.5,1.02,SCRATCH,6.2,0.75,0.75,6.2,R5_10,1,0,True,True,True,False,False,11,101,0,2.93,2.81,2.93,2.81
2497,2021-08-13,1.5,1.99,WIN_HELD,7.42,0.15,0.15,7.42,R5_10,1,0,True,True,True,False,False,2,92,0,3.77,3.58,3.77,3.58
2544,2021-08-25,0.59,0.9,WIN_BE,0.6,2.39,0.83,0.6,R0_neg,0,0,False,False,False,False,False,,1,1,-1.0,-1.0,-1.0,-1.0
2663,2021-09-22,1.5,-1.1,STOP_LOSS,0.24,1.28,0.39,0.24,R0_neg,0,0,False,False,False,False,False,,1,1,-1.0,-1.0,-1.0,-1.0
2705,2021-10-01,1.5,1.19,SCRATCH,4.66,0.47,0.47,4.66,R2_5,0,0,True,True,False,False,False,32,93,0,3.05,3.35,0.0,0.0
2737,2021-10-08,1.5,-1.1,STOP_LOSS,0.0,1.37,0.0,0.0,R0_neg,0,0,False,False,False,False,False,,0,1,-1.0,-1.0,-1.0,-1.0
2747,2021-10-12,1.5,0.9,WIN_BE,5.38,0.64,0.64,5.38,R5_10,1,0,True,True,True,False,False,9,119,0,3.55,5.11,0.0,0.0
2859,2021-11-05,1.5,0.36,SCRATCH,4.16,1.1,0.38,4.16,R2_5,0,0,True,True,False,False,False,16,40,0,1.95,-1.0,1.95,0.0
2896,2021-11-15,1.5,-1.1,STOP_LOSS,0.81,1.49,0.71,0.81,R0_neg,0,0,False,False,False,False,False,,3,1,-1.0,-1.0,-1.0,-1.0
2905,2021-11-17,1.5,-1.1,STOP_LOSS,0.38,1.13,0.45,0.38,R0_neg,0,0,False,False,False,False,False,,3,1,-1.0,-1.0,-1.0,-1.0
2922,2021-11-22,0.33,-1.1,STOP_LOSS,0.0,9.22,0.0,0.0,R0_neg,0,0,False,False,False,False,False,,0,1,-1.0,-1.0,-1.0,-1.0
2944,2021-11-26,1.5,-1.1,STOP_LOSS,1.46,2.1,0.58,1.46,R0_neg,0,0,False,False,False,False,False,,2,1,-1.0,-1.0,-1.0,-1.0
2991,2021-12-08,1.5,-1.1,STOP_LOSS,0.45,1.52,0.29,0.45,R0_neg,0,0,False,False,False,False,False,,1,1,-1.0,-1.0,-1.0,-1.0
3011,2021-12-13,1.5,-1.1,STOP_LOSS,0.12,2.17,0.34,0.12,R0_neg,0,0,False,False,False,False,False,,1,1,-1.0,-1.0,-1.0,-1.0
3029,2021-12-16,1.5,0.59,SCRATCH,2.88,0.84,0.67,2.88,R2_5,0,0,True,False,False,False,False,42,63,0,2.17,2.35,0.0,0.0
3070,2021-12-28,1.5,-1.1,STOP_LOSS,0.29,1.54,0.93,0.29,R0_neg,0,0,False,False,False,False,False,,1,1,-1.0,-1.0,-1.0,-1.0
3085,2021-12-30,1.5,-1.1,STOP_LOSS,1.75,1.19,0.04,1.75,R0_neg,0,0,False,False,False,False,False,,7,1,-1.0,-1.0,-1.0,-1.0
3102,2022-01-04,1.5,-1.1,STOP_LOSS,1.23,1.33,0.22,1.23,R0_neg,0,0,False,False,False,False,False,,5,1,-1.0,-1.0,-1.0,-1.0
3118,2022-01-07,0.69,0.99,SCRATCH,0.0,1.51,0.0,0.0,R0_neg,0,0,False,False,False,False,False,,0,1,-1.0,-1.0,-1.0,-1.0
3126,2022-01-10,1.37,2.02,WIN_HELD,5.05,1.29,0.05,5.05,R5_10,1,0,True,True,True,False,False,7,67,0,3.86,-1.0,3.86,2.0
3147,2022-01-14,1.5,-1.1,STOP_LOSS,0.27,1.47,0.63,0.27,R0_neg,0,0,False,False,False,False,False,,1,1,-1.0,-1.0,-1.0,-1.0
3162,2022-01-18,1.35,-1.1,STOP_LOSS,4.84,1.92,0.39,4.84,R2_5,0,0,True,True,False,False,False,6,31,0,-1.0,-1.0,0.0,0.0
3178,2022-01-21,0.83,-1.1,STOP_LOSS,3.16,3.05,0.88,3.16,R2_5,0,0,True,True,False,False,False,13,15,0,-1.0,-1.0,0.0,0.0
3190,2022-01-25,1.14,-1.1,STOP_LOSS,1.81,2.58,0.09,1.81,R0_neg,0,0,False,False,False,False,False,,3,1,-1.0,-1.0,-1.0,-1.0
3219,2022-02-01,1.5,2.66,WIN_HELD,0.92,1.27,0.7,0.92,R0_neg,0,0,False,False,False,False,False,,9,1,-1.0,-1.0,-1.0,-1.0
3238,2022-02-04,1.5,2.41,WIN_HELD,0.0,2.17,0.0,0.0,R0_neg,0,0,False,False,False,False,False,,0,1,-1.0,-1.0,-1.0,-1.0
3252,2022-02-08,1.5,1.84,WIN_HELD,23.67,0.71,0.71,23.67,R10p,1,1,True,True,True,True,True,18,120,0,7.36,21.12,2.0,2.0
3326,2022-02-24,1.5,-1.1,STOP_LOSS,0.29,1.02,0.22,0.29,R0_neg,0,0,False,False,False,False,False,,2,1,-1.0,-1.0,-1.0,-1.0
3443,2022-03-24,1.5,-1.1,STOP_LOSS,0.82,1.32,0.17,0.82,R0_neg,0,0,False,False,False,False,False,,1,1,-1.0,-1.0,-1.0,-1.0
3474,2022-03-31,1.5,0.38,SCRATCH,0.02,1.37,0.62,0.02,R0_neg,0,0,False,False,False,False,False,,1,1,-1.0,-1.0,-1.0,-1.0
3491,2022-04-05,1.5,0.9,WIN_BE,0.0,1.66,0.0,0.0,R0_neg,0,0,False,False,False,False,False,,0,1,-1.0,-1.0,-1.0,-1.0
3509,2022-04-08,1.41,0.9,WIN_BE,4.61,1.02,0.04,4.61,R2_5,0,0,True,True,False,False,False,6,30,0,-1.0,-1.0,0.0,0.0
