episode_id,bar_idx,ts,datetime,price,atr,macro_leg_direction,macro_leg_phase,trend_30_atr,trend_90_atr,slope20_atr,dist_sma20_atr,dist_sma50_atr,price_vs_sma50,rsi_1d,rsi_1d_ma,rsi_1d_sub_ma,drop20_atr,rise20_atr,rsi,rsi_min8,rsi_max8,rsi_vs_ma,rsi_drop_6b,consec_down,consec_up,range_exp,atr_level,atr_pctile_proxy,sweet_spot_falling_knife,legpos30,legpos60,legpos90,rsi_bear_div_20b,rsi_bull_div_20b,nas_long_new_8b,nas_short_new_8b,nas_dist_ema_atr,nas_rsi,nas_1d_long_recent,bub_buy_s,bub_buy_m,bub_buy_L,bub_sell_s,bub_sell_m,bub_sell_L,bub_poc_recent,bub_buy_total,bub_sell_total,bub_buy_sell_ratio,bub_large_sell_10b,bub_large_buy_10b,has_4h_demand,dist_4h_demand_low_atr,demand_width_atr,demand_age_bars,demand_touched_on_retest,demand_origin_of_leg,has_d1_demand,dist_d1_demand_atr,has_4h_supply_overhead,dist_4h_supply_low_atr,supply_blocks_2ATR,supply_blocks_3ATR,supply_rejected_before,supply_broken_before,has_d1_supply,dist_d1_supply_atr,rel_volume,below_VAL,dist_POC_atr,dist_VAL_atr,va_width_atr,smc_bos,smc_choch_bars_ago,smc_choch_text,reclaim_body_atr,reclaim_dist_from_demand_atr,reclaim_dist_from_supply_atr,sl_atr,sl_source,sl_type,F_STRICT_top_late,hour_utc,dead_hour
,631,1590688800,2020-05-28 18:00,1717.98,9.43,REFERENCE_ONLY,REFERENCE_ONLY,-0.45,-0.18,-1.35,0.09,-1.18,below,49.5,57.3,True,1.75,1.88,44.1,28.79,52.67,above,8.6,0,1,0.95,9.43,0.98,False,52.3,34.0,35.5,0,0,0,0,,44.1,0,0,0,0,0,1,0,0,0,1,0.0,1,0,1,2.58,1.32,,1,1,1,1.94,1,1.34,1,1,0,0,1,1.15,0.52,False,-0.27,0.27,0.99,,,,0.54,1.26,1.34,2.68,demand,NORMAL_DEMAND_BASE,False,18,True
,685,1591812000,2020-06-10 18:00,1738.41,10.41,REFERENCE_ONLY,REFERENCE_ONLY,3.87,-1.05,5.61,3.18,2.25,above,50.7,49.2,False,0.0,5.61,53.96,53.96,63.38,below,9.4,0,1,3.58,10.41,1.08,True,98.1,90.9,81.5,0,0,0,0,0.25,53.96,0,2,1,0,0,0,0,0,3,0,3,0,1,1,4.43,1.14,,1,0,1,2.37,1,0.73,1,1,0,0,0,,1.39,False,1.97,2.29,0.89,,1,CHOCH,2.3,3.29,0.73,4.53,demand,NORMAL_DEMAND_BASE,False,18,True
,702,1592229600,2020-06-15 14:00,1722.29,11.25,REFERENCE_ONLY,REFERENCE_ONLY,2.21,-0.32,0.31,-0.49,0.83,above,55.2,50.4,False,1.69,1.26,40.59,40.59,63.57,below,23.0,0,1,1.53,11.25,1.15,True,60.1,69.3,69.3,0,0,0,0,,40.59,0,1,0,0,0,1,0,0,1,1,1.0,1,0,1,1.28,1.05,,1,1,1,1.08,1,0.8,1,1,1,0,1,0.03,1.67,False,0.76,1.27,1.35,,3,CHOCH,1.26,0.23,0.8,1.38,demand,V_REVERSAL_DEMAND,False,14,False
,766,1593496800,2020-06-30 06:00,1770.39,7.81,REFERENCE_ONLY,REFERENCE_ONLY,1.69,7.9,0.87,0.57,1.8,above,64.6,59.5,False,0.34,2.66,57.17,57.13,61.16,above,4.0,3,0,0.55,7.81,0.8,False,72.4,86.8,89.9,0,0,0,0,1.83,57.17,0,1,0,0,0,0,0,0,1,0,1,0,0,1,2.94,1.43,,1,1,1,2.05,0,,0,0,0,0,0,,,False,-0.02,0.13,0.3,,8,CHOCH,-0.03,1.51,,0.72,demand,NORMAL_DEMAND_BASE,False,6,False
,780,1593698400,2020-07-02 14:00,1776.95,9.32,REFERENCE_ONLY,REFERENCE_ONLY,1.55,4.81,0.82,0.35,1.0,above,60.9,61.1,True,1.08,1.16,53.39,45.97,70.81,below,0.0,0,3,0.79,9.32,1.0,False,70.9,83.1,85.7,0,0,0,0,1.1,53.39,0,2,2,0,0,0,0,0,4,0,4,0,2,1,1.91,1.16,,1,0,1,2.38,1,0.66,1,1,1,0,0,,1.17,False,0.47,1.21,1.09,,,,0.36,0.75,0.66,2.01,demand,V_REVERSAL_DEMAND,False,14,False
,833,1594821600,2020-07-15 14:00,1811.22,7.54,REFERENCE_ONLY,REFERENCE_ONLY,0.09,5.67,0.61,0.84,1.77,above,67.9,65.6,False,0.0,1.87,51.32,48.64,59.19,below,7.9,0,1,1.3,7.54,0.94,True,75.6,88.9,90.5,0,0,0,0,1.03,51.32,0,0,5,1,0,0,0,0,6,0,6,0,6,1,2.76,1.34,,1,1,1,1.71,0,,0,0,0,0,0,,1.19,False,0.36,0.88,0.77,,,,0.95,1.42,,2.86,demand,NORMAL_DEMAND_BASE,False,14,False
,845,1594994400,2020-07-17 14:00,1810.96,5.74,REFERENCE_ONLY,REFERENCE_ONLY,2.02,10.7,2.06,0.93,1.2,above,59.6,65.3,True,0.05,2.48,55.08,41.05,55.08,above,0.0,0,4,1.07,5.74,0.75,False,83.5,85.4,90.1,0,0,0,0,1.28,55.08,0,0,1,0,0,0,0,0,1,0,1,0,1,1,2.8,0.51,,1,0,1,1.69,0,,0,0,0,0,0,,1.1,False,2.11,2.64,2.01,,4,CHOCH,0.63,2.29,,2.9,demand,NORMAL_DEMAND_BASE,False,14,False
,866,1595469600,2020-07-23 02:00,1869.42,10.89,REFERENCE_ONLY,REFERENCE_ONLY,5.62,9.18,5.49,2.87,4.68,above,77.6,68.0,False,0.19,5.7,77.26,75.45,85.97,below,8.7,0,1,0.69,10.89,1.52,False,91.3,91.8,94.1,0,0,0,0,4.86,77.26,0,2,4,3,0,0,0,0,9,0,9,0,9,1,7.25,0.94,,0,0,1,2.87,0,,0,0,0,0,0,,0.86,False,-0.04,0.48,0.64,,14,CHOCH,0.27,6.31,,6.94,swing,TOP_EXHAUSTION,True,2,True
,886,1595930400,2020-07-28 10:00,1934.93,19.98,REFERENCE_ONLY,REFERENCE_ONLY,4.81,7.51,3.28,1.0,3.65,above,88.5,72.1,False,1.84,3.28,61.98,61.98,91.5,below,29.5,0,1,0.99,19.98,2.41,False,70.7,75.8,77.6,0,0,0,0,3.17,61.98,0,5,4,0,0,0,0,0,9,0,9,0,4,1,7.23,0.52,,0,0,1,4.48,0,,0,0,0,0,0,,1.28,False,0.25,0.33,2.02,,,,0.26,6.72,,7.11,swing,LATE_WIDE,False,10,False
,901,1596146400,2020-07-30 22:00,1965.13,14.64,REFERENCE_ONLY,REFERENCE_ONLY,5.54,11.06,1.71,0.74,3.94,above,82.2,74.5,False,0.44,2.42,61.01,60.19,70.12,below,9.1,0,2,0.78,14.64,1.42,False,84.0,91.4,91.6,0,0,0,0,2.79,60.51,0,2,7,0,0,0,0,0,9,0,9,0,9,1,1.62,0.72,,1,1,1,5.19,1,0.36,1,1,1,0,0,,0.55,False,0.67,0.67,0.0,,,,0.67,0.9,0.36,1.72,demand,V_REVERSAL_DEMAND,False,22,False
