candidate_id,timestamp,label,gt_id,fragile,anatomy_class,supply_category,demand_category,mfe_atr_36,mae_atr_36
C6641,2024-04-18 18:00,UNKNOWN,,no,GOOD_CONTINUATION,CLEAN_SKY,DEMAND_ABSENT_OR_IRRELEVANT,2.25,5.08
C6655,2024-04-23 02:00,UNKNOWN,,no,GOOD_CONTINUATION,CLEAN_SKY,DEMAND_ORIGIN_OF_LEG,2.08,1.25
C6656,2024-04-23 06:00,UNKNOWN,,no,GOOD_CONTINUATION,CLEAN_SKY,DEMAND_ORIGIN_OF_LEG,2.9,0.72
C6662,2024-04-24 06:00,UNKNOWN,,no,GOOD_CONTINUATION,SUPPLY_NEAR_AND_REJECTING,DEMAND_SUPPORTING_RETEST,2.0,1.77
C6665,2024-04-24 18:00,UNKNOWN,,no,GOOD_CONTINUATION,SUPPLY_NEAR_AND_REJECTING,DEMAND_SUPPORTING_RETEST,2.09,1.95
C6669,2024-04-25 10:00,UNKNOWN,,no,GOOD_CONTINUATION,SUPPLY_NEAR_AND_REJECTING,DEMAND_SUPPORTING_RETEST,2.09,2.6
C6712,2024-05-06 14:00,UNKNOWN,,no,GOOD_CONTINUATION,SUPPLY_BLOCKS_TARGET,DEMAND_SUPPORTING_RETEST,3.57,1.4
C6715,2024-05-07 02:00,UNKNOWN,,no,GOOD_CONTINUATION,SUPPLY_BLOCKS_TARGET,DEMAND_SUPPORTING_RETEST,4.4,1.39
C6729,2024-05-09 10:00,UNKNOWN,,no,STRONG_CONTINUATION,SUPPLY_BLOCKS_TARGET,DEMAND_SUPPORTING_RETEST,7.17,0.09
C6730,2024-05-09 14:00,UNKNOWN,,no,STRONG_CONTINUATION,SUPPLY_NEAR_BUT_BROKEN,DEMAND_SUPPORTING_RETEST,7.25,0.25
C6741,2024-05-13 10:00,UNKNOWN,,no,STRONG_CONTINUATION,SUPPLY_BLOCKS_TARGET,DEMAND_SUPPORTING_RETEST,7.64,0.88
C6742,2024-05-13 14:00,UNKNOWN,,no,STRONG_CONTINUATION,SUPPLY_FAR_ENOUGH,DEMAND_ORIGIN_OF_LEG,8.07,0.08
C6743,2024-05-13 18:00,UNKNOWN,,no,STRONG_CONTINUATION,SUPPLY_FAR_ENOUGH,DEMAND_ORIGIN_OF_LEG,8.89,0.11
C6744,2024-05-13 22:00,UNKNOWN,,no,STRONG_CONTINUATION,SUPPLY_BLOCKS_TARGET,DEMAND_ORIGIN_OF_LEG,8.85,0.49
C6749,2024-05-14 18:00,UNKNOWN,,no,STRONG_CONTINUATION,SUPPLY_NEAR_AND_REJECTING,DEMAND_SUPPORTING_RETEST,8.61,0.56
C6750,2024-05-14 22:00,UNKNOWN,,no,STRONG_CONTINUATION,SUPPLY_FRESH_DANGEROUS,DEMAND_SUPPORTING_RETEST,9.42,0.57
C6751,2024-05-15 02:00,UNKNOWN,,no,STRONG_CONTINUATION,SUPPLY_FRESH_DANGEROUS,DEMAND_SUPPORTING_RETEST,9.73,0.72
C6767,2024-05-17 18:00,UNKNOWN,,no,GOOD_CONTINUATION,SUPPLY_NEAR_AND_REJECTING,DEMAND_SUPPORTING_RETEST,2.81,7.01
C6791,2024-05-23 18:00,UNKNOWN,,no,GOOD_CONTINUATION,CLEAN_SKY,DEMAND_ORIGIN_OF_LEG,2.29,0.51
C6792,2024-05-23 22:00,UNKNOWN,,no,GOOD_CONTINUATION,CLEAN_SKY,DEMAND_ORIGIN_OF_LEG,2.01,0.88
C6797,2024-05-24 18:00,UNKNOWN,,no,GOOD_CONTINUATION,CLEAN_SKY,DEMAND_ORIGIN_OF_LEG,2.0,1.26
C6844,2024-06-05 14:00,UNKNOWN,,no,GOOD_CONTINUATION,CLEAN_SKY,DEMAND_SUPPORTING_RETEST,2.43,5.1
C6845,2024-06-05 18:00,UNKNOWN,,no,GOOD_CONTINUATION,CLEAN_SKY,DEMAND_SUPPORTING_RETEST,2.52,5.3
C6848,2024-06-06 06:00,UNKNOWN,,no,GOOD_CONTINUATION,CLEAN_SKY,DEMAND_SUPPORTING_RETEST,2.01,5.76
C6849,2024-06-06 10:00,UNKNOWN,,no,GOOD_CONTINUATION,CLEAN_SKY,DEMAND_SUPPORTING_RETEST,2.0,5.44
C6908,2024-06-20 06:00,UNKNOWN,,no,STRONG_CONTINUATION,CLEAN_SKY,DEMAND_ABSENT_OR_IRRELEVANT,3.68,4.45
C6962,2024-07-03 06:00,UNKNOWN,,no,STRONG_CONTINUATION,SUPPLY_FRESH_DANGEROUS,DEMAND_SUPPORTING_RETEST,4.68,0.39
C6965,2024-07-03 18:00,UNKNOWN,,no,STRONG_CONTINUATION,SUPPLY_BLOCKS_TARGET,DEMAND_SUPPORTING_RETEST,6.83,0.73
C6992,2024-07-10 06:00,UNKNOWN,,no,STRONG_CONTINUATION,SUPPLY_BLOCKS_TARGET,DEMAND_SUPPORTING_RETEST,10.86,0.19
C6995,2024-07-10 18:00,UNKNOWN,,no,STRONG_CONTINUATION,SUPPLY_BLOCKS_TARGET,DEMAND_SUPPORTING_RETEST,10.7,0.0
C6996,2024-07-10 22:00,UNKNOWN,,no,STRONG_CONTINUATION,SUPPLY_BLOCKS_TARGET,DEMAND_SUPPORTING_RETEST,12.21,0.18
C7005,2024-07-12 10:00,UNKNOWN,,no,STRONG_CONTINUATION,SUPPLY_NEAR_AND_REJECTING,DEMAND_TOO_DEEP,7.03,1.33
C7006,2024-07-12 14:00,UNKNOWN,,no,GOOD_CONTINUATION,SUPPLY_BLOCKS_TARGET,DEMAND_ABSENT_OR_IRRELEVANT,5.55,2.87
C7011,2024-07-15 10:00,UNKNOWN,,no,STRONG_CONTINUATION,SUPPLY_BLOCKS_TARGET,DEMAND_SUPPORTING_RETEST,5.53,3.02
C7012,2024-07-15 14:00,UNKNOWN,,no,STRONG_CONTINUATION,SUPPLY_BLOCKS_TARGET,DEMAND_SUPPORTING_RETEST,4.86,2.95
C7013,2024-07-15 18:00,UNKNOWN,,no,STRONG_CONTINUATION,SUPPLY_BLOCKS_TARGET,DEMAND_SUPPORTING_RETEST,5.78,3.61
C7014,2024-07-15 22:00,UNKNOWN,,no,STRONG_CONTINUATION,SUPPLY_BLOCKS_TARGET,DEMAND_SUPPORTING_RETEST,5.79,4.46
C7015,2024-07-16 02:00,UNKNOWN,,no,STRONG_CONTINUATION,SUPPLY_NEAR_AND_REJECTING,DEMAND_SUPPORTING_RETEST,5.24,4.87
C7036,2024-07-19 14:00,UNKNOWN,,no,GOOD_CONTINUATION,CLEAN_SKY,DEMAND_PRESENT_NEUTRAL,2.19,3.07
C7037,2024-07-19 18:00,UNKNOWN,,no,GOOD_CONTINUATION,CLEAN_SKY,DEMAND_PRESENT_NEUTRAL,2.25,3.36
C7041,2024-07-22 10:00,UNKNOWN,,no,GOOD_CONTINUATION,CLEAN_SKY,DEMAND_PRESENT_NEUTRAL,2.98,3.0
C7042,2024-07-22 14:00,UNKNOWN,,no,GOOD_CONTINUATION,CLEAN_SKY,DEMAND_PRESENT_NEUTRAL,2.85,3.06
C7043,2024-07-22 18:00,UNKNOWN,,no,GOOD_CONTINUATION,CLEAN_SKY,DEMAND_PRESENT_NEUTRAL,2.73,3.31
C7044,2024-07-22 22:00,UNKNOWN,,no,GOOD_CONTINUATION,CLEAN_SKY,DEMAND_TOO_DEEP,2.49,3.86
C7065,2024-07-26 10:00,UNKNOWN,,no,STRONG_CONTINUATION,SUPPLY_FAR_ENOUGH,DEMAND_SUPPORTING_RETEST,6.17,1.11
C7066,2024-07-26 14:00,UNKNOWN,,no,STRONG_CONTINUATION,SUPPLY_FAR_ENOUGH,DEMAND_SUPPORTING_RETEST,6.0,1.23
C7072,2024-07-29 14:00,UNKNOWN,,no,STRONG_CONTINUATION,SUPPLY_NEAR_AND_REJECTING,DEMAND_SUPPORTING_RETEST,7.67,1.08
C7073,2024-07-29 18:00,UNKNOWN,,no,STRONG_CONTINUATION,SUPPLY_NEAR_AND_REJECTING,DEMAND_SUPPORTING_RETEST,7.78,1.59
C7074,2024-07-29 22:00,UNKNOWN,,no,STRONG_CONTINUATION,SUPPLY_NEAR_AND_REJECTING,DEMAND_SUPPORTING_RETEST,8.44,1.34
C7076,2024-07-30 06:00,UNKNOWN,,no,STRONG_CONTINUATION,SUPPLY_NEAR_AND_REJECTING,DEMAND_SUPPORTING_RETEST,8.31,2.35
C7077,2024-07-30 10:00,UNKNOWN,,no,STRONG_CONTINUATION,SUPPLY_FAR_ENOUGH,DEMAND_SUPPORTING_RETEST,7.82,2.78
C7079,2024-07-30 18:00,UNKNOWN,,no,STRONG_CONTINUATION,SUPPLY_FRESH_DANGEROUS,DEMAND_SUPPORTING_RETEST,5.69,3.99
C7080,2024-07-30 22:00,UNKNOWN,,no,STRONG_CONTINUATION,SUPPLY_FRESH_DANGEROUS,DEMAND_SUPPORTING_RETEST,5.93,3.89
C7082,2024-07-31 06:00,UNKNOWN,,no,STRONG_CONTINUATION,CLEAN_SKY,DEMAND_SUPPORTING_RETEST,4.72,4.72
C7083,2024-07-31 10:00,UNKNOWN,,no,STRONG_CONTINUATION,SUPPLY_FAR_ENOUGH,DEMAND_SUPPORTING_RETEST,4.18,5.03
C7084,2024-07-31 14:00,UNKNOWN,,no,STRONG_CONTINUATION,SUPPLY_FAR_ENOUGH,DEMAND_SUPPORTING_RETEST,4.21,4.93
C7087,2024-08-01 02:00,UNKNOWN,,no,GOOD_CONTINUATION,SUPPLY_BLOCKS_TARGET,DEMAND_ABSENT_OR_IRRELEVANT,2.3,6.19
C7102,2024-08-05 14:00,UNKNOWN,,no,GOOD_CONTINUATION,SUPPLY_FAR_ENOUGH,DEMAND_SUPPORTING_RETEST,2.61,0.94
C7103,2024-08-05 18:00,UNKNOWN,,no,GOOD_CONTINUATION,SUPPLY_FAR_ENOUGH,DEMAND_SUPPORTING_RETEST,2.53,1.17
C7104,2024-08-05 22:00,UNKNOWN,,no,GOOD_CONTINUATION,SUPPLY_FAR_ENOUGH,DEMAND_SUPPORTING_RETEST,2.53,1.31
C7106,2024-08-06 06:00,UNKNOWN,,no,GOOD_CONTINUATION,SUPPLY_FAR_ENOUGH,DEMAND_SUPPORTING_RETEST,2.52,1.32
C7119,2024-08-08 10:00,UNKNOWN,,no,STRONG_CONTINUATION,SUPPLY_FAR_ENOUGH,DEMAND_SUPPORTING_RETEST,5.97,0.34
C7129,2024-08-12 02:00,UNKNOWN,,no,STRONG_CONTINUATION,SUPPLY_FAR_ENOUGH,DEMAND_SUPPORTING_RETEST,7.16,0.25
C7149,2024-08-15 10:00,UNKNOWN,,no,STRONG_CONTINUATION,SUPPLY_BLOCKS_TARGET,DEMAND_PRESENT_NEUTRAL,6.28,-0.0
C7154,2024-08-16 06:00,UNKNOWN,,no,STRONG_CONTINUATION,CLEAN_SKY,DEMAND_SUPPORTING_RETEST,4.94,0.04
C7158,2024-08-18 22:00,UNKNOWN,,no,GOOD_CONTINUATION,CLEAN_SKY,DEMAND_SUPPORTING_RETEST,2.34,1.9
C7159,2024-08-19 02:00,UNKNOWN,,no,GOOD_CONTINUATION,CLEAN_SKY,DEMAND_SUPPORTING_RETEST,2.11,2.09
C7163,2024-08-19 18:00,UNKNOWN,,no,GOOD_CONTINUATION,CLEAN_SKY,DEMAND_ABSENT_OR_IRRELEVANT,2.09,2.53
C7180,2024-08-22 14:00,UNKNOWN,,no,STRONG_CONTINUATION,SUPPLY_FAR_ENOUGH,DEMAND_PRESENT_NEUTRAL,3.42,0.28
C7181,2024-08-22 18:00,UNKNOWN,,no,STRONG_CONTINUATION,SUPPLY_FAR_ENOUGH,DEMAND_PRESENT_NEUTRAL,3.35,0.02
C7232,2024-09-04 06:00,UNKNOWN,,no,STRONG_CONTINUATION,SUPPLY_BLOCKS_TARGET,DEMAND_TOO_DEEP,4.61,0.04
C7233,2024-09-04 10:00,UNKNOWN,,no,STRONG_CONTINUATION,SUPPLY_NEAR_AND_REJECTING,DEMAND_TOO_DEEP,6.41,0.07
C7253,2024-09-09 18:00,UNKNOWN,,no,STRONG_CONTINUATION,SUPPLY_NEAR_AND_REJECTING,DEMAND_SUPPORTING_RETEST,6.9,0.52
C7257,2024-09-10 10:00,UNKNOWN,,no,STRONG_CONTINUATION,SUPPLY_NEAR_AND_REJECTING,DEMAND_SUPPORTING_RETEST,7.06,0.53
C7258,2024-09-10 14:00,UNKNOWN,,no,STRONG_CONTINUATION,SUPPLY_NEAR_AND_REJECTING,DEMAND_SUPPORTING_RETEST,6.09,0.98
C7259,2024-09-10 18:00,UNKNOWN,,no,GOOD_CONTINUATION,SUPPLY_NEAR_AND_REJECTING,DEMAND_SUPPORTING_RETEST,7.59,1.44
C7263,2024-09-11 10:00,UNKNOWN,,no,STRONG_CONTINUATION,SUPPLY_NEAR_AND_REJECTING,DEMAND_SUPPORTING_RETEST,9.05,0.88
