idx,entry_ts,year,label,SL_ATR,bucket,structural_R,how,cap4_reject_kept,cap4_clamp_R
4372,2022-10-28 06:00,2022,UNKNOWN,1.37,LE4,-1.1,stop,kept,-1.1
4384,2022-11-01 06:00,2022,UNKNOWN,1.6,LE4,-1.1,stop,kept,-1.1
4409,2022-11-07 11:00,2022,BOM,5.92,GT4,0.86,time,REJECTED,1.61
4429,2022-11-10 19:00,2022,UNKNOWN,4.33,GT4,-0.11,time,REJECTED,-0.11
4483,2022-11-23 19:00,2022,UNKNOWN,2.13,LE4,1.82,time,kept,1.82
4513,2022-11-30 23:00,2022,UNKNOWN,3.97,LE4,0.49,time,kept,0.49
4560,2022-12-12 19:00,2022,BOM,2.04,LE4,0.9,be,kept,0.9
4574,2022-12-15 03:00,2022,UNKNOWN,1.8,LE4,-1.1,stop,kept,-1.1
4609,2022-12-22 23:00,2022,UNKNOWN,1.24,LE4,3.9,runner,kept,3.9
4644,2023-01-03 19:00,2023,BOM,4.43,GT4,1.69,time,REJECTED,1.78
4677,2023-01-11 07:00,2023,UNKNOWN,2.32,LE4,2.05,time,kept,2.05
4763,2023-01-31 15:00,2023,UNKNOWN,1.26,LE4,0.9,be,kept,0.9
4899,2023-03-03 07:00,2023,UNKNOWN,2.65,LE4,-1.1,stop,kept,-1.1
4908,2023-03-06 19:00,2023,UNKNOWN,2.79,LE4,-1.1,stop,kept,-1.1
4918,2023-03-08 11:00,2023,UNKNOWN,2.3,LE4,3.9,runner,kept,3.9
4926,2023-03-09 19:00,2023,UNKNOWN,2.97,LE4,3.9,runner,kept,3.9
4964,2023-03-20 02:00,2023,UNKNOWN,7.05,GT4,-0.43,time,REJECTED,-0.68
4996,2023-03-27 10:00,2023,UNKNOWN,1.27,LE4,2.51,time,kept,2.51
5016,2023-03-30 18:00,2023,UNKNOWN,2.76,LE4,-1.1,stop,kept,-1.1
5042,2023-04-06 02:00,2023,UNKNOWN,6.73,GT4,-0.41,time,REJECTED,-1.1
5055,2023-04-11 06:00,2023,UNKNOWN,5.26,GT4,-0.39,time,REJECTED,-0.49
5087,2023-04-18 14:00,2023,UNKNOWN,1.98,LE4,-1.1,stop,kept,-1.1
5103,2023-04-21 06:00,2023,UNKNOWN,1.62,LE4,2.34,time,kept,2.34
5147,2023-05-02 14:00,2023,UNKNOWN,3.38,LE4,-0.79,time,kept,-0.79
5165,2023-05-05 14:00,2023,UNKNOWN,2.34,LE4,-1.1,stop,kept,-1.1
5296,2023-06-06 10:00,2023,UNKNOWN,2.29,LE4,-1.1,stop,kept,-1.1
5321,2023-06-12 14:00,2023,UNKNOWN,1.97,LE4,-1.1,stop,kept,-1.1
5331,2023-06-14 06:00,2023,UNKNOWN,0.35,LE4,-1.1,stop,kept,-1.1
5350,2023-06-19 10:00,2023,UNKNOWN,3.4,LE4,-1.1,stop,kept,-1.1
5414,2023-07-04 02:00,2023,UNKNOWN,4.99,GT4,1.03,time,REJECTED,1.31
5435,2023-07-07 14:00,2023,UNKNOWN,3.01,LE4,1.61,time,kept,1.61
5478,2023-07-18 18:00,2023,UNKNOWN,4.51,GT4,-1.1,stop,REJECTED,-1.1
5530,2023-07-31 10:00,2023,UNKNOWN,3.16,LE4,-1.1,stop,kept,-1.1
5555,2023-08-04 14:00,2023,UNKNOWN,1.81,LE4,-1.1,stop,kept,-1.1
5627,2023-08-22 14:00,2023,UNKNOWN,1.89,LE4,1.96,time,kept,1.96
5668,2023-08-31 10:00,2023,UNKNOWN,5.05,GT4,-1.1,stop,REJECTED,-1.1
5701,2023-09-07 22:00,2023,UNKNOWN,2.26,LE4,-1.1,stop,kept,-1.1
5724,2023-09-13 18:00,2023,UNKNOWN,0.3,LE4,0.9,be,kept,0.9
5772,2023-09-25 18:00,2023,UNKNOWN,0.52,LE4,-1.1,stop,kept,-1.1
5826,2023-10-06 18:00,2023,UNKNOWN,2.72,LE4,3.9,runner,kept,3.9
5842,2023-10-11 10:00,2023,UNKNOWN,9.23,GT4,1.8,time,REJECTED,2.99
5866,2023-10-17 10:00,2023,UNKNOWN,5.73,GT4,1.13,time,REJECTED,1.65
5875,2023-10-18 22:00,2023,UNKNOWN,7.89,GT4,0.37,time,REJECTED,0.82
5920,2023-10-30 10:00,2023,UNKNOWN,2.83,LE4,-1.1,stop,kept,-1.1
5965,2023-11-08 23:00,2023,BOM,13.32,GT4,0.44,time,REJECTED,1.79
5998,2023-11-16 11:00,2023,UNKNOWN,2.87,LE4,2.0,time,kept,2.0
6049,2023-11-29 03:00,2023,UNKNOWN,6.92,GT4,-1.1,stop,REJECTED,0.9
6069,2023-12-04 11:00,2023,UNKNOWN,1.19,LE4,-1.1,stop,kept,-1.1
6119,2023-12-14 19:00,2023,UNKNOWN,5.36,GT4,0.31,time,REJECTED,0.45
6162,2023-12-26 23:00,2023,UNKNOWN,4.56,GT4,-1.1,stop,REJECTED,-1.1
6193,2024-01-04 03:00,2024,UNKNOWN,2.03,LE4,-1.1,stop,kept,-1.1
6210,2024-01-08 23:00,2024,UNKNOWN,1.08,LE4,-1.1,stop,kept,-1.1
6295,2024-01-29 03:00,2024,UNKNOWN,3.01,LE4,-0.32,time,kept,-0.32
6362,2024-02-13 07:00,2024,UNKNOWN,1.12,LE4,-1.1,stop,kept,-1.1
6376,2024-02-15 15:00,2024,UNKNOWN,2.46,LE4,1.89,time,kept,1.89
6453,2024-03-05 11:00,2024,UNKNOWN,7.62,GT4,0.13,time,REJECTED,0.33
6471,2024-03-08 11:00,2024,UNKNOWN,11.37,GT4,-0.05,time,REJECTED,0.04
6489,2024-03-13 10:00,2024,UNKNOWN,15.04,GT4,0.1,time,REJECTED,0.64
6523,2024-03-21 02:00,2024,UNKNOWN,5.53,GT4,1.17,time,REJECTED,-1.1
6597,2024-04-09 10:00,2024,UNKNOWN,4.82,GT4,-0.39,time,REJECTED,-0.45
6610,2024-04-11 14:00,2024,UNKNOWN,2.26,LE4,-1.1,stop,kept,-1.1
6711,2024-05-06 10:00,2024,UNKNOWN,3.36,LE4,1.78,time,kept,1.78
6729,2024-05-09 10:00,2024,UNKNOWN,1.94,LE4,1.69,time,kept,1.69
6741,2024-05-13 10:00,2024,UNKNOWN,2.81,LE4,0.9,be,kept,0.9
6767,2024-05-17 18:00,2024,UNKNOWN,3.53,LE4,-1.1,stop,kept,-1.1
6791,2024-05-23 18:00,2024,UNKNOWN,1.51,LE4,1.91,time,kept,1.91
6819,2024-05-30 10:00,2024,UNKNOWN,0.8,LE4,-1.1,stop,kept,-1.1
6832,2024-06-03 14:00,2024,UNKNOWN,2.1,LE4,-1.1,stop,kept,-1.1
6844,2024-06-05 14:00,2024,UNKNOWN,3.05,LE4,-1.1,stop,kept,-1.1
6887,2024-06-14 18:00,2024,UNKNOWN,3.0,LE4,-1.1,stop,kept,-1.1
6908,2024-06-20 06:00,2024,UNKNOWN,3.14,LE4,-1.1,stop,kept,-1.1
6923,2024-06-24 18:00,2024,UNKNOWN,1.62,LE4,-1.1,stop,kept,-1.1
6954,2024-07-01 22:00,2024,UNKNOWN,1.92,LE4,3.9,runner,kept,3.9
6962,2024-07-03 06:00,2024,UNKNOWN,2.86,LE4,3.16,time,kept,3.16
6977,2024-07-05 18:00,2024,UNKNOWN,7.98,GT4,0.03,time,REJECTED,-1.1
6992,2024-07-10 06:00,2024,UNKNOWN,2.15,LE4,1.84,time,kept,1.84
7022,2024-07-17 06:00,2024,UNKNOWN,6.38,GT4,-1.1,stop,REJECTED,-1.1
7053,2024-07-24 10:00,2024,UNKNOWN,3.45,LE4,-1.1,stop,kept,-1.1
7065,2024-07-26 10:00,2024,UNKNOWN,1.92,LE4,0.9,be,kept,0.9
7094,2024-08-02 06:00,2024,UNKNOWN,5.72,GT4,-1.1,stop,REJECTED,-1.1
7119,2024-08-08 10:00,2024,UNKNOWN,2.54,LE4,1.91,time,kept,1.91
7129,2024-08-12 02:00,2024,UNKNOWN,5.39,GT4,1.24,time,REJECTED,1.8
7149,2024-08-15 10:00,2024,UNKNOWN,4.82,GT4,0.98,time,REJECTED,1.2
7232,2024-09-04 06:00,2024,UNKNOWN,1.14,LE4,3.9,runner,kept,3.9
7253,2024-09-09 18:00,2024,UNKNOWN,1.86,LE4,3.61,time,kept,3.61
7408,2024-10-15 14:00,2024,UNKNOWN,5.01,GT4,1.58,time,REJECTED,1.95
7426,2024-10-18 14:00,2024,UNKNOWN,7.33,GT4,0.16,time,REJECTED,0.37
7454,2024-10-25 06:00,2024,UNKNOWN,1.11,LE4,0.9,be,kept,0.9
