bar_idx,datetime,mfe_R,capped,vstair,letrun,edge_class
6962,2024-07-03,9.19,3.16,5.0,4.99,RISK_SHAPING_EDGE
6977,2024-07-05,0.01,-1.1,-1.0,-1.0,NO_EDGE_DETECTED
6992,2024-07-10,7.24,1.78,2.0,-1.0,RISK_SHAPING_EDGE
7022,2024-07-17,0.41,-1.1,-1.0,-1.0,NO_EDGE_DETECTED
7053,2024-07-24,0.6,-1.1,-1.0,-1.0,NO_EDGE_DETECTED
7065,2024-07-26,6.42,0.9,0.0,5.0,RISK_SHAPING_EDGE
7094,2024-08-02,0.55,-1.1,-1.0,-1.0,NO_EDGE_DETECTED
7119,2024-08-08,5.44,1.91,4.66,4.66,CONVEXITY_ALPHA
7129,2024-08-12,6.15,0.9,0.0,3.38,RISK_SHAPING_EDGE
7149,2024-08-15,7.73,3.9,2.0,7.28,RISK_SHAPING_EDGE
7232,2024-09-04,18.67,3.9,15.68,15.68,CONVEXITY_ALPHA
7253,2024-09-09,9.88,3.61,7.52,7.52,CONVEXITY_ALPHA
7408,2024-10-15,6.69,1.58,2.0,-1.0,RISK_SHAPING_EDGE
7426,2024-10-18,4.61,0.37,0.0,-1.0,BETA_ONLY
7454,2024-10-25,12.45,0.9,8.0,-1.0,CONVEXITY_ALPHA
7509,2024-11-07,0.56,-1.1,-1.0,-1.0,NO_EDGE_DETECTED
7549,2024-11-18,5.53,1.5,2.0,2.67,RISK_SHAPING_EDGE
7569,2024-11-21,2.88,-1.1,0.0,-1.0,EXIT_MANAGEMENT_EDGE
7577,2024-11-22,0.0,-1.1,-1.0,-1.0,NO_EDGE_DETECTED
7662,2024-12-12,0.35,-1.1,-1.0,-1.0,NO_EDGE_DETECTED
7710,2024-12-26,0.93,1.21,-1.0,-1.0,NO_EDGE_DETECTED
7731,2024-12-31,9.69,2.05,0.0,7.55,RISK_SHAPING_EDGE
7765,2025-01-09,12.54,1.44,11.19,11.19,CONVEXITY_ALPHA
7797,2025-01-16,0.12,1.31,-1.0,-1.0,NO_EDGE_DETECTED
7816,2025-01-21,10.94,1.62,0.0,10.52,CONVEXITY_ALPHA
7838,2025-01-27,0.0,-1.1,-1.0,-1.0,NO_EDGE_DETECTED
7869,2025-02-03,5.47,0.89,2.0,2.79,RISK_SHAPING_EDGE
7902,2025-02-11,0.02,0.17,-1.0,-1.0,NO_EDGE_DETECTED
7924,2025-02-14,9.59,3.9,5.0,-1.0,RISK_SHAPING_EDGE
7933,2025-02-18,2.16,-1.1,0.0,-1.0,EXIT_MANAGEMENT_EDGE
7943,2025-02-19,0.75,-1.1,-1.0,-1.0,NO_EDGE_DETECTED
7993,2025-03-04,0.58,1.16,-1.0,-1.0,NO_EDGE_DETECTED
8080,2025-03-24,14.4,3.9,8.0,-1.0,CONVEXITY_ALPHA
