candidate_id,timestamp,source,label,GT_match,NAO_match,gt_id,at_D1_demand,inside_d1_demand,dist_above_d1_atr,d1_record_used_ts,supply_overhead,dist_to_supply,inside_custom_ob_demand,near_custom_ob_demand,dist_to_demand,inside_custom_ob_supply,macro_leg_id,macro_leg_phase,macro_leg_direction,feature_availability,context_notes
C1365,2020-11-17 11:00,fractal_3_3,UNKNOWN,no,no,,1,0,0.44,2020-11-16T21:58:59+00:00,0,64.88,0,0,14.35,1,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1429,2020-12-02 11:00,fractal_3_3,BOM,yes,no,GT09,0,0,1.16,2020-12-01T21:58:59+00:00,0,52.82,0,0,39.56,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1434,2020-12-03 07:00,fractal_3_3,UNKNOWN,no,no,,0,0,2.09,2020-12-02T21:58:59+00:00,0,32.1,0,0,60.28,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1437,2020-12-03 19:00,fractal_3_3,UNKNOWN,no,no,,0,0,2.15,2020-12-02T21:58:59+00:00,0,30.45,0,0,61.93,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1440,2020-12-04 07:00,fractal_3_3,UNKNOWN,no,no,,0,0,2.16,2020-12-03T21:58:59+00:00,0,31.56,0,1,4.68,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1442,2020-12-04 15:00,fractal_3_3,UNKNOWN,no,no,,0,0,2.01,2020-12-03T21:58:59+00:00,0,35.8,0,1,0.44,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1443,2020-12-04 19:00,fractal_3_3,UNKNOWN,no,no,,0,0,2.11,2020-12-03T21:58:59+00:00,0,32.78,0,1,3.46,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1444,2020-12-06 23:00,fractal_3_3,UNKNOWN,no,no,,0,0,1.66,2020-12-04T21:54:59+00:00,0,32.2,0,1,4.04,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1445,2020-12-07 03:00,fractal_3_3,UNKNOWN,no,no,,0,0,1.66,2020-12-04T21:54:59+00:00,0,31.96,0,1,4.28,1,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1449,2020-12-07 19:00,swing_high_simples,UNKNOWN,no,no,,0,0,2.43,2020-12-04T21:54:59+00:00,1,9.17,0,0,29.26,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1450,2020-12-07 23:00,swing_high_simples,UNKNOWN,no,no,,0,0,2.66,2020-12-07T21:58:59+00:00,1,3.75,0,0,34.35,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1452,2020-12-08 07:00,swing_high_simples,UNKNOWN,no,no,,0,0,2.52,2020-12-07T21:58:59+00:00,1,7.89,0,0,30.21,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1456,2020-12-08 23:00,swing_high_simples,UNKNOWN,no,no,,0,0,2.61,2020-12-08T21:58:59+00:00,1,5.14,0,0,32.96,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1458,2020-12-09 07:00,fractal_3_3,UNKNOWN,no,no,,0,0,2.34,2020-12-08T21:58:59+00:00,1,27.89,0,0,25.04,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1462,2020-12-09 23:00,fractal_3_3,UNKNOWN,no,no,,0,0,1.72,2020-12-09T21:58:59+00:00,0,45.36,0,0,7.57,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1464,2020-12-10 07:00,fractal_3_3,UNKNOWN,no,no,,0,0,1.55,2020-12-09T21:58:59+00:00,0,50.25,1,0,56.96,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1467,2020-12-10 19:00,fractal_3_3,UNKNOWN,no,no,,0,0,1.57,2020-12-09T21:58:59+00:00,0,49.55,0,1,0.01,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1468,2020-12-10 23:00,fractal_3_3,UNKNOWN,no,no,,0,0,1.6,2020-12-10T21:58:59+00:00,0,47.86,0,1,1.7,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1469,2020-12-11 03:00,fractal_3_3,UNKNOWN,no,no,,0,0,1.49,2020-12-10T21:58:59+00:00,1,4.13,1,0,55.78,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1472,2020-12-11 15:00,fractal_3_3,UNKNOWN,no,no,,0,0,1.68,2020-12-10T21:58:59+00:00,0,45.51,0,1,4.05,1,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1473,2020-12-11 19:00,fractal_3_3,UNKNOWN,no,no,,0,0,1.65,2020-12-10T21:58:59+00:00,0,46.4,0,1,3.16,1,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1474,2020-12-13 23:00,fractal_3_3,UNKNOWN,no,no,,0,0,1.56,2020-12-11T21:54:59+00:00,1,1.72,0,1,0.54,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1475,2020-12-14 03:00,fractal_3_3,UNKNOWN,no,no,,0,0,1.44,2020-12-11T21:54:59+00:00,1,5.29,1,0,54.62,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1476,2020-12-14 07:00,fractal_3_3,UNKNOWN,no,no,,0,0,1.14,2020-12-11T21:54:59+00:00,1,14.51,1,0,45.4,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1478,2020-12-14 15:00,fractal_3_3,UNKNOWN,no,no,,0,0,1.25,2020-12-11T21:54:59+00:00,1,10.98,1,0,48.73,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1479,2020-12-14 19:00,fractal_3_3,UNKNOWN,no,no,,0,0,1.23,2020-12-11T21:54:59+00:00,1,11.7,1,0,48.01,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1481,2020-12-15 03:00,fractal_3_3,UNKNOWN,no,no,,0,0,1.62,2020-12-14T21:58:59+00:00,0,46.08,0,0,9.84,1,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1483,2020-12-15 11:00,fractal_3_3,UNKNOWN,no,no,,0,0,1.97,2020-12-14T21:58:59+00:00,0,35.2,0,0,20.72,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1484,2020-12-15 15:00,fractal_3_3,UNKNOWN,no,no,,0,0,2.0,2020-12-14T21:58:59+00:00,0,34.09,0,0,21.83,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1485,2020-12-15 19:00,fractal_3_3,UNKNOWN,no,no,,0,0,2.04,2020-12-14T21:58:59+00:00,0,32.93,0,0,22.99,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1489,2020-12-16 11:00,fractal_3_3,BOM,yes,no,GT10,0,0,2.36,2020-12-15T21:58:59+00:00,0,31.89,0,0,24.03,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1490,2020-12-16 15:00,fractal_3_3,BOM,yes,no,GT10,0,0,2.41,2020-12-15T21:58:59+00:00,0,30.52,0,0,25.4,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
