n,out,fam,15M_atr_rel,15M_dem_below,15M_ema_trend,15M_nas_long,15M_nas_short,15M_px_vs_ema,15M_rsi,15M_rsi_slope,15M_smc_BOS,15M_smc_CHoCH,15M_smc_EQH,15M_smc_EQL,15M_sup_above,1D_atr_rel,1D_dem_below,1D_ema_trend,1D_nas_long,1D_nas_short,1D_px_vs_ema,1D_rsi,1D_rsi_slope,1D_smc_BOS,1D_smc_CHoCH,1D_smc_EQH,1D_smc_EQL,1D_sup_above,1H_atr_rel,1H_dem_below,1H_ema_trend,1H_nas_long,1H_nas_short,1H_px_vs_ema,1H_rsi,1H_rsi_slope,1H_smc_BOS,1H_smc_CHoCH,1H_smc_EQH,1H_smc_EQL,1H_sup_above,30M_atr_rel,30M_dem_below,30M_ema_trend,30M_nas_long,30M_nas_short,30M_px_vs_ema,30M_rsi,30M_rsi_slope,30M_smc_BOS,30M_smc_CHoCH,30M_smc_EQH,30M_smc_EQL,30M_sup_above,4H_atr_rel,4H_dem_below,4H_ema_trend,4H_nas_long,4H_nas_short,4H_px_vs_ema,4H_rsi,4H_rsi_slope,4H_smc_BOS,4H_smc_CHoCH,4H_smc_EQH,4H_smc_EQL,4H_sup_above,bub_buy_at_high,bub_buy_ml,bub_count,bub_net,bub_sell_absorbed_low,bub_sell_ml,mtf_bull_align,mtf_dem_conf,mtf_net_conf,mtf_sup_conf
53,1,WIN,0.0024,1.42,-0.434,0,0,0.122,44.58,4.619999999999997,0,0,0,0,0.55,0.0179,21.24,11.081,0,3,23.63,78.1,8.629999999999995,1,0,0,1,,0.0082,3.11,-1.164,0,3,-1.441,46.49,-6.669999999999995,0,1,0,0,6.74,0.0045,1.72,-1.0,0,0,-0.842,43.05,-0.04000000000000625,0,0,0,0,0.4,0.0099,11.84,5.8,0,3,4.128,74.27,-9.620000000000005,2,0,0,0,6.75,0,12,9,12,0,0,2,0,-2,2
54,1,WIN,0.0021,1.39,-0.352,0,0,0.517,44.56,-1.759999999999998,0,1,0,0,2.12,0.0186,35.54,13.383,0,3,34.589,81.37,14.540000000000006,1,0,0,1,,0.0043,8.96,0.823,0,5,1.509,57.83,-12.239999999999995,0,1,1,0,2.34,0.0031,2.09,-0.624,0,1,0.34,46.67,8.270000000000003,0,1,1,0,2.57,0.0106,15.61,6.703,0,5,9.468,78.96,10.64,2,0,0,0,,2,8,17,8,0,0,3,0,0,0
55,0,C,0.0072,2.0,-0.524,1,0,0.444,40.96,-0.990000000000002,0,0,0,0,0.29,0.0212,19.99,6.397,0,5,14.994,90.05,8.679999999999993,1,0,0,0,,0.0158,2.67,-1.656,0,4,-1.213,43.92,-16.009999999999998,0,1,0,0,4.62,0.0169,1.95,-1.071,0,0,-0.59,40.14,-2.1400000000000006,0,1,0,0,0.23,0.0203,8.8,3.898,0,4,2.207,77.42,-7.730000000000004,1,0,0,0,5.72,0,4,8,-2,1,6,2,0,-2,2
56,0,C,0.0078,0.09,-0.642,4,0,0.02,37.83,7.889999999999997,1,0,1,0,0.12,0.0489,10.72,4.854,0,3,3.529,56.09,-33.959999999999994,0,0,0,0,17.49,0.0099,1.06,-0.86,0,5,-0.978,35.63,-27.68,1,0,0,1,0.31,0.0092,0.05,-1.278,1,1,-0.823,36.31,7.370000000000001,0,1,1,0,0.38,0.0226,0.85,0.956,1,0,-0.299,50.94,0.14000000000000057,0,0,0,0,4.16,0,0,17,-14,0,14,1,4,1,3
57,0,C,0.0045,0.34,-0.428,0,0,0.142,44.75,5.350000000000001,0,1,0,0,0.32,0.0563,20.67,1.622,0,2,7.854,58.07,1.9799999999999969,0,0,0,0,22.86,0.0063,1.83,0.601,0,0,0.609,50.43,-13.740000000000002,1,0,1,0,1.15,0.0047,0.38,-0.461,0,2,0.084,41.93,-1.3900000000000006,0,2,0,0,0.27,0.0149,1.53,2.353,0,0,3.375,59.19,1.3599999999999994,0,0,0,0,1.34,7,16,13,16,0,0,3,2,-1,3
58,0,C,0.0036,0.12,-0.52,0,0,0.198,44.34,4.060000000000002,0,3,2,0,0.1,0.0563,25.43,2.019,0,2,9.475,58.07,1.9799999999999969,0,0,0,0,28.76,0.0056,0.58,0.035,0,0,0.109,46.78,-11.699999999999996,0,0,0,1,0.83,0.0045,0.15,-0.264,0,0,0.004,39.65,-22.29,0,2,0,0,0.08,0.011,1.13,2.345,0,0,2.645,57.17,-2.019999999999996,0,0,0,1,1.67,1,4,9,4,0,0,2,4,1,3
59,0,C,0.0049,0.03,-0.263,0,1,0.326,45.5,-2.75,0,1,0,0,0.05,0.0561,20.1,2.653,0,2,7.83,56.87,0.28999999999999915,0,0,0,0,19.56,0.0064,0.38,0.523,0,0,0.589,51.37,-15.46,2,0,0,0,0.2,0.006,0.06,-0.18,0,0,0.298,47.85,-1.8599999999999994,0,1,0,1,0.2,0.0103,2.0,1.165,0,0,2.257,61.04,7.68,0,1,0,1,0.82,4,23,16,23,0,0,3,3,-1,4
60,0,C,0.0019,0.3,-0.514,1,0,0.785,42.43,7.130000000000003,0,1,0,0,1.04,0.0573,33.1,8.637,0,1,9.769,56.15,-1.9200000000000017,0,0,0,0,60.28,0.0055,0.27,-0.232,0,0,0.28,43.91,-9.82,0,0,0,0,2.18,0.0032,0.48,-1.275,0,0,0.1,44.8,3.289999999999999,0,0,0,0,1.43,0.012,9.12,-0.717,0,0,-0.718,53.32,6.210000000000001,0,0,0,0,1.88,0,0,9,-6,0,6,1,3,2,1
61,1,WIN,0.0018,0.14,-0.163,0,1,0.018,46.48,-7.3700000000000045,0,1,0,0,0.01,0.0502,30.49,4.632,0,0,6.491,53.5,0.9299999999999997,0,0,0,0,10.66,0.0039,0.35,2.505,0,2,2.726,63.38,-7.609999999999992,0,1,0,0,0.31,0.0024,0.35,0.597,0,7,0.969,59.56,-0.28999999999999915,0,0,0,0,0.06,0.0102,6.86,-0.142,0,0,2.553,53.54,11.740000000000002,1,0,0,0,3.98,1,2,2,2,0,0,4,3,0,3
62,1,WIN,0.0036,0.04,-0.741,1,0,0.148,42.94,23.63,1,0,1,0,0.37,0.0305,14.25,3.073,0,0,9.508,61.1,10.840000000000003,1,0,0,0,22.09,0.0054,0.92,-0.721,0,2,-0.876,34.38,-15.259999999999998,0,1,0,0,0.89,0.0037,0.92,-1.004,1,0,-0.422,35.09,-1.0699999999999932,1,0,0,1,0.24,0.0103,1.77,2.745,0,2,2.018,63.62,-9.690000000000005,0,0,0,0,22.67,0,0,5,-4,1,4,2,3,0,3
