strategy,n,total_r_net,avg_r_net,win_rate,pf_net,max_losing_streak,r_no_top5_net,r_no_top10_net,trades_per_week,trades_per_month
XPT_SWING_4H_brk10_b50|DXY_below_ema200|HTF1D|tgt2.5R,92,9.06,0.0985,0.337,1.21,7,-3.19,-15.44,0.25,1.08
XPT_SWING_4H_brk_dec_b70_r15|DXY_bear|HTF1D|tgt2.0R,50,8.95,0.1791,0.4,1.46,4,-0.8,-10.55,0.14,0.59
XPT_SWING_4H_brk_dec_b60_r12|DXY_below_ema200|HTF1D+12H|tgt2.0R,74,8.83,0.1193,0.351,1.28,9,-0.92,-10.67,0.2,0.87
XPT_SWING_4H_brk10_b70|DXY_bear|HTF1D|tgt3.0R,65,8.7,0.1338,0.323,1.31,9,-6.05,-18.55,0.18,0.76
XPT_SWING_4H_brk_dec_b60_r12|DXY_strong_bear|HTF1D+12H|tgt2.5R,61,8.62,0.1414,0.328,1.33,6,-3.63,-15.88,0.17,0.72
XPT_SWING_4H_brk10_b60|DXY_below_ema200|HTF1D|tgt4.0R,77,8.49,0.1102,0.299,1.24,9,-11.26,-24.77,0.21,0.9
XPT_SWING_4H_brk10_b70|DXY_below_ema200|HTF1D+12H|tgt2.0R,63,8.46,0.1342,0.365,1.33,9,-1.29,-11.04,0.17,0.74
XPT_SWING_4H_pullback|DXY_below_ema200|HTF1D|tgt2.5R,46,8.32,0.1809,0.391,1.41,4,-3.93,-14.48,0.12,0.53
XPT_SWING_4H_brk_dec_b70_r15|DXY_strong_bear|HTF1D+12H|tgt4.0R,43,8.26,0.1921,0.326,1.47,6,-9.43,-15.9,0.12,0.51
XPT_SWING_4H_pullback|DXY_bear|HTF1D+12H|tgt2.5R,39,8.21,0.2106,0.41,1.47,3,-4.04,-13.39,0.11,0.45
XPT_SWING_4H_brk10_b70|DXY_strong_bear|HTF1D+12H|tgt3.0R,54,8.06,0.1493,0.315,1.35,9,-6.69,-18.34,0.15,0.63
XPT_SWING_4H_brk10_b60|DXY_strong_bear|HTF1D+12H|tgt4.0R,66,7.76,0.1176,0.288,1.25,9,-11.99,-24.47,0.18,0.78
XPT_SWING_4H_brk_dec_b60_r12|DXY_strong_bear|HTF1D|tgt3.0R,60,7.75,0.1291,0.317,1.29,6,-7.0,-20.04,0.16,0.7
XPT_SWING_4H_brk10_b70|DXY_below_ema200|HTF1D|tgt2.0R,64,7.41,0.1157,0.359,1.28,9,-2.34,-12.09,0.18,0.75
XPT_SWING_4H_brk10_b50|DXY_bear|HTF1D|tgt3.0R,89,7.31,0.0822,0.315,1.17,6,-7.44,-22.19,0.24,1.05
XPT_SWING_4H_brk_dec_b70_r15|DXY_strong_bear|HTF1D|tgt4.0R,44,7.21,0.1639,0.318,1.39,6,-10.48,-16.95,0.12,0.52
XPT_SWING_4H_brk_dec_b60_r12|DXY_bear|HTF1D|tgt3.0R,73,7.21,0.0988,0.315,1.21,8,-7.54,-20.87,0.2,0.86
XPT_SWING_4H_pullback|DXY_bear|HTF1D|tgt2.5R,40,7.16,0.1791,0.4,1.39,3,-5.09,-14.44,0.11,0.46
XPT_SWING_4H_pullback|DXY_below_ema200|HTF1D+12H|tgt2.0R,45,7.12,0.1581,0.4,1.37,4,-2.63,-12.38,0.12,0.52
XPT_SWING_4H_brk10_b70|DXY_strong_bear|HTF1D|tgt3.0R,55,7.01,0.1275,0.309,1.29,9,-7.74,-19.39,0.15,0.65
XPT_SWING_4H_brk10_b70|DXY_bear|HTF1D+12H|tgt2.5R,66,6.98,0.1057,0.333,1.24,9,-5.27,-17.52,0.18,0.77
XPT_SWING_4H_brk_dec_b60_r12|DXY_below_ema200|HTF1D|tgt2.0R,76,6.73,0.0886,0.342,1.2,9,-3.02,-12.77,0.21,0.89
XPT_SWING_4H_brk_dec_b70_r15|no_macro|HTF1D+12H|tgt4.0R,66,6.72,0.1019,0.333,1.24,7,-11.33,-19.92,0.18,0.76
